	Sp7498_pacbio.protein	Sp9509_oxford_v3.proteins	wa7733.asm1v1.ann1.run1.all.std.maker.proteins.func	wa8730.asm201904v2.ann1.proteins
OG0016999	g2818.t1			
OG0017000	g2833.t1			
OG0017001	g2834.t1			
OG0017002	g2846.t1			
OG0017003	g2873.t1			
OG0017004	g2881.t1			
OG0017005	g2894.t1			
OG0017006	g2906.t1			
OG0017007	g2907.t1			
OG0017008	g2917.t1			
OG0017009	g2939.t1			
OG0017010	g2940.t1			
OG0017011	g2945.t1			
OG0017012	g2953.t1			
OG0017013	g2955.t1			
OG0017014	g2964.t1			
OG0017015	g2973.t1			
OG0017016	g2976.t1			
OG0017017	g2978.t1			
OG0017018	g2980.t1			
OG0017019	g2989.t1			
OG0017020	g3002.t1			
OG0017021	g3014.t1			
OG0017022	g3020.t1			
OG0017023	g3029.t1			
OG0017024	g3034.t1			
OG0017025	g3042.t1			
OG0017026	g3048.t1			
OG0017027	g3049.t1			
OG0017028	g3051.t1			
OG0017029	g3059.t1			
OG0017030	g3061.t1			
OG0017031	g3062.t1			
OG0017032	g3063.t1			
OG0017033	g3064.t1			
OG0017034	g3065.t1			
OG0017035	g3066.t1			
OG0017036	g3067.t1			
OG0017037	g3072.t1			
OG0017038	g3079.t1			
OG0017039	g3094.t1			
OG0017040	g3096.t1			
OG0017041	g3098.t1			
OG0017042	g3100.t1			
OG0017043	g3102.t1			
OG0017044	g3103.t1			
OG0017045	g3112.t1			
OG0017046	g3115.t1			
OG0017047	g3131.t1			
OG0017048	g3143.t1			
OG0017049	g3155.t1			
OG0017050	g3177.t1			
OG0017051	g3189.t1			
OG0017052	g3190.t1			
OG0017053	g3194.t1			
OG0017054	g3198.t1			
OG0017055	g3200.t1			
OG0017056	g3201.t1			
OG0017057	g3213.t1			
OG0017058	g3217.t1			
OG0017059	g3260.t1			
OG0017060	g3267.t1			
OG0017061	g3268.t1			
OG0017062	g3271.t1			
OG0017063	g3274.t1			
OG0017064	g3281.t1			
OG0017065	g3282.t1			
OG0017066	g3295.t1			
OG0017067	g3307.t1			
OG0017068	g3309.t1			
OG0017069	g3345.t1			
OG0017070	g3347.t1			
OG0017071	g3407.t1			
OG0017072	g3408.t1			
OG0017073	g3424.t1			
OG0017074	g3429.t1			
OG0017075	g3460.t1			
OG0017076	g3465.t1			
OG0017077	g3466.t1			
OG0017078	g3475.t1			
OG0017079	g3479.t1			
OG0017080	g3490.t1			
OG0017081	g3506.t1			
OG0017082	g3564.t1			
OG0017083	g3579.t1			
OG0017084	g3580.t1			
OG0017085	g3582.t1			
OG0017086	g3595.t1			
OG0017087	g3602.t1			
OG0017088	g3605.t1			
OG0017089	g3616.t1			
OG0017090	g3621.t1			
OG0017091	g3624.t1			
OG0017092	g3625.t1			
OG0017093	g3628.t1			
OG0017094	g3629.t1			
OG0017095	g3632.t1			
OG0017096	g3633.t1			
OG0017097	g3634.t1			
OG0017098	g3636.t1			
OG0017099	g3637.t1			
OG0017100	g3638.t1			
OG0017101	g3639.t1			
OG0017102	g3640.t1			
OG0017103	g3641.t1			
OG0017104	g3642.t1			
OG0017105	g3643.t1			
OG0017106	g3645.t1			
OG0017107	g3681.t1			
OG0017108	g3685.t1			
OG0017109	g3691.t1			
OG0017110	g3696.t1			
OG0017111	g3699.t1			
OG0017112	g3704.t1			
OG0017113	g3723.t1			
OG0017114	g3727.t1			
OG0017115	g3735.t1			
OG0017116	g3740.t1			
OG0017117	g3745.t1			
OG0017118	g3777.t1			
OG0017119	g3788.t1			
OG0017120	g3789.t1			
OG0017121	g3790.t1			
OG0017122	g3791.t1			
OG0017123	g3795.t1			
OG0017124	g3798.t1			
OG0017125	g3803.t1			
OG0017126	g3805.t1			
OG0017127	g3814.t1			
OG0017128	g3818.t1			
OG0017129	g3823.t1			
OG0017130	g3833.t1			
OG0017131	g3844.t1			
OG0017132	g3865.t1			
OG0017133	g3873.t1			
OG0017134	g3875.t1			
OG0017135	g3890.t1			
OG0017136	g3898.t1			
OG0017137	g3902.t1			
OG0017138	g3911.t1			
OG0017139	g3930.t1			
OG0017140	g3942.t1			
OG0017141	g3977.t1			
OG0017142	g3984.t1			
OG0017143	g4000.t1			
OG0017144	g4011.t1			
OG0017145	g4016.t1			
OG0017146	g4073.t1			
OG0017147	g4097.t1			
OG0017148	g4098.t1			
OG0017149	g4100.t1			
OG0017150	g4129.t1			
OG0017151	g4137.t1			
OG0017152	g4153.t1			
OG0017153	g4165.t1			
OG0017154	g4167.t1			
OG0017155	g4190.t1			
OG0017156	g4200.t1			
OG0017157	g4201.t1			
OG0017158	g4202.t1			
OG0017159	g4206.t1			
OG0017160	g4207.t1			
OG0017161	g4214.t1			
OG0017162	g4223.t1			
OG0017163	g4235.t1			
OG0017164	g4242.t1			
OG0017165	g4246.t1			
OG0017166	g4247.t1			
OG0017167	g4254.t1			
OG0017168	g4262.t1			
OG0017169	g4270.t1			
OG0017170	g4292.t1			
OG0017171	g4293.t1			
OG0017172	g4294.t1			
OG0017173	g4308.t1			
OG0017174	g4309.t1			
OG0017175	g4311.t1			
OG0017176	g4314.t1			
OG0017177	g4337.t1			
OG0017178	g4338.t1			
OG0017179	g4342.t1			
OG0017180	g4343.t1			
OG0017181	g4364.t1			
OG0017182	g4366.t1			
OG0017183	g4367.t1			
OG0017184	g4368.t1			
OG0017185	g4369.t1			
OG0017186	g4370.t1			
OG0017187	g4371.t1			
OG0017188	g4372.t1			
OG0017189	g4373.t1			
OG0017190	g4374.t1			
OG0017191	g4375.t1			
OG0017192	g4376.t1			
OG0017193	g4377.t1			
OG0017194	g4378.t1			
OG0017195	g4379.t1			
OG0017196	g4380.t1			
OG0017197	g4381.t1			
OG0017198	g4382.t1			
OG0017199	g4383.t1			
OG0017200	g4392.t1			
OG0017201	g4397.t1			
OG0017202	g4402.t1			
OG0017203	g4420.t1			
OG0017204	g4424.t1			
OG0017205	g4425.t1			
OG0017206	g4430.t1			
OG0017207	g4431.t1			
OG0017208	g4438.t1			
OG0017209	g4445.t1			
OG0017210	g4452.t1			
OG0017211	g4457.t1			
OG0017212	g4468.t1			
OG0017213	g4474.t1			
OG0017214	g4475.t1			
OG0017215	g4496.t1			
OG0017216	g4517.t1			
OG0017217	g4520.t1			
OG0017218	g4530.t1			
OG0017219	g4546.t1			
OG0017220	g4582.t1			
OG0017221	g4591.t1			
OG0017222	g4596.t1			
OG0017223	g4598.t1			
OG0017224	g4613.t1			
OG0017225	g4616.t1			
OG0017226	g4626.t1			
OG0017227	g4629.t1			
OG0017228	g4630.t1			
OG0017229	g4632.t1			
OG0017230	g4649.t1			
OG0017231	g4659.t1			
OG0017232	g4670.t1			
OG0017233	g4678.t1			
OG0017234	g4685.t1			
OG0017235	g4687.t1			
OG0017236	g4710.t1			
OG0017237	g4720.t1			
OG0017238	g4732.t1			
OG0017239	g4742.t1			
OG0017240	g4743.t1			
OG0017241	g4773.t1			
OG0017242	g4797.t1			
OG0017243	g4799.t1			
OG0017244	g4817.t1			
OG0017245	g4822.t1			
OG0017246	g4826.t1			
OG0017247	g4828.t1			
OG0017248	g4831.t1			
OG0017249	g4845.t1			
OG0017250	g4869.t1			
OG0017251	g4878.t1			
OG0017252	g4887.t1			
OG0017253	g4889.t1			
OG0017254	g4908.t1			
OG0017255	g4912.t1			
OG0017256	g4914.t1			
OG0017257	g4932.t1			
OG0017258	g4958.t1			
OG0017259	g4959.t1			
OG0017260	g4962.t1			
OG0017261	g4964.t1			
OG0017262	g4992.t1			
OG0017263	g4994.t1			
OG0017264	g5012.t1			
OG0017265	g5016.t1			
OG0017266	g5017.t1			
OG0017267	g5031.t1			
OG0017268	g5079.t1			
OG0017269	g5090.t1			
OG0017270	g5114.t1			
OG0017271	g5128.t1			
OG0017272	g5131.t1			
OG0017273	g5133.t1			
OG0017274	g5138.t1			
OG0017275	g5141.t1			
OG0017276	g5143.t1			
OG0017277	g5177.t1			
OG0017278	g5181.t1			
OG0017279	g5202.t1			
OG0017280	g5220.t1			
OG0017281	g5223.t1			
OG0017282	g5230.t1			
OG0017283	g5236.t1			
OG0017284	g5268.t1			
OG0017285	g5276.t1			
OG0017286	g5287.t1			
OG0017287	g5292.t1			
OG0017288	g5296.t1			
OG0017289	g5297.t1			
OG0017290	g5302.t1			
OG0017291	g5314.t1			
OG0017292	g5323.t1			
OG0017293	g5327.t1			
OG0017294	g5350.t1			
OG0017295	g5364.t1			
OG0017296	g5376.t1			
OG0017297	g5381.t1			
OG0017298	g5393.t1			
OG0017299	g5411.t1			
OG0017300	g5422.t1			
OG0017301	g5431.t1			
OG0017302	g5432.t1			
OG0017303	g5434.t1			
OG0017304	g5435.t1			
OG0017305	g5436.t1			
OG0017306	g5447.t1			
OG0017307	g5474.t1			
OG0017308	g5483.t1			
OG0017309	g5494.t1			
OG0017310	g5501.t1			
OG0017311	g5504.t1			
OG0017312	g5518.t1			
OG0017313	g5544.t1			
OG0017314	g5554.t1			
OG0017315	g5559.t1			
OG0017316	g5576.t1			
OG0017317	g5578.t1			
OG0017318	g5584.t1			
OG0017319	g5600.t1			
OG0017320	g5619.t1			
OG0017321	g5628.t1			
OG0017322	g5637.t1			
OG0017323	g5642.t1			
OG0017324	g5644.t1			
OG0017325	g5656.t1			
OG0017326	g5669.t1			
OG0017327	g5678.t1			
OG0017328	g5683.t1			
OG0017329	g5695.t1			
OG0017330	g5711.t1			
OG0017331	g5726.t1			
OG0017332	g5738.t1			
OG0017333	g5764.t1			
OG0017334	g5789.t1			
OG0017335	g5808.t1			
OG0017336	g5819.t1			
OG0017337	g5822.t1			
OG0017338	g5836.t1			
OG0017339	g5838.t1			
OG0017340	g5841.t1			
OG0017341	g5847.t1			
OG0017342	g5852.t1			
OG0017343	g5861.t1			
OG0017344	g5872.t1			
OG0017345	g5888.t1			
OG0017346	g5905.t1			
OG0017347	g5932.t1			
OG0017348	g5944.t1			
OG0017349	g5953.t1			
OG0017350	g5956.t1			
OG0017351	g5957.t1			
OG0017352	g5982.t1			
OG0017353	g6001.t1			
OG0017354	g6009.t1			
OG0017355	g6011.t1			
OG0017356	g6015.t1			
OG0017357	g6017.t1			
OG0017358	g6020.t1			
OG0017359	g6021.t1			
OG0017360	g6031.t1			
OG0017361	g6054.t1			
OG0017362	g6057.t1			
OG0017363	g6060.t1			
OG0017364	g6062.t1			
OG0017365	g6071.t1			
OG0017366	g6111.t1			
OG0017367	g6151.t1			
OG0017368	g6162.t1			
OG0017369	g6163.t1			
OG0017370	g6171.t1			
OG0017371	g6193.t1			
OG0017372	g6200.t1			
OG0017373	g6232.t1			
OG0017374	g6268.t1			
OG0017375	g6287.t1			
OG0017376	g6294.t1			
OG0017377	g6298.t1			
OG0017378	g6301.t1			
OG0017379	g6302.t1			
OG0017380	g6332.t1			
OG0017381	g6345.t1			
OG0017382	g6347.t1			
OG0017383	g6353.t1			
OG0017384	g6355.t1			
OG0017385	g6366.t1			
OG0017386	g6370.t1			
OG0017387	g6382.t1			
OG0017388	g6398.t1			
OG0017389	g6399.t1			
OG0017390	g6403.t1			
OG0017391	g6406.t1			
OG0017392	g6410.t1			
OG0017393	g6419.t1			
OG0017394	g6422.t1			
OG0017395	g6430.t1			
OG0017396	g6432.t1			
OG0017397	g6438.t1			
OG0017398	g6443.t1			
OG0017399	g6460.t1			
OG0017400	g6464.t1			
OG0017401	g6472.t1			
OG0017402	g6487.t1			
OG0017403	g6498.t1			
OG0017404	g6514.t1			
OG0017405	g6515.t1			
OG0017406	g6517.t1			
OG0017407	g6518.t1			
OG0017408	g6520.t1			
OG0017409	g6521.t1			
OG0017410	g6544.t1			
OG0017411	g6549.t1			
OG0017412	g6564.t1			
OG0017413	g6575.t1			
OG0017414	g6576.t1			
OG0017415	g6588.t1			
OG0017416	g6594.t1			
OG0017417	g6600.t1			
OG0017418	g6605.t1			
OG0017419	g6608.t1			
OG0017420	g6612.t1			
OG0017421	g6634.t1			
OG0017422	g6646.t1			
OG0017423	g6647.t1			
OG0017424	g6688.t1			
OG0017425	g6719.t1			
OG0017426	g6727.t1			
OG0017427	g6728.t1			
OG0017428	g6755.t1			
OG0017429	g6760.t1			
OG0017430	g6762.t1			
OG0017431	g6793.t1			
OG0017432	g6795.t1			
OG0017433	g6808.t1			
OG0017434	g6836.t1			
OG0017435	g6839.t1			
OG0017436	g6846.t1			
OG0017437	g6849.t1			
OG0017438	g6857.t1			
OG0017439	g6858.t1			
OG0017440	g6872.t1			
OG0017441	g6880.t1			
OG0017442	g6882.t1			
OG0017443	g6887.t1			
OG0017444	g6918.t1			
OG0017445	g6933.t1			
OG0017446	g6948.t1			
OG0017447	g6959.t1			
OG0017448	g6961.t1			
OG0017449	g6973.t1			
OG0017450	g6990.t1			
OG0017451	g7026.t1			
OG0017452	g7033.t1			
OG0017453	g7034.t1			
OG0017454	g7040.t1			
OG0017455	g7041.t1			
OG0017456	g7055.t1			
OG0017457	g7057.t1			
OG0017458	g7059.t1			
OG0017459	g7060.t1			
OG0017460	g7061.t1			
OG0017461	g7062.t1			
OG0017462	g7065.t1			
OG0017463	g7070.t1			
OG0017464	g7078.t1			
OG0017465	g7082.t1			
OG0017466	g7088.t1			
OG0017467	g7091.t1			
OG0017468	g7094.t1			
OG0017469	g7099.t1			
OG0017470	g7107.t1			
OG0017471	g7119.t1			
OG0017472	g7120.t1			
OG0017473	g7124.t1			
OG0017474	g7126.t1			
OG0017475	g7132.t1			
OG0017476	g7140.t1			
OG0017477	g7143.t1			
OG0017478	g7164.t1			
OG0017479	g7176.t1			
OG0017480	g7178.t1			
OG0017481	g7188.t1			
OG0017482	g7217.t1			
OG0017483	g7229.t1			
OG0017484	g7236.t1			
OG0017485	g7237.t1			
OG0017486	g7248.t1			
OG0017487	g7249.t1			
OG0017488	g7255.t1			
OG0017489	g7271.t1			
OG0017490	g7272.t1			
OG0017491	g7274.t1			
OG0017492	g7289.t1			
OG0017493	g7298.t1			
OG0017494	g7304.t1			
OG0017495	g7312.t1			
OG0017496	g7320.t1			
OG0017497	g7328.t1			
OG0017498	g7356.t1			
OG0017499	g7372.t1			
OG0017500	g7405.t1			
OG0017501	g7417.t1			
OG0017502	g7421.t1			
OG0017503	g7433.t1			
OG0017504	g7446.t1			
OG0017505	g7472.t1			
OG0017506	g7473.t1			
OG0017507	g7481.t1			
OG0017508	g7482.t1			
OG0017509	g7483.t1			
OG0017510	g7485.t1			
OG0017511	g7487.t1			
OG0017512	g7502.t1			
OG0017513	g7506.t1			
OG0017514	g7535.t1			
OG0017515	g7540.t1			
OG0017516	g7547.t1			
OG0017517	g7548.t1			
OG0017518	g7549.t1			
OG0017519	g7552.t1			
OG0017520	g7563.t1			
OG0017521	g7564.t1			
OG0017522	g7566.t1			
OG0017523	g7569.t1			
OG0017524	g7575.t1			
OG0017525	g7579.t1			
OG0017526	g7591.t1			
OG0017527	g7609.t1			
OG0017528	g7610.t1			
OG0017529	g7627.t1			
OG0017530	g7632.t1			
OG0017531	g7640.t1			
OG0017532	g7656.t1			
OG0017533	g7714.t1			
OG0017534	g7723.t1			
OG0017535	g7740.t1			
OG0017536	g7742.t1			
OG0017537	g7752.t1			
OG0017538	g7767.t1			
OG0017539	g7768.t1			
OG0017540	g7770.t1			
OG0017541	g7773.t1			
OG0017542	g7776.t1			
OG0017543	g7784.t1			
OG0017544	g7797.t1			
OG0017545	g7803.t1			
OG0017546	g7853.t1			
OG0017547	g7854.t1			
OG0017548	g7855.t1			
OG0017549	g7856.t1			
OG0017550	g7857.t1			
OG0017551	g7870.t1			
OG0017552	g7884.t1			
OG0017553	g7900.t1			
OG0017554	g7912.t1			
OG0017555	g7913.t1			
OG0017556	g7914.t1			
OG0017557	g7915.t1			
OG0017558	g7920.t1			
OG0017559	g7950.t1			
OG0017560	g7953.t1			
OG0017561	g7956.t1			
OG0017562	g7964.t1			
OG0017563	g7973.t1			
OG0017564	g7980.t1			
OG0017565	g7988.t1			
OG0017566	g7996.t1			
OG0017567	g7997.t1			
OG0017568	g8001.t1			
OG0017569	g8007.t1			
OG0017570	g8012.t1			
OG0017571	g8018.t1			
OG0017572	g8019.t1			
OG0017573	g8063.t1			
OG0017574	g8065.t1			
OG0017575	g8067.t1			
OG0017576	g8068.t1			
OG0017577	g8076.t1			
OG0017578	g8083.t1			
OG0017579	g8091.t1			
OG0017580	g8107.t1			
OG0017581	g8111.t1			
OG0017582	g8115.t1			
OG0017583	g8125.t1			
OG0017584	g8126.t1			
OG0017585	g8131.t1			
OG0017586	g8139.t1			
OG0017587	g8166.t1			
OG0017588	g8169.t1			
OG0017589	g8170.t1			
OG0017590	g8200.t1			
OG0017591	g8210.t1			
OG0017592	g8215.t1			
OG0017593	g8222.t1			
OG0017594	g8232.t1			
OG0017595	g8245.t1			
OG0017596	g8255.t1			
OG0017597	g8274.t1			
OG0017598	g8295.t1			
OG0017599	g8296.t1			
OG0017600	g8317.t1			
OG0017601	g8337.t1			
OG0017602	g8339.t1			
OG0017603	g8341.t1			
OG0017604	g8351.t1			
OG0017605	g8360.t1			
OG0017606	g8369.t1			
OG0017607	g8377.t1			
OG0017608	g8380.t1			
OG0017609	g8388.t1			
OG0017610	g8390.t1			
OG0017611	g8404.t1			
OG0017612	g8418.t1			
OG0017613	g8430.t1			
OG0017614	g8456.t1			
OG0017615	g8465.t1			
OG0017616	g8481.t1			
OG0017617	g8485.t1			
OG0017618	g8497.t1			
OG0017619	g8504.t1			
OG0017620	g8515.t1			
OG0017621	g8516.t1			
OG0017622	g8541.t1			
OG0017623	g8552.t1			
OG0017624	g8577.t1			
OG0017625	g8593.t1			
OG0017626	g8619.t1			
OG0017627	g8634.t1			
OG0017628	g8639.t1			
OG0017629	g8656.t1			
OG0017630	g8678.t1			
OG0017631	g8682.t1			
OG0017632	g8689.t1			
OG0017633	g8690.t1			
OG0017634	g8694.t1			
OG0017635	g8705.t1			
OG0017636	g8714.t1			
OG0017637	g8731.t1			
OG0017638	g8737.t1			
OG0017639	g8739.t1			
OG0017640	g8759.t1			
OG0017641	g8760.t1			
OG0017642	g8761.t1			
OG0017643	g8762.t1			
OG0017644	g8763.t1			
OG0017645	g8764.t1			
OG0017646	g8765.t1			
OG0017647	g8766.t1			
OG0017648	g8772.t1			
OG0017649	g8787.t1			
OG0017650	g8791.t1			
OG0017651	g8799.t1			
OG0017652	g8808.t1			
OG0017653	g8813.t1			
OG0017654	g8814.t1			
OG0017655	g8819.t1			
OG0017656	g8823.t1			
OG0017657	g8824.t1			
OG0017658	g8827.t1			
OG0017659	g8830.t1			
OG0017660	g8833.t1			
OG0017661	g8853.t1			
OG0017662	g8862.t1			
OG0017663	g8873.t1			
OG0017664	g8900.t1			
OG0017665	g8906.t1			
OG0017666	g8914.t1			
OG0017667	g8918.t1			
OG0017668	g8938.t1			
OG0017669	g8946.t1			
OG0017670	g8969.t1			
OG0017671	g8983.t1			
OG0017672	g8990.t1			
OG0017673	g8997.t1			
OG0017674	g9022.t1			
OG0017675	g9028.t1			
OG0017676	g9029.t1			
OG0017677	g9045.t1			
OG0017678	g9048.t1			
OG0017679	g9059.t1			
OG0017680	g9070.t1			
OG0017681	g9076.t1			
OG0017682	g9090.t1			
