	Sp7498_pacbio.protein	Sp9509_oxford_v3.proteins	wa7733.asm1v1.ann1.run1.all.std.maker.proteins.func	wa8730.asm201904v2.ann1.proteins
OG0000010	g17522.t1, g17523.t1, g18703.t1, g6983.t1	Sp02g00096, Sp02g00097, Sp05g00075	wa7733.asm1v1.ann1.run1_001831_1, wa7733.asm1v1.ann1.run1_002826_1, wa7733.asm1v1.ann1.run1_006693_1, wa7733.asm1v1.ann1.run1_006754_1, wa7733.asm1v1.ann1.run1_007959_1, wa7733.asm1v1.ann1.run1_011136_1, wa7733.asm1v1.ann1.run1_011799_1, wa7733.asm1v1.ann1.run1_011800_1, wa7733.asm1v1.ann1.run1_011801_1, wa7733.asm1v1.ann1.run1_012084_1, wa7733.asm1v1.ann1.run1_013662_1, wa7733.asm1v1.ann1.run1_013874_1, wa7733.asm1v1.ann1.run1_014356_1	Wa8730a002g009930_P001, Wa8730a002g009950_P001, Wa8730a003g005060_P001, Wa8730a003g005260_P001, Wa8730a003g006990_P001, Wa8730a004g003200_P001, Wa8730a005g000510_P001, Wa8730a008g000350_P001, Wa8730a010g000070_P001, Wa8730a010g000520_P001, Wa8730a014g005820_P001, Wa8730a016g003000_P001
OG0000011	g19373.t1, g19374.t1, g7952.t1, g9027.t1	Sp01g01354, Sp06g00235, Sp06g00236, Sp19g00327, Sp19g00328	wa7733.asm1v1.ann1.run1_002734_1, wa7733.asm1v1.ann1.run1_002735_1, wa7733.asm1v1.ann1.run1_002739_1, wa7733.asm1v1.ann1.run1_009295_1, wa7733.asm1v1.ann1.run1_012189_1, wa7733.asm1v1.ann1.run1_012190_1, wa7733.asm1v1.ann1.run1_012191_1, wa7733.asm1v1.ann1.run1_012192_1, wa7733.asm1v1.ann1.run1_012240_1, wa7733.asm1v1.ann1.run1_012450_1, wa7733.asm1v1.ann1.run1_013769_1, wa7733.asm1v1.ann1.run1_013974_1, wa7733.asm1v1.ann1.run1_015014_1	Wa8730a004g000730_P001, Wa8730a004g006720_P001, Wa8730a005g001350_P001, Wa8730a005g001780_P001, Wa8730a005g001790_P001, Wa8730a005g001800_P001, Wa8730a005g002420_P001, Wa8730a005g002480_P001, Wa8730a005g002490_P001, Wa8730a005g002500_P001
OG0000012	g14654.t1, g14655.t1		wa7733.asm1v1.ann1.run1_004067_1, wa7733.asm1v1.ann1.run1_007837_1, wa7733.asm1v1.ann1.run1_007838_1, wa7733.asm1v1.ann1.run1_014311_1, wa7733.asm1v1.ann1.run1_014312_1, wa7733.asm1v1.ann1.run1_014313_1, wa7733.asm1v1.ann1.run1_014314_1, wa7733.asm1v1.ann1.run1_014675_1, wa7733.asm1v1.ann1.run1_014676_1, wa7733.asm1v1.ann1.run1_014677_1, wa7733.asm1v1.ann1.run1_014873_1, wa7733.asm1v1.ann1.run1_014935_1, wa7733.asm1v1.ann1.run1_014936_1, wa7733.asm1v1.ann1.run1_015010_1, wa7733.asm1v1.ann1.run1_015153_1, wa7733.asm1v1.ann1.run1_015175_1	Wa8730a003g003270_P001, Wa8730a003g003280_P001, Wa8730a003g003290_P001, Wa8730a003g003300_P001, Wa8730a007g009040_P001, Wa8730a016g001460_P001, Wa8730a016g001470_P001, Wa8730a016g001480_P001, Wa8730a016g001490_P001, Wa8730a016g001530_P001, Wa8730a016g001540_P001, Wa8730a016g001560_P001, Wa8730a016g001630_P001, Wa8730a016g001640_P001
OG0000013	g10142.t1, g11584.t1, g15271.t1, g15541.t1, g1645.t1, g16650.t1, g19185.t1, g19231.t1, g6396.t1, g901.t1	Sp03g00687, Sp04g00198, Sp08g00439, Sp08g01271, Sp09g00953, Sp11g00553, Sp11g00846, Sp15g00460, Sp19g00027, Sp20g00032	wa7733.asm1v1.ann1.run1_000586_1, wa7733.asm1v1.ann1.run1_000947_1, wa7733.asm1v1.ann1.run1_001292_1, wa7733.asm1v1.ann1.run1_007501_1, wa7733.asm1v1.ann1.run1_012991_1, wa7733.asm1v1.ann1.run1_012991_2	Wa8730a001g010290_P001, Wa8730a003g004220_P001, Wa8730a005g000290_P001, Wa8730a007g007700_P001, Wa8730a014g001550_P001
OG0000014	g1328.t1, g1329.t1	Sp05g00265, Sp08g00765, Sp08g00766, Sp08g00768, Sp08g00770, Sp08g00772, Sp08g00773, Sp11g00084	wa7733.asm1v1.ann1.run1_000202_1, wa7733.asm1v1.ann1.run1_000203_1, wa7733.asm1v1.ann1.run1_001138_1, wa7733.asm1v1.ann1.run1_002724_1, wa7733.asm1v1.ann1.run1_013195_1, wa7733.asm1v1.ann1.run1_013196_1, wa7733.asm1v1.ann1.run1_013197_1, wa7733.asm1v1.ann1.run1_013198_1, wa7733.asm1v1.ann1.run1_013199_1, wa7733.asm1v1.ann1.run1_014916_1	Wa8730a005g002580_P001, Wa8730a005g003410_P001, Wa8730a005g003430_P001, Wa8730a005g003440_P001, Wa8730a005g003450_P001, Wa8730a005g003460_P001, Wa8730a005g003470_P001, Wa8730a005g003480_P001, Wa8730a005g004920_P001, Wa8730a011g003070_P001, Wa8730a011g003080_P001
OG0000015	g1065.t1, g10711.t1, g12379.t1, g12386.t1, g17397.t1, g19300.t1, g19302.t1, g19303.t1, g6968.t1, g9370.t1	Sp02g00223, Sp08g01090, Sp09g00105, Sp14g00154, Sp19g00098	wa7733.asm1v1.ann1.run1_000524_1, wa7733.asm1v1.ann1.run1_002011_1, wa7733.asm1v1.ann1.run1_003152_1, wa7733.asm1v1.ann1.run1_003916_1, wa7733.asm1v1.ann1.run1_004219_1, wa7733.asm1v1.ann1.run1_004359_1, wa7733.asm1v1.ann1.run1_004360_1, wa7733.asm1v1.ann1.run1_009136_1	Wa8730a002g008870_P001, Wa8730a004g008220_P001, Wa8730a005g001460_P001, Wa8730a007g000880_P001, Wa8730a010g000620_P001, Wa8730a013g004880_P001, Wa8730a014g006880_P001
OG0000016	g13888.t1, g13889.t1, g13890.t1, g13891.t1, g13892.t1, g13893.t1, g13896.t1, g13897.t1, g13901.t1, g5107.t1	Sp10g00234, Sp12g00458, Sp12g00459, Sp12g00460, Sp12g00461, Sp12g00462, Sp12g00463, Sp12g00466, Sp12g00468	wa7733.asm1v1.ann1.run1_003214_1, wa7733.asm1v1.ann1.run1_003233_1, wa7733.asm1v1.ann1.run1_003240_1, wa7733.asm1v1.ann1.run1_003953_1, wa7733.asm1v1.ann1.run1_003954_1, wa7733.asm1v1.ann1.run1_006345_1	Wa8730a015g002750_P001, Wa8730a015g003320_P001, Wa8730a015g003530_P001, Wa8730a016g000410_P001
OG0000017	g12011.t1, g12797.t1, g14936.t1, g16174.t1, g18422.t1, g35.t1	Sp02g00987, Sp02g00988, Sp03g01205, Sp09g00478, Sp13g00972, Sp14g00544, Sp17g00350, Sp17g00351, Sp18g00204, Sp18g00205	wa7733.asm1v1.ann1.run1_000738_1, wa7733.asm1v1.ann1.run1_004812_1, wa7733.asm1v1.ann1.run1_006758_1, wa7733.asm1v1.ann1.run1_006758_2, wa7733.asm1v1.ann1.run1_011147_1, wa7733.asm1v1.ann1.run1_013625_1	Wa8730a002g002020_P001, Wa8730a003g006950_P001, Wa8730a003g006950_P002, Wa8730a004g004710_P001, Wa8730a008g005230_P001, Wa8730a016g003730_P001
OG0000018	g12330.t1, g13010.t1, g15558.t1, g3549.t1, g5671.t1, g5879.t1, g7858.t1, g8118.t1, g9438.t1	Sp01g01764, Sp06g00026, Sp06g00336, Sp09g00179, Sp10g00845, Sp10g01082, Sp11g00536, Sp14g00210, Sp17g00117	wa7733.asm1v1.ann1.run1_000487_1, wa7733.asm1v1.ann1.run1_006318_1, wa7733.asm1v1.ann1.run1_006865_1, wa7733.asm1v1.ann1.run1_009537_1, wa7733.asm1v1.ann1.run1_012462_1	Wa8730a001g012150_P001, Wa8730a009g000220_P001, Wa8730a013g004500_P001, Wa8730a019g000160_P001, Wa8730a019g002000_P001
OG0000019	g11924.t1, g11926.t1, g11928.t1, g11930.t1, g15621.t1, g15687.t1, g15688.t1, g15703.t1, g15717.t1, g15737.t1, g15738.t1, g15739.t1, g15740.t1, g15743.t1, g15745.t1, g18521.t1, g2025.t1, g8902.t1	Sp19g00245	wa7733.asm1v1.ann1.run1_000259_1, wa7733.asm1v1.ann1.run1_000279_1, wa7733.asm1v1.ann1.run1_000284_1, wa7733.asm1v1.ann1.run1_000360_1, wa7733.asm1v1.ann1.run1_006153_1	Wa8730a011g001460_P001, Wa8730a011g002290_P001, Wa8730a011g002460_P001
OG0000020	g14665.t1, g17948.t1, g17950.t1	Sp02g00688, Sp02g00690, Sp18g00485, Sp18g00486, Sp20g00050	wa7733.asm1v1.ann1.run1_000523_1, wa7733.asm1v1.ann1.run1_000709_1, wa7733.asm1v1.ann1.run1_000710_1, wa7733.asm1v1.ann1.run1_001003_1, wa7733.asm1v1.ann1.run1_003349_1, wa7733.asm1v1.ann1.run1_003350_1, wa7733.asm1v1.ann1.run1_010459_1, wa7733.asm1v1.ann1.run1_011448_1, wa7733.asm1v1.ann1.run1_013879_1, wa7733.asm1v1.ann1.run1_014496_1	Wa8730a002g005420_P001, Wa8730a007g006030_P001, Wa8730a007g006040_P001, Wa8730a007g006260_P001, Wa8730a007g006270_P001, Wa8730a007g006280_P001, Wa8730a013g004870_P001, Wa8730a016g001730_P001, Wa8730a017g003640_P001
OG0000021	g15252.t1	Sp11g00864	wa7733.asm1v1.ann1.run1_003735_1, wa7733.asm1v1.ann1.run1_003738_1, wa7733.asm1v1.ann1.run1_003751_1, wa7733.asm1v1.ann1.run1_005173_1, wa7733.asm1v1.ann1.run1_005175_1, wa7733.asm1v1.ann1.run1_005176_1, wa7733.asm1v1.ann1.run1_010239_1, wa7733.asm1v1.ann1.run1_012957_1, wa7733.asm1v1.ann1.run1_013167_1, wa7733.asm1v1.ann1.run1_013168_1, wa7733.asm1v1.ann1.run1_013664_1, wa7733.asm1v1.ann1.run1_014037_1, wa7733.asm1v1.ann1.run1_014264_1, wa7733.asm1v1.ann1.run1_014336_1	Wa8730a002g009900_P001, Wa8730a011g004580_P001, Wa8730a011g004700_P001, Wa8730a011g004730_P001, Wa8730a011g005590_P001, Wa8730a013g005100_P001, Wa8730a013g005120_P001, Wa8730a013g005130_P001, Wa8730a013g005140_P001, Wa8730a013g005150_P001, Wa8730a018g002300_P001
OG0000022		Sp04g00191	wa7733.asm1v1.ann1.run1_011224_1, wa7733.asm1v1.ann1.run1_014138_1, wa7733.asm1v1.ann1.run1_014139_1, wa7733.asm1v1.ann1.run1_014140_1, wa7733.asm1v1.ann1.run1_014141_1, wa7733.asm1v1.ann1.run1_014427_1, wa7733.asm1v1.ann1.run1_014428_1, wa7733.asm1v1.ann1.run1_014429_1, wa7733.asm1v1.ann1.run1_014631_1, wa7733.asm1v1.ann1.run1_014632_1, wa7733.asm1v1.ann1.run1_014703_1, wa7733.asm1v1.ann1.run1_014704_1, wa7733.asm1v1.ann1.run1_014974_1, wa7733.asm1v1.ann1.run1_015075_1	Wa8730a00Ug000030_P001, Wa8730a00Ug000070_P001, Wa8730a00Ug000100_P001, Wa8730a00Ug000120_P001, Wa8730a00Ug000140_P001, Wa8730a00Ug000170_P001, Wa8730a00Ug000180_P001, Wa8730a00Ug000190_P001, Wa8730a00Ug000200_P001, Wa8730a00Ug000210_P001, Wa8730a019g003310_P001, Wa8730a019g003320_P001
OG0000023	g13310.t1, g1500.t1, g488.t1, g5066.t1, g5869.t1, g6716.t1, g6786.t1	Sp05g00332, Sp05g00411, Sp08g00589, Sp10g00184, Sp10g01073, Sp13g00459, Sp16g00193, Sp19g00255	wa7733.asm1v1.ann1.run1_002500_1, wa7733.asm1v1.ann1.run1_003589_1, wa7733.asm1v1.ann1.run1_006307_1, wa7733.asm1v1.ann1.run1_009191_1, wa7733.asm1v1.ann1.run1_009200_1	Wa8730a004g001670_P001, Wa8730a006g004110_P001, Wa8730a009g000330_P001, Wa8730a010g002390_P001, Wa8730a010g002500_P001, Wa8730a020g002310_P001
OG0000024	g776.t1, g9164.t1	Sp08g00009, Sp19g00501	wa7733.asm1v1.ann1.run1_007880_1, wa7733.asm1v1.ann1.run1_007881_1, wa7733.asm1v1.ann1.run1_008889_1, wa7733.asm1v1.ann1.run1_008890_1, wa7733.asm1v1.ann1.run1_008891_1, wa7733.asm1v1.ann1.run1_008892_1, wa7733.asm1v1.ann1.run1_008893_1, wa7733.asm1v1.ann1.run1_012312_1, wa7733.asm1v1.ann1.run1_012316_1, wa7733.asm1v1.ann1.run1_015106_1, wa7733.asm1v1.ann1.run1_015201_1	Wa8730a004g000370_P001, Wa8730a004g005370_P001, Wa8730a004g005400_P001, Wa8730a005g006390_P001, Wa8730a005g006400_P001, Wa8730a005g006410_P001, Wa8730a005g006420_P001, Wa8730a005g006440_P001, Wa8730a005g006450_P001, Wa8730a005g008650_P001, Wa8730a005g008660_P001
OG0000025	g11901.t1, g11903.t1, g11904.t1, g11905.t1, g11906.t1, g11907.t1, g11908.t1, g11910.t1, g11911.t1, g11912.t1, g11914.t1, g11915.t1, g11916.t1, g11917.t1, g11919.t1		wa7733.asm1v1.ann1.run1_009720_1, wa7733.asm1v1.ann1.run1_012014_1, wa7733.asm1v1.ann1.run1_012015_1, wa7733.asm1v1.ann1.run1_012966_1, wa7733.asm1v1.ann1.run1_012968_1, wa7733.asm1v1.ann1.run1_012969_1, wa7733.asm1v1.ann1.run1_012970_1, wa7733.asm1v1.ann1.run1_012971_1, wa7733.asm1v1.ann1.run1_012972_1, wa7733.asm1v1.ann1.run1_015084_1, wa7733.asm1v1.ann1.run1_015085_1	
OG0000026	g14155.t1, g14911.t1, g15867.t1, g1634.t1, g526.t1, g7216.t1, g7430.t1, g8962.t1	Sp05g00747, Sp05g00967, Sp08g00447, Sp11g00163, Sp11g00871, Sp12g00765, Sp13g00411, Sp18g00231, Sp19g00300	wa7733.asm1v1.ann1.run1_006159_1, wa7733.asm1v1.ann1.run1_008173_1, wa7733.asm1v1.ann1.run1_010524_1, wa7733.asm1v1.ann1.run1_012889_1	Wa8730a004g000680_P001, Wa8730a004g007190_P001, Wa8730a015g001400_P001, Wa8730a016g003670_P001
