Orthogroup	Species Tree Node	Gene Tree Node	Support	Type	Genes 1	Genes 2
OG0000000	N0	n22	1.0	Non-Terminal	wa7733_asm1v1_ann1_run1_all_std_maker_proteins_func_wa7733.asm1v1.ann1.run1_002089_1, wa8730_asm201904v2_ann1_proteins_Wa8730a018g001770_P001, Sp9509_oxford_v3_proteins_Sp01g01214, Sp7498_pacbio_protein_g3800.t1, wa8730_asm201904v2_ann1_proteins_Wa8730a019g001810_P001, Sp7498_pacbio_protein_g7906.t1, Sp9509_oxford_v3_proteins_Sp06g00281, wa7733_asm1v1_ann1_run1_all_std_maker_proteins_func_wa7733.asm1v1.ann1.run1_006888_1, Sp9509_oxford_v3_proteins_Sp01g01216, Sp7498_pacbio_protein_g3797.t1, Sp7498_pacbio_protein_g7908.t1, wa7733_asm1v1_ann1_run1_all_std_maker_proteins_func_wa7733.asm1v1.ann1.run1_006884_1, wa8730_asm201904v2_ann1_proteins_Wa8730a019g001830_P001, Sp9509_oxford_v3_proteins_Sp06g00278, wa7733_asm1v1_ann1_run1_all_std_maker_proteins_func_wa7733.asm1v1.ann1.run1_006883_1, wa8730_asm201904v2_ann1_proteins_Wa8730a007g006910_P001, wa7733_asm1v1_ann1_run1_all_std_maker_proteins_func_wa7733.asm1v1.ann1.run1_000646_1, Sp9509_oxford_v3_proteins_Sp04g00326, Sp7498_pacbio_protein_g11454.t1, wa8730_asm201904v2_ann1_proteins_Wa8730a007g005240_P001, wa7733_asm1v1_ann1_run1_all_std_maker_proteins_func_wa7733.asm1v1.ann1.run1_012422_1, Sp7498_pacbio_protein_g11269.t1, Sp9509_oxford_v3_proteins_Sp04g00538, wa8730_asm201904v2_ann1_proteins_Wa8730a006g004300_P001, wa7733_asm1v1_ann1_run1_all_std_maker_proteins_func_wa7733.asm1v1.ann1.run1_003570_1, Sp7498_pacbio_protein_g13299.t1, Sp9509_oxford_v3_proteins_Sp16g00183, Sp9509_oxford_v3_proteins_Sp07g00535, Sp7498_pacbio_protein_g2645.t1, wa8730_asm201904v2_ann1_proteins_Wa8730a012g001710_P001, Sp7498_pacbio_protein_g11268.t1, wa7733_asm1v1_ann1_run1_all_std_maker_proteins_func_wa7733.asm1v1.ann1.run1_001735_1	Sp9509_oxford_v3_proteins_Sp10g00261, Sp7498_pacbio_protein_g5132.t1, Sp9509_oxford_v3_proteins_Sp04g00805, Sp7498_pacbio_protein_g10996.t1, wa8730_asm201904v2_ann1_proteins_Wa8730a007g003250_P001, wa8730_asm201904v2_ann1_proteins_Wa8730a020g001370_P001, wa7733_asm1v1_ann1_run1_all_std_maker_proteins_func_wa7733.asm1v1.ann1.run1_008639_1
OG0000000	N0	n23	1.0	Non-Terminal	wa7733_asm1v1_ann1_run1_all_std_maker_proteins_func_wa7733.asm1v1.ann1.run1_002089_1, wa8730_asm201904v2_ann1_proteins_Wa8730a018g001770_P001, Sp9509_oxford_v3_proteins_Sp01g01214, Sp7498_pacbio_protein_g3800.t1, wa8730_asm201904v2_ann1_proteins_Wa8730a019g001810_P001, Sp7498_pacbio_protein_g7906.t1, Sp9509_oxford_v3_proteins_Sp06g00281, wa7733_asm1v1_ann1_run1_all_std_maker_proteins_func_wa7733.asm1v1.ann1.run1_006888_1, Sp9509_oxford_v3_proteins_Sp01g01216, Sp7498_pacbio_protein_g3797.t1, Sp7498_pacbio_protein_g7908.t1, wa7733_asm1v1_ann1_run1_all_std_maker_proteins_func_wa7733.asm1v1.ann1.run1_006884_1, wa8730_asm201904v2_ann1_proteins_Wa8730a019g001830_P001, Sp9509_oxford_v3_proteins_Sp06g00278, wa7733_asm1v1_ann1_run1_all_std_maker_proteins_func_wa7733.asm1v1.ann1.run1_006883_1, wa8730_asm201904v2_ann1_proteins_Wa8730a007g006910_P001, wa7733_asm1v1_ann1_run1_all_std_maker_proteins_func_wa7733.asm1v1.ann1.run1_000646_1, Sp9509_oxford_v3_proteins_Sp04g00326, Sp7498_pacbio_protein_g11454.t1	wa8730_asm201904v2_ann1_proteins_Wa8730a007g005240_P001, wa7733_asm1v1_ann1_run1_all_std_maker_proteins_func_wa7733.asm1v1.ann1.run1_012422_1, Sp7498_pacbio_protein_g11269.t1, Sp9509_oxford_v3_proteins_Sp04g00538, wa8730_asm201904v2_ann1_proteins_Wa8730a006g004300_P001, wa7733_asm1v1_ann1_run1_all_std_maker_proteins_func_wa7733.asm1v1.ann1.run1_003570_1, Sp7498_pacbio_protein_g13299.t1, Sp9509_oxford_v3_proteins_Sp16g00183, Sp9509_oxford_v3_proteins_Sp07g00535, Sp7498_pacbio_protein_g2645.t1, wa8730_asm201904v2_ann1_proteins_Wa8730a012g001710_P001, Sp7498_pacbio_protein_g11268.t1, wa7733_asm1v1_ann1_run1_all_std_maker_proteins_func_wa7733.asm1v1.ann1.run1_001735_1
OG0000000	N0	n24	1.0	Non-Terminal	wa7733_asm1v1_ann1_run1_all_std_maker_proteins_func_wa7733.asm1v1.ann1.run1_002089_1, wa8730_asm201904v2_ann1_proteins_Wa8730a018g001770_P001, Sp9509_oxford_v3_proteins_Sp01g01214, Sp7498_pacbio_protein_g3800.t1, wa8730_asm201904v2_ann1_proteins_Wa8730a019g001810_P001, Sp7498_pacbio_protein_g7906.t1, Sp9509_oxford_v3_proteins_Sp06g00281, wa7733_asm1v1_ann1_run1_all_std_maker_proteins_func_wa7733.asm1v1.ann1.run1_006888_1, Sp9509_oxford_v3_proteins_Sp01g01216, Sp7498_pacbio_protein_g3797.t1, Sp7498_pacbio_protein_g7908.t1, wa7733_asm1v1_ann1_run1_all_std_maker_proteins_func_wa7733.asm1v1.ann1.run1_006884_1, wa8730_asm201904v2_ann1_proteins_Wa8730a019g001830_P001, Sp9509_oxford_v3_proteins_Sp06g00278, wa7733_asm1v1_ann1_run1_all_std_maker_proteins_func_wa7733.asm1v1.ann1.run1_006883_1	wa8730_asm201904v2_ann1_proteins_Wa8730a007g006910_P001, wa7733_asm1v1_ann1_run1_all_std_maker_proteins_func_wa7733.asm1v1.ann1.run1_000646_1, Sp9509_oxford_v3_proteins_Sp04g00326, Sp7498_pacbio_protein_g11454.t1
OG0000000	N0	n25	1.0	Non-Terminal	wa7733_asm1v1_ann1_run1_all_std_maker_proteins_func_wa7733.asm1v1.ann1.run1_002089_1, wa8730_asm201904v2_ann1_proteins_Wa8730a018g001770_P001, Sp9509_oxford_v3_proteins_Sp01g01214, Sp7498_pacbio_protein_g3800.t1, wa8730_asm201904v2_ann1_proteins_Wa8730a019g001810_P001, Sp7498_pacbio_protein_g7906.t1, Sp9509_oxford_v3_proteins_Sp06g00281, wa7733_asm1v1_ann1_run1_all_std_maker_proteins_func_wa7733.asm1v1.ann1.run1_006888_1	Sp9509_oxford_v3_proteins_Sp01g01216, Sp7498_pacbio_protein_g3797.t1, Sp7498_pacbio_protein_g7908.t1, wa7733_asm1v1_ann1_run1_all_std_maker_proteins_func_wa7733.asm1v1.ann1.run1_006884_1, wa8730_asm201904v2_ann1_proteins_Wa8730a019g001830_P001, Sp9509_oxford_v3_proteins_Sp06g00278, wa7733_asm1v1_ann1_run1_all_std_maker_proteins_func_wa7733.asm1v1.ann1.run1_006883_1
OG0000000	N0	n26	1.0	Non-Terminal	wa7733_asm1v1_ann1_run1_all_std_maker_proteins_func_wa7733.asm1v1.ann1.run1_002089_1, wa8730_asm201904v2_ann1_proteins_Wa8730a018g001770_P001, Sp9509_oxford_v3_proteins_Sp01g01214, Sp7498_pacbio_protein_g3800.t1	wa8730_asm201904v2_ann1_proteins_Wa8730a019g001810_P001, Sp7498_pacbio_protein_g7906.t1, Sp9509_oxford_v3_proteins_Sp06g00281, wa7733_asm1v1_ann1_run1_all_std_maker_proteins_func_wa7733.asm1v1.ann1.run1_006888_1
OG0000000	N0	n33	0.5	Non-Terminal	Sp9509_oxford_v3_proteins_Sp01g01216, Sp7498_pacbio_protein_g3797.t1	Sp7498_pacbio_protein_g7908.t1, wa7733_asm1v1_ann1_run1_all_std_maker_proteins_func_wa7733.asm1v1.ann1.run1_006884_1, wa8730_asm201904v2_ann1_proteins_Wa8730a019g001830_P001, Sp9509_oxford_v3_proteins_Sp06g00278, wa7733_asm1v1_ann1_run1_all_std_maker_proteins_func_wa7733.asm1v1.ann1.run1_006883_1
OG0000000	N0	n35	0.25	Non-Terminal	Sp7498_pacbio_protein_g7908.t1, wa7733_asm1v1_ann1_run1_all_std_maker_proteins_func_wa7733.asm1v1.ann1.run1_006884_1, wa8730_asm201904v2_ann1_proteins_Wa8730a019g001830_P001	Sp9509_oxford_v3_proteins_Sp06g00278, wa7733_asm1v1_ann1_run1_all_std_maker_proteins_func_wa7733.asm1v1.ann1.run1_006883_1
OG0000000	N0	n42	0.5	Non-Terminal	wa8730_asm201904v2_ann1_proteins_Wa8730a007g005240_P001, wa7733_asm1v1_ann1_run1_all_std_maker_proteins_func_wa7733.asm1v1.ann1.run1_012422_1, Sp7498_pacbio_protein_g11269.t1, Sp9509_oxford_v3_proteins_Sp04g00538, wa8730_asm201904v2_ann1_proteins_Wa8730a006g004300_P001, wa7733_asm1v1_ann1_run1_all_std_maker_proteins_func_wa7733.asm1v1.ann1.run1_003570_1, Sp7498_pacbio_protein_g13299.t1, Sp9509_oxford_v3_proteins_Sp16g00183, Sp9509_oxford_v3_proteins_Sp07g00535, Sp7498_pacbio_protein_g2645.t1, wa8730_asm201904v2_ann1_proteins_Wa8730a012g001710_P001	Sp7498_pacbio_protein_g11268.t1, wa7733_asm1v1_ann1_run1_all_std_maker_proteins_func_wa7733.asm1v1.ann1.run1_001735_1
OG0000000	N0	n43	0.75	Non-Terminal	wa8730_asm201904v2_ann1_proteins_Wa8730a007g005240_P001, wa7733_asm1v1_ann1_run1_all_std_maker_proteins_func_wa7733.asm1v1.ann1.run1_012422_1, Sp7498_pacbio_protein_g11269.t1, Sp9509_oxford_v3_proteins_Sp04g00538, wa8730_asm201904v2_ann1_proteins_Wa8730a006g004300_P001, wa7733_asm1v1_ann1_run1_all_std_maker_proteins_func_wa7733.asm1v1.ann1.run1_003570_1, Sp7498_pacbio_protein_g13299.t1, Sp9509_oxford_v3_proteins_Sp16g00183	Sp9509_oxford_v3_proteins_Sp07g00535, Sp7498_pacbio_protein_g2645.t1, wa8730_asm201904v2_ann1_proteins_Wa8730a012g001710_P001
OG0000000	N0	n44	1.0	Non-Terminal	wa8730_asm201904v2_ann1_proteins_Wa8730a007g005240_P001, wa7733_asm1v1_ann1_run1_all_std_maker_proteins_func_wa7733.asm1v1.ann1.run1_012422_1, Sp7498_pacbio_protein_g11269.t1, Sp9509_oxford_v3_proteins_Sp04g00538	wa8730_asm201904v2_ann1_proteins_Wa8730a006g004300_P001, wa7733_asm1v1_ann1_run1_all_std_maker_proteins_func_wa7733.asm1v1.ann1.run1_003570_1, Sp7498_pacbio_protein_g13299.t1, Sp9509_oxford_v3_proteins_Sp16g00183
OG0000000	N2	n56	1.0	Non-Terminal: STRIDE	Sp9509_oxford_v3_proteins_Sp10g00261, Sp7498_pacbio_protein_g5132.t1	Sp9509_oxford_v3_proteins_Sp04g00805, Sp7498_pacbio_protein_g10996.t1
OG0000000	wa8730.asm201904v2.ann1.proteins	n59	1.0	Terminal	wa8730_asm201904v2_ann1_proteins_Wa8730a007g003250_P001	wa8730_asm201904v2_ann1_proteins_Wa8730a020g001370_P001
OG0000000	N2	n60	1.0	Non-Terminal: STRIDE	Sp7498_pacbio_protein_g12239.t1, Sp9509_oxford_v3_proteins_Sp14g00310	Sp9509_oxford_v3_proteins_Sp02g00616, Sp7498_pacbio_protein_g17884.t1
