Orthogroup	wa7733.asm1v1.ann1.run1.all.std.maker.proteins.func	wa8730.asm201904v2.ann1.proteins
OG0000007	wa7733.asm1v1.ann1.run1_000839_1	Wa8730a016g004710_P001
OG0000007	wa7733.asm1v1.ann1.run1_000794_1	Wa8730a016g004250_P001
OG0000007	wa7733.asm1v1.ann1.run1_008065_1	Wa8730a014g004920_P001
OG0000007	wa7733.asm1v1.ann1.run1_010955_1	Wa8730a001g009030_P001
OG0000007	wa7733.asm1v1.ann1.run1_014021_1	Wa8730a004g007210_P001, Wa8730a001g008820_P001
OG0000008	wa7733.asm1v1.ann1.run1_013174_1	Wa8730a016g001020_P001
OG0000008	wa7733.asm1v1.ann1.run1_009382_1, wa7733.asm1v1.ann1.run1_004297_1, wa7733.asm1v1.ann1.run1_000318_1	Wa8730a011g001960_P001
OG0000008	wa7733.asm1v1.ann1.run1_011231_1	Wa8730a019g003480_P001
OG0000008	wa7733.asm1v1.ann1.run1_007660_1	Wa8730a002g010410_P001
OG0000008	wa7733.asm1v1.ann1.run1_014048_1	Wa8730a001g008730_P001
OG0000008	wa7733.asm1v1.ann1.run1_014073_1	Wa8730a008g004930_P001
OG0000010	wa7733.asm1v1.ann1.run1_011801_1	Wa8730a002g009950_P001
OG0000010	wa7733.asm1v1.ann1.run1_011800_1	Wa8730a002g009930_P001
OG0000010	wa7733.asm1v1.ann1.run1_013662_1	Wa8730a008g000350_P001
OG0000010	wa7733.asm1v1.ann1.run1_001831_1	Wa8730a014g005820_P001
OG0000010	wa7733.asm1v1.ann1.run1_013874_1	Wa8730a003g005260_P001
OG0000010	wa7733.asm1v1.ann1.run1_006693_1	Wa8730a003g005060_P001
OG0000010	wa7733.asm1v1.ann1.run1_011136_1	Wa8730a010g000070_P001
OG0000010	wa7733.asm1v1.ann1.run1_002826_1	Wa8730a005g000510_P001
OG0000010	wa7733.asm1v1.ann1.run1_014356_1	Wa8730a016g003000_P001
OG0000010	wa7733.asm1v1.ann1.run1_006754_1	Wa8730a003g006990_P001
OG0000010	wa7733.asm1v1.ann1.run1_007959_1	Wa8730a004g003200_P001
OG0000010	wa7733.asm1v1.ann1.run1_012084_1	Wa8730a010g000520_P001
OG0000011	wa7733.asm1v1.ann1.run1_002735_1, wa7733.asm1v1.ann1.run1_002734_1	Wa8730a005g002480_P001
OG0000011	wa7733.asm1v1.ann1.run1_015014_1	Wa8730a005g002500_P001
OG0000011	wa7733.asm1v1.ann1.run1_002739_1	Wa8730a005g002420_P001
OG0000011	wa7733.asm1v1.ann1.run1_012240_1, wa7733.asm1v1.ann1.run1_012189_1, wa7733.asm1v1.ann1.run1_012192_1	Wa8730a005g001800_P001, Wa8730a005g001780_P001
OG0000011	wa7733.asm1v1.ann1.run1_012191_1, wa7733.asm1v1.ann1.run1_012190_1	Wa8730a005g001790_P001
OG0000011	wa7733.asm1v1.ann1.run1_012450_1	Wa8730a005g001350_P001
OG0000011	wa7733.asm1v1.ann1.run1_009295_1	Wa8730a004g006720_P001
OG0000011	wa7733.asm1v1.ann1.run1_013769_1	Wa8730a004g000730_P001
OG0000012	wa7733.asm1v1.ann1.run1_015010_1	Wa8730a016g001530_P001
OG0000012	wa7733.asm1v1.ann1.run1_014314_1	Wa8730a003g003270_P001
OG0000012	wa7733.asm1v1.ann1.run1_014311_1	Wa8730a003g003300_P001
OG0000012	wa7733.asm1v1.ann1.run1_014312_1	Wa8730a003g003280_P001
OG0000012	wa7733.asm1v1.ann1.run1_014675_1, wa7733.asm1v1.ann1.run1_014677_1, wa7733.asm1v1.ann1.run1_014935_1	Wa8730a016g001640_P001
OG0000012	wa7733.asm1v1.ann1.run1_014676_1	Wa8730a016g001560_P001, Wa8730a016g001540_P001
OG0000012	wa7733.asm1v1.ann1.run1_015175_1	Wa8730a016g001470_P001
OG0000012	wa7733.asm1v1.ann1.run1_014873_1, wa7733.asm1v1.ann1.run1_004067_1	Wa8730a007g009040_P001
OG0000012	wa7733.asm1v1.ann1.run1_007838_1	Wa8730a016g001460_P001
OG0000012	wa7733.asm1v1.ann1.run1_015153_1	Wa8730a016g001480_P001
OG0000012	wa7733.asm1v1.ann1.run1_014936_1	Wa8730a016g001630_P001
OG0000013	wa7733.asm1v1.ann1.run1_012991_1, wa7733.asm1v1.ann1.run1_012991_2	Wa8730a003g004220_P001
OG0000013	wa7733.asm1v1.ann1.run1_000947_1	Wa8730a014g001550_P001
OG0000013	wa7733.asm1v1.ann1.run1_000586_1	Wa8730a007g007700_P001
OG0000013	wa7733.asm1v1.ann1.run1_001292_1	Wa8730a001g010290_P001
OG0000013	wa7733.asm1v1.ann1.run1_007501_1	Wa8730a005g000290_P001
OG0000014	wa7733.asm1v1.ann1.run1_014916_1	Wa8730a005g003480_P001
OG0000014	wa7733.asm1v1.ann1.run1_013199_1	Wa8730a005g003470_P001
OG0000014	wa7733.asm1v1.ann1.run1_001138_1	Wa8730a005g004920_P001
OG0000014	wa7733.asm1v1.ann1.run1_013198_1	Wa8730a005g003460_P001, Wa8730a005g003450_P001
OG0000014	wa7733.asm1v1.ann1.run1_013197_1, wa7733.asm1v1.ann1.run1_013196_1	Wa8730a005g003440_P001, Wa8730a005g003430_P001
OG0000014	wa7733.asm1v1.ann1.run1_002724_1	Wa8730a005g002580_P001
OG0000014	wa7733.asm1v1.ann1.run1_013195_1	Wa8730a005g003410_P001
OG0000014	wa7733.asm1v1.ann1.run1_000202_1, wa7733.asm1v1.ann1.run1_000203_1	Wa8730a011g003070_P001, Wa8730a011g003080_P001
OG0000015	wa7733.asm1v1.ann1.run1_004219_1	Wa8730a014g006880_P001
OG0000015	wa7733.asm1v1.ann1.run1_000524_1	Wa8730a013g004880_P001
OG0000015	wa7733.asm1v1.ann1.run1_009136_1	Wa8730a005g001460_P001
OG0000015	wa7733.asm1v1.ann1.run1_003152_1	Wa8730a004g008220_P001
OG0000015	wa7733.asm1v1.ann1.run1_004360_1	Wa8730a010g000620_P001
OG0000015	wa7733.asm1v1.ann1.run1_002011_1	Wa8730a002g008870_P001
OG0000015	wa7733.asm1v1.ann1.run1_003916_1	Wa8730a007g000880_P001
OG0000016	wa7733.asm1v1.ann1.run1_003240_1	Wa8730a015g003320_P001
OG0000016	wa7733.asm1v1.ann1.run1_006345_1	Wa8730a015g002750_P001
OG0000016	wa7733.asm1v1.ann1.run1_003953_1, wa7733.asm1v1.ann1.run1_003954_1	Wa8730a016g000410_P001
OG0000016	wa7733.asm1v1.ann1.run1_003233_1, wa7733.asm1v1.ann1.run1_003214_1	Wa8730a015g003530_P001
OG0000017	wa7733.asm1v1.ann1.run1_011147_1	Wa8730a004g004710_P001
OG0000017	wa7733.asm1v1.ann1.run1_013625_1	Wa8730a008g005230_P001
OG0000017	wa7733.asm1v1.ann1.run1_004812_1	Wa8730a002g002020_P001
OG0000017	wa7733.asm1v1.ann1.run1_000738_1	Wa8730a016g003730_P001
OG0000017	wa7733.asm1v1.ann1.run1_006758_1, wa7733.asm1v1.ann1.run1_006758_2	Wa8730a003g006950_P002, Wa8730a003g006950_P001
OG0000018	wa7733.asm1v1.ann1.run1_000487_1	Wa8730a013g004500_P001
OG0000018	wa7733.asm1v1.ann1.run1_006318_1	Wa8730a009g000220_P001
OG0000018	wa7733.asm1v1.ann1.run1_012462_1	Wa8730a019g000160_P001
OG0000018	wa7733.asm1v1.ann1.run1_009537_1	Wa8730a001g012150_P001
OG0000018	wa7733.asm1v1.ann1.run1_006865_1	Wa8730a019g002000_P001
OG0000019	wa7733.asm1v1.ann1.run1_000259_1	Wa8730a011g002460_P001
OG0000019	wa7733.asm1v1.ann1.run1_000360_1	Wa8730a011g001460_P001
OG0000019	wa7733.asm1v1.ann1.run1_000284_1, wa7733.asm1v1.ann1.run1_000279_1	Wa8730a011g002290_P001
OG0000020	wa7733.asm1v1.ann1.run1_011448_1	Wa8730a016g001730_P001
OG0000020	wa7733.asm1v1.ann1.run1_014496_1, wa7733.asm1v1.ann1.run1_000710_1	Wa8730a007g006280_P001
OG0000020	wa7733.asm1v1.ann1.run1_013879_1	Wa8730a007g006270_P001, Wa8730a007g006260_P001, Wa8730a007g006030_P001
OG0000020	wa7733.asm1v1.ann1.run1_003349_1	Wa8730a007g006040_P001
OG0000020	wa7733.asm1v1.ann1.run1_000523_1	Wa8730a013g004870_P001
OG0000020	wa7733.asm1v1.ann1.run1_010459_1	Wa8730a017g003640_P001
OG0000020	wa7733.asm1v1.ann1.run1_001003_1	Wa8730a002g005420_P001
OG0000021	wa7733.asm1v1.ann1.run1_010239_1	Wa8730a011g005590_P001
OG0000021	wa7733.asm1v1.ann1.run1_012957_1	Wa8730a002g009900_P001
OG0000021	wa7733.asm1v1.ann1.run1_003738_1	Wa8730a011g004700_P001
OG0000021	wa7733.asm1v1.ann1.run1_005176_1, wa7733.asm1v1.ann1.run1_005175_1	Wa8730a013g005130_P001
OG0000021	wa7733.asm1v1.ann1.run1_014336_1	Wa8730a013g005120_P001
OG0000021	wa7733.asm1v1.ann1.run1_005173_1	Wa8730a013g005140_P001
OG0000021	wa7733.asm1v1.ann1.run1_013664_1, wa7733.asm1v1.ann1.run1_014264_1	Wa8730a013g005150_P001
OG0000021	wa7733.asm1v1.ann1.run1_013167_1	Wa8730a013g005100_P001
OG0000021	wa7733.asm1v1.ann1.run1_014037_1	Wa8730a018g002300_P001
OG0000021	wa7733.asm1v1.ann1.run1_003735_1	Wa8730a011g004730_P001
OG0000021	wa7733.asm1v1.ann1.run1_003751_1	Wa8730a011g004580_P001
OG0000022	wa7733.asm1v1.ann1.run1_015075_1	Wa8730a00Ug000190_P001
OG0000022	wa7733.asm1v1.ann1.run1_014429_1	Wa8730a00Ug000210_P001, Wa8730a00Ug000180_P001, Wa8730a00Ug000100_P001, Wa8730a019g003320_P001
OG0000022	wa7733.asm1v1.ann1.run1_014141_1	Wa8730a00Ug000030_P001
OG0000022	wa7733.asm1v1.ann1.run1_014974_1	Wa8730a00Ug000070_P001
OG0000022	wa7733.asm1v1.ann1.run1_014139_1	Wa8730a00Ug000120_P001
OG0000022	wa7733.asm1v1.ann1.run1_014704_1, wa7733.asm1v1.ann1.run1_014703_1, wa7733.asm1v1.ann1.run1_014631_1, wa7733.asm1v1.ann1.run1_011224_1, wa7733.asm1v1.ann1.run1_014632_1	Wa8730a019g003310_P001
OG0000023	wa7733.asm1v1.ann1.run1_009191_1	Wa8730a010g002390_P001
OG0000023	wa7733.asm1v1.ann1.run1_003589_1	Wa8730a006g004110_P001
OG0000023	wa7733.asm1v1.ann1.run1_002500_1	Wa8730a020g002310_P001
OG0000023	wa7733.asm1v1.ann1.run1_006307_1	Wa8730a009g000330_P001
OG0000023	wa7733.asm1v1.ann1.run1_009200_1	Wa8730a010g002500_P001
OG0000024	wa7733.asm1v1.ann1.run1_012312_1	Wa8730a004g005400_P001
OG0000024	wa7733.asm1v1.ann1.run1_012316_1	Wa8730a004g005370_P001
OG0000024	wa7733.asm1v1.ann1.run1_008892_1	Wa8730a005g006420_P001
OG0000024	wa7733.asm1v1.ann1.run1_008891_1	Wa8730a005g006410_P001
OG0000024	wa7733.asm1v1.ann1.run1_008890_1	Wa8730a005g006400_P001
OG0000024	wa7733.asm1v1.ann1.run1_008889_1	Wa8730a005g006390_P001
OG0000024	wa7733.asm1v1.ann1.run1_015106_1	Wa8730a005g006450_P001
OG0000024	wa7733.asm1v1.ann1.run1_008893_1	Wa8730a005g006440_P001
OG0000024	wa7733.asm1v1.ann1.run1_015201_1	Wa8730a004g000370_P001
OG0000024	wa7733.asm1v1.ann1.run1_007880_1	Wa8730a005g008650_P001
OG0000024	wa7733.asm1v1.ann1.run1_007881_1	Wa8730a005g008660_P001
OG0000026	wa7733.asm1v1.ann1.run1_006159_1	Wa8730a004g007190_P001
OG0000026	wa7733.asm1v1.ann1.run1_010524_1	Wa8730a004g000680_P001
OG0000026	wa7733.asm1v1.ann1.run1_012889_1	Wa8730a016g003670_P001
OG0000026	wa7733.asm1v1.ann1.run1_008173_1	Wa8730a015g001400_P001
OG0000027	wa7733.asm1v1.ann1.run1_001926_1	Wa8730a003g006110_P001
OG0000027	wa7733.asm1v1.ann1.run1_006799_1	Wa8730a017g002730_P001
OG0000027	wa7733.asm1v1.ann1.run1_011084_1, wa7733.asm1v1.ann1.run1_007750_1	Wa8730a007g000770_P001
OG0000028	wa7733.asm1v1.ann1.run1_013606_1	Wa8730a012g004390_P001
OG0000028	wa7733.asm1v1.ann1.run1_003598_1	Wa8730a006g004020_P001
OG0000028	wa7733.asm1v1.ann1.run1_010362_2, wa7733.asm1v1.ann1.run1_010362_1	Wa8730a006g000600_P002, Wa8730a006g000600_P001
OG0000028	wa7733.asm1v1.ann1.run1_009987_2, wa7733.asm1v1.ann1.run1_009987_1	Wa8730a008g004250_P001, Wa8730a008g004250_P002
OG0000028	wa7733.asm1v1.ann1.run1_005066_1	Wa8730a016g002270_P001
OG0000028	wa7733.asm1v1.ann1.run1_003397_1	Wa8730a006g006440_P001
OG0000029	wa7733.asm1v1.ann1.run1_006857_1, wa7733.asm1v1.ann1.run1_006395_1, wa7733.asm1v1.ann1.run1_002934_1, wa7733.asm1v1.ann1.run1_013396_1, wa7733.asm1v1.ann1.run1_000596_1, wa7733.asm1v1.ann1.run1_010101_1, wa7733.asm1v1.ann1.run1_009708_1, wa7733.asm1v1.ann1.run1_009664_1, wa7733.asm1v1.ann1.run1_004722_1, wa7733.asm1v1.ann1.run1_014495_1, wa7733.asm1v1.ann1.run1_005223_1, wa7733.asm1v1.ann1.run1_001210_1, wa7733.asm1v1.ann1.run1_006576_1, wa7733.asm1v1.ann1.run1_015200_1, wa7733.asm1v1.ann1.run1_005303_1, wa7733.asm1v1.ann1.run1_012942_1, wa7733.asm1v1.ann1.run1_004722_2, wa7733.asm1v1.ann1.run1_001237_1, wa7733.asm1v1.ann1.run1_004391_1, wa7733.asm1v1.ann1.run1_008885_1, wa7733.asm1v1.ann1.run1_007832_1	Wa8730a016g001400_P001
OG0000030	wa7733.asm1v1.ann1.run1_012923_1	Wa8730a002g009650_P001
OG0000030	wa7733.asm1v1.ann1.run1_011342_1	Wa8730a003g008590_P001
OG0000030	wa7733.asm1v1.ann1.run1_010275_1	Wa8730a012g000980_P001
OG0000030	wa7733.asm1v1.ann1.run1_012789_1	Wa8730a001g008960_P001
OG0000031	wa7733.asm1v1.ann1.run1_007465_1	Wa8730a003g008300_P001
OG0000031	wa7733.asm1v1.ann1.run1_012407_1	Wa8730a005g001670_P001
OG0000031	wa7733.asm1v1.ann1.run1_000001_1	Wa8730a012g005400_P001
OG0000031	wa7733.asm1v1.ann1.run1_000806_1	Wa8730a016g004350_P001
OG0000031	wa7733.asm1v1.ann1.run1_010604_1	Wa8730a002g009240_P001
OG0000032	wa7733.asm1v1.ann1.run1_007544_1	Wa8730a016g003190_P001
OG0000032	wa7733.asm1v1.ann1.run1_001516_1	Wa8730a002g002970_P001
OG0000032	wa7733.asm1v1.ann1.run1_013641_1	Wa8730a002g001780_P001
OG0000032	wa7733.asm1v1.ann1.run1_001573_1	Wa8730a001g003780_P001
OG0000032	wa7733.asm1v1.ann1.run1_001842_1, wa7733.asm1v1.ann1.run1_001842_2	Wa8730a014g005910_P001
OG0000033	wa7733.asm1v1.ann1.run1_010473_1	Wa8730a003g003690_P001
OG0000033	wa7733.asm1v1.ann1.run1_008863_1	Wa8730a003g000940_P001
OG0000033	wa7733.asm1v1.ann1.run1_000674_1	Wa8730a007g006610_P001
OG0000033	wa7733.asm1v1.ann1.run1_007124_1	Wa8730a017g001960_P001
OG0000033	wa7733.asm1v1.ann1.run1_009501_1	Wa8730a002g002310_P001
OG0000033	wa7733.asm1v1.ann1.run1_009076_1	Wa8730a007g002970_P001
OG0000034	wa7733.asm1v1.ann1.run1_008815_1, wa7733.asm1v1.ann1.run1_008817_1, wa7733.asm1v1.ann1.run1_008822_1	Wa8730a010g003550_P001
OG0000034	wa7733.asm1v1.ann1.run1_008819_1	Wa8730a010g003410_P001
OG0000034	wa7733.asm1v1.ann1.run1_013567_1	Wa8730a010g003520_P001
OG0000034	wa7733.asm1v1.ann1.run1_005522_1	Wa8730a005g008430_P001
OG0000034	wa7733.asm1v1.ann1.run1_006596_1	Wa8730a005g007240_P001, Wa8730a005g007250_P001
OG0000035	wa7733.asm1v1.ann1.run1_012749_1	Wa8730a010g006410_P001
OG0000035	wa7733.asm1v1.ann1.run1_010791_1	Wa8730a004g004340_P001
OG0000035	wa7733.asm1v1.ann1.run1_014500_1	Wa8730a004g004280_P001
OG0000036	wa7733.asm1v1.ann1.run1_003972_1	Wa8730a016g000590_P001
OG0000036	wa7733.asm1v1.ann1.run1_001863_1	Wa8730a014g006110_P001
OG0000036	wa7733.asm1v1.ann1.run1_004960_1	Wa8730a018g000430_P001
OG0000036	wa7733.asm1v1.ann1.run1_008776_1	Wa8730a001g011460_P001
OG0000036	wa7733.asm1v1.ann1.run1_003143_1	Wa8730a004g008140_P001
OG0000037	wa7733.asm1v1.ann1.run1_004486_1	Wa8730a004g002340_P001
OG0000037	wa7733.asm1v1.ann1.run1_004488_1	Wa8730a004g002330_P001
OG0000037	wa7733.asm1v1.ann1.run1_004489_1	Wa8730a004g002320_P001
OG0000038	wa7733.asm1v1.ann1.run1_012492_1	Wa8730a007g001410_P001
OG0000038	wa7733.asm1v1.ann1.run1_000551_1	Wa8730a007g008070_P001
OG0000038	wa7733.asm1v1.ann1.run1_003518_1	Wa8730a009g007070_P001
OG0000038	wa7733.asm1v1.ann1.run1_001917_1	Wa8730a003g006220_P001
OG0000038	wa7733.asm1v1.ann1.run1_000303_1	Wa8730a011g002080_P001
OG0000039	wa7733.asm1v1.ann1.run1_003586_1	Wa8730a006g004140_P001
OG0000039	wa7733.asm1v1.ann1.run1_010786_1	Wa8730a004g004290_P001, Wa8730a006g004350_P001
OG0000039	wa7733.asm1v1.ann1.run1_003569_1	Wa8730a006g004340_P001
OG0000039	wa7733.asm1v1.ann1.run1_014865_1	Wa8730a006g004360_P001
OG0000039	wa7733.asm1v1.ann1.run1_014203_1	Wa8730a006g004320_P001
OG0000039	wa7733.asm1v1.ann1.run1_014204_2	Wa8730a006g004330_P001
OG0000039	wa7733.asm1v1.ann1.run1_014204_1	Wa8730a006g004330_P002
OG0000039	wa7733.asm1v1.ann1.run1_003584_1	Wa8730a006g004310_P001, Wa8730a006g004150_P001
OG0000040	wa7733.asm1v1.ann1.run1_011402_1	Wa8730a019g000210_P001
OG0000040	wa7733.asm1v1.ann1.run1_009146_1	Wa8730a005g001560_P001
OG0000040	wa7733.asm1v1.ann1.run1_009149_1	Wa8730a005g001590_P001
OG0000040	wa7733.asm1v1.ann1.run1_009147_1	Wa8730a005g001570_P001
OG0000040	wa7733.asm1v1.ann1.run1_007183_1	Wa8730a004g008080_P001
OG0000040	wa7733.asm1v1.ann1.run1_012527_1	Wa8730a006g000010_P001
OG0000040	wa7733.asm1v1.ann1.run1_009155_1	Wa8730a005g001640_P001, Wa8730a005g001650_P001
OG0000041	wa7733.asm1v1.ann1.run1_004129_1	Wa8730a014g002840_P001
OG0000041	wa7733.asm1v1.ann1.run1_012056_1	Wa8730a018g000980_P001
OG0000041	wa7733.asm1v1.ann1.run1_000400_1	Wa8730a013g003540_P001
