Orthogroup	Sp9509_oxford_v3.proteins	wa8730.asm201904v2.ann1.proteins
OG0000021	Sp11g00864	Wa8730a011g005590_P001, Wa8730a002g009900_P001, Wa8730a011g004700_P001, Wa8730a013g005130_P001, Wa8730a013g005120_P001, Wa8730a013g005140_P001, Wa8730a013g005150_P001, Wa8730a013g005100_P001, Wa8730a018g002300_P001, Wa8730a011g004730_P001, Wa8730a011g004580_P001
OG0000022	Sp04g00191	Wa8730a00Ug000200_P001, Wa8730a00Ug000170_P001, Wa8730a00Ug000190_P001, Wa8730a00Ug000210_P001, Wa8730a00Ug000180_P001, Wa8730a00Ug000100_P001, Wa8730a019g003320_P001, Wa8730a00Ug000030_P001, Wa8730a00Ug000140_P001, Wa8730a00Ug000070_P001, Wa8730a00Ug000120_P001, Wa8730a019g003310_P001
OG0000023	Sp05g00332	Wa8730a010g002390_P001
OG0000023	Sp16g00193	Wa8730a006g004110_P001
OG0000023	Sp10g00184	Wa8730a020g002310_P001
OG0000023	Sp10g01073	Wa8730a009g000330_P001
OG0000023	Sp05g00411	Wa8730a010g002500_P001
OG0000023	Sp19g00255, Sp08g00589, Sp13g00459	Wa8730a004g001670_P001
OG0000024	Sp19g00501	Wa8730a004g005400_P001, Wa8730a004g005370_P001
OG0000024	Sp08g00009	Wa8730a005g006420_P001, Wa8730a005g006410_P001, Wa8730a005g006400_P001, Wa8730a005g006390_P001, Wa8730a005g006450_P001, Wa8730a005g006440_P001, Wa8730a004g000370_P001, Wa8730a005g008650_P001, Wa8730a005g008660_P001
OG0000026	Sp19g00300	Wa8730a004g007190_P001
OG0000026	Sp13g00411	Wa8730a004g000680_P001
OG0000026	Sp11g00163, Sp18g00231	Wa8730a016g003670_P001
OG0000026	Sp12g00765	Wa8730a015g001400_P001
OG0000027	Sp14g00364	Wa8730a003g006110_P001
OG0000028	Sp07g00938	Wa8730a012g004390_P001
OG0000028	Sp17g00289	Wa8730a006g004020_P001, Wa8730a006g000600_P002, Wa8730a006g000600_P001, Wa8730a008g004250_P001, Wa8730a008g004250_P002
OG0000029	Sp18g00519	Wa8730a016g001400_P001
OG0000030	Sp02g00156	Wa8730a002g009650_P001
OG0000030	Sp08g01087, Sp03g01311	Wa8730a003g008590_P001
OG0000030	Sp04g00298	Wa8730a012g000980_P001
OG0000030	Sp12g00579, Sp15g00178	Wa8730a001g008960_P001
OG0000031	Sp03g01283	Wa8730a003g008300_P001
OG0000031	Sp08g01067	Wa8730a005g001670_P001
OG0000031	Sp07g01101	Wa8730a012g005400_P001
OG0000031	Sp18g00114	Wa8730a016g004350_P001
OG0000031	Sp02g00201	Wa8730a002g009240_P001
OG0000032	Sp18g00276	Wa8730a016g003190_P001
OG0000032	Sp13g00098, Sp13g00099	Wa8730a002g002970_P001
OG0000032	Sp02g01052	Wa8730a002g001780_P001
OG0000032	Sp01g01000	Wa8730a001g003780_P001
OG0000032	Sp09g00270	Wa8730a014g005910_P001
OG0000033	Sp03g00591	Wa8730a003g003690_P001
OG0000033	Sp03g00193	Wa8730a003g000940_P001
OG0000033	Sp04g00376	Wa8730a007g006610_P001
OG0000033	Sp20g00337, Sp13g00030	Wa8730a017g001960_P001, Wa8730a002g002310_P001
OG0000034	Sp15g00063	Wa8730a010g003510_P001, Wa8730a010g003380_P001, Wa8730a010g003540_P001, Wa8730a010g003550_P001, Wa8730a010g003410_P001, Wa8730a010g003520_P001, Wa8730a010g003390_P001, Wa8730a005g007230_P001, Wa8730a005g008430_P001, Wa8730a005g007240_P001, Wa8730a005g007250_P001
OG0000035	Sp05g00988	Wa8730a010g006410_P001
OG0000035	Sp10g00275, Sp13g00990, Sp12g00779, Sp11g00881, Sp11g00883, Sp11g00882, Sp10g00276, Sp12g00778	Wa8730a004g004340_P001, Wa8730a004g004280_P001
OG0000036	Sp18g00637	Wa8730a016g000590_P001
OG0000036	Sp01g01661	Wa8730a014g006110_P001, Wa8730a018g000430_P001, Wa8730a001g011460_P001
OG0000036	Sp13g00640, Sp19g00100	Wa8730a004g008140_P001
OG0000037	Sp13g00546	Wa8730a004g002340_P001
OG0000037	Sp13g00547	Wa8730a004g002330_P001
OG0000037	Sp08g00848	Wa8730a005g003060_P001
OG0000038	Sp16g00116	Wa8730a007g001410_P001
OG0000038	Sp04g00160	Wa8730a007g008070_P001
OG0000038	Sp01g00032	Wa8730a009g007070_P001
OG0000038	Sp03g00958	Wa8730a003g006220_P001
OG0000038	Sp11g00357	Wa8730a011g002080_P001
OG0000039	Sp16g00159	Wa8730a006g004370_P001, Wa8730a006g004140_P001, Wa8730a004g004290_P001, Wa8730a006g004350_P001, Wa8730a006g004340_P001, Wa8730a006g004360_P001
OG0000041	Sp10g00262	Wa8730a020g001380_P001
OG0000041	Sp01g00888	Wa8730a001g003070_P001
OG0000041	Sp09g00760, Sp01g01540	Wa8730a009g000990_P001, Wa8730a001g010440_P001
OG0000042	Sp14g00693	Wa8730a013g000800_P001
OG0000042	Sp05g00376, Sp08g00501	Wa8730a005g005460_P001
OG0000042	Sp09g00616	Wa8730a010g002090_P001
OG0000042	Sp04g01424	Wa8730a006g006750_P001
OG0000043	Sp12g00052	Wa8730a015g005960_P001
OG0000043	Sp12g00137	Wa8730a015g005010_P001
OG0000043	Sp09g00650	Wa8730a017g000300_P001
OG0000044	Sp10g00370, Sp04g00354	Wa8730a020g000530_P001
OG0000044	Sp09g01083	Wa8730a014g002630_P001, Wa8730a014g002640_P001, Wa8730a014g000580_P001
OG0000044	Sp12g00420, Sp12g00419, Sp15g00240	Wa8730a001g008230_P001
OG0000045	Sp14g00665, Sp14g00663	Wa8730a011g002680_P001, Wa8730a011g002670_P001
OG0000046	Sp11g00465, Sp11g00456, Sp11g00452, Sp11g00470, Sp11g00459, Sp15g00181, Sp11g00450, Sp11g00460, Sp11g00451, Sp11g00458, Sp11g00469, Sp11g00468, Sp15g00179, Sp11g00466, Sp11g00453, Sp11g00464	Wa8730a011g003090_P001, Wa8730a011g003060_P001
OG0000047	Sp02g00618	Wa8730a001g007750_P001
OG0000047	Sp11g00905	Wa8730a015g001520_P001, Wa8730a009g000650_P001, Wa8730a015g001620_P001, Wa8730a010g006310_P001
OG0000047	Sp09g00357	Wa8730a015g001500_P001
OG0000047	Sp05g01007	Wa8730a013g002630_P001
OG0000048	Sp08g01132	Wa8730a013g001160_P001
OG0000048	Sp13g01005	Wa8730a013g000090_P001
OG0000049	Sp08g00828, Sp07g00288, Sp07g00845, Sp07g00317, Sp07g00285	Wa8730a008g002380_P001, Wa8730a008g002350_P001
OG0000050	Sp10g01099	Wa8730a009g000010_P001
OG0000050	Sp01g01801	Wa8730a001g012480_P001
OG0000050	Sp20g00239	Wa8730a017g002540_P001
OG0000050	Sp14g00027	Wa8730a013g005950_P001
OG0000050	Sp02g00050	Wa8730a002g010460_P001
OG0000051	Sp15g00157	Wa8730a001g008950_P001
OG0000051	Sp11g00271	Wa8730a011g001300_P001
OG0000051	Sp10g00791	Wa8730a009g002780_P001
OG0000051	Sp11g00148, Sp10g00789, Sp20g00545	Wa8730a011g000990_P001
OG0000052	Sp05g00869, Sp05g00870	Wa8730a010g005510_P001, Wa8730a010g005930_P001, Wa8730a010g005490_P001
OG0000052	Sp05g00818	Wa8730a010g005480_P001
OG0000053	Sp02g01227, Sp02g01209, Sp02g01226, Sp02g01217, Sp02g01210	Wa8730a008g004670_P001, Wa8730a008g004660_P001
OG0000054	Sp07g00178	Wa8730a010g003370_P001, Wa8730a010g003420_P001, Wa8730a010g003880_P001
OG0000054	Sp07g00176, Sp07g00174	Wa8730a003g002590_P001
OG0000055	Sp14g00706	Wa8730a013g000680_P001
OG0000055	Sp18g00701	Wa8730a016g000290_P001
OG0000055	Sp07g00590	Wa8730a012g002310_P001
OG0000055	Sp14g00630	Wa8730a005g000540_P001
OG0000056	Sp05g00705	Wa8730a006g001100_P001
OG0000056	Sp16g00578	Wa8730a006g001110_P002, Wa8730a006g001110_P001, Wa8730a006g000980_P001, Wa8730a006g001190_P001, Wa8730a006g001200_P001, Wa8730a006g000970_P001, Wa8730a006g001180_P001
OG0000057	Sp10g00505	Wa8730a009g004270_P001, Wa8730a009g004290_P001, Wa8730a009g004260_P001, Wa8730a009g004310_P001
OG0000057	Sp12g00576, Sp04g01473	Wa8730a006g007010_P001, Wa8730a006g007000_P001, Wa8730a011g000440_P001
OG0000058	Sp06g00375	Wa8730a005g008940_P001
OG0000058	Sp09g00561	Wa8730a003g000690_P001
OG0000059	Sp12g00621	Wa8730a015g002590_P001
OG0000059	Sp01g01707	Wa8730a001g011820_P001
OG0000059	Sp20g00335, Sp14g00575, Sp13g00044	Wa8730a002g002480_P001
OG0000059	Sp20g00336, Sp06g00055, Sp02g00272	Wa8730a002g008790_P001
OG0000059	Sp01g00669	Wa8730a001g001320_P001
OG0000060	Sp15g00054	Wa8730a001g007820_P001
OG0000060	Sp12g00825	Wa8730a015g001060_P001
OG0000060	Sp04g01118	Wa8730a007g001010_P001
OG0000060	Sp03g00808	Wa8730a003g005070_P001
OG0000060	Sp03g01071	Wa8730a003g007410_P001
OG0000062	Sp14g00053, Sp02g00071	Wa8730a002g010310_P001
OG0000062	Sp06g00189	Wa8730a019g001190_P001
OG0000062	Sp13g00773	Wa8730a008g003370_P001, Wa8730a004g004070_P001
OG0000063	Sp11g00306	Wa8730a017g004300_P001, Wa8730a017g004300_P002
OG0000063	Sp14g00435	Wa8730a013g002710_P001
OG0000065	Sp16g00333, Sp07g00038	Wa8730a006g002860_P001, Wa8730a006g002850_P001, Wa8730a006g002840_P001, Wa8730a006g002830_P001, Wa8730a006g002810_P001, Wa8730a006g002820_P001, Wa8730a006g002800_P001
OG0000066	Sp07g00133	Wa8730a008g001160_P001
OG0000066	Sp18g00645, Sp01g00090, Sp03g00254	Wa8730a003g001370_P001
OG0000067	Sp10g00788, Sp01g01030	Wa8730a001g003960_P001, Wa8730a009g002790_P001
OG0000067	Sp09g00814, Sp02g00439	Wa8730a002g007610_P001
OG0000067	Sp12g00253	Wa8730a015g004680_P001
OG0000068	Sp09g00983	Wa8730a003g007250_P001, Wa8730a001g011240_P001, Wa8730a005g001220_P001, Wa8730a009g006530_P001
OG0000069	Sp14g00791	Wa8730a013g000220_P001
OG0000069	Sp20g00568	Wa8730a017g000100_P001, Wa8730a014g001120_P001, Wa8730a017g000090_P001, Wa8730a014g001140_P001, Wa8730a017g000130_P001, Wa8730a017g000080_P001
OG0000070	Sp04g01140	Wa8730a006g004560_P001, Wa8730a003g006570_P001, Wa8730a019g000220_P001
OG0000072	Sp07g00373	Wa8730a012g000060_P001
OG0000072	Sp17g00030, Sp04g00412, Sp11g00040	Wa8730a011g000210_P001
OG0000073	Sp06g00324, Sp06g00320, Sp06g00321, Sp06g00315, Sp06g00319, Sp06g00323, Sp06g00318, Sp06g00322	Wa8730a019g001900_P001
OG0000074	Sp02g00736, Sp06g00759	Wa8730a002g005090_P001, Wa8730a002g005100_P001, Wa8730a002g005080_P001, Wa8730a002g005070_P001, Wa8730a002g004860_P001, Wa8730a002g004420_P001, Wa8730a002g004430_P001
OG0000075	Sp06g01198	Wa8730a018g001000_P001
OG0000075	Sp03g00998	Wa8730a018g000820_P001
OG0000075	Sp06g01197	Wa8730a015g000460_P001
OG0000076	Sp04g01352, Sp04g01344, Sp18g00467	Wa8730a016g001830_P001
OG0000076	Sp04g01347, Sp04g01353	Wa8730a012g001000_P001, Wa8730a012g001410_P001, Wa8730a006g007150_P001
OG0000077	Sp02g00803	Wa8730a011g004300_P001, Wa8730a017g002420_P001
OG0000077	Sp13g00537	Wa8730a005g003150_P001, Wa8730a004g002380_P001
OG0000077	Sp20g00232	Wa8730a013g003530_P001
OG0000078	Sp08g00405	Wa8730a005g006060_P001, Wa8730a005g006040_P001, Wa8730a005g006070_P001
OG0000078	Sp17g00050, Sp17g00049, Sp17g00051	Wa8730a008g003020_P001
OG0000079	Sp01g00580	Wa8730a001g000800_P001
OG0000079	Sp10g00219, Sp10g00221	Wa8730a006g003950_P001, Wa8730a020g001720_P001, Wa8730a020g001720_P002
OG0000079	Sp03g01365	Wa8730a003g008720_P001
OG0000080	Sp01g00395, Sp01g00398	Wa8730a009g005140_P002, Wa8730a009g005140_P001
OG0000080	Sp03g01359, Sp09g00769	Wa8730a014g002760_P001
OG0000081	Sp18g00173	Wa8730a016g003980_P001
OG0000081	Sp05g00233	Wa8730a010g001260_P001
OG0000081	Sp09g00795	Wa8730a014g002520_P001
OG0000081	Sp03g01286	Wa8730a003g008310_P001
OG0000083	Sp05g00811	Wa8730a010g005160_P001
OG0000083	Sp12g00429	Wa8730a015g003420_P001
OG0000083	Sp19g00232	Wa8730a004g002110_P001, Wa8730a005g003990_P001, Wa8730a004g007350_P001
OG0000084	Sp15g00364, Sp15g00360, Sp03g00620, Sp03g00691, Sp03g00607, Sp03g01137, Sp03g01117	Wa8730a003g003590_P001
OG0000085	Sp02g01148	Wa8730a002g001140_P001, Wa8730a002g001110_P001, Wa8730a004g006000_P001, Wa8730a004g006100_P001, Wa8730a004g006080_P001, Wa8730a002g001130_P002, Wa8730a002g001130_P001
OG0000086	Sp20g00175, Sp20g00413	Wa8730a017g001190_P001, Wa8730a017g001210_P001
OG0000086	Sp08g01256, Sp02g01122	Wa8730a005g000210_P001
OG0000087	Sp08g00575	Wa8730a005g004710_P001
OG0000087	Sp19g00265	Wa8730a004g006930_P001
OG0000087	Sp05g00227	Wa8730a005g002700_P001, Wa8730a010g001220_P001
OG0000088	Sp19g00446	Wa8730a004g005670_P001
OG0000088	Sp05g00620	Wa8730a010g003790_P001
OG0000088	Sp08g00054	Wa8730a005g008720_P001, Wa8730a005g008780_P001, Wa8730a005g008770_P001
OG0000089	Sp07g00584	Wa8730a012g001960_P001
OG0000089	Sp11g00849	Wa8730a018g002580_P001, Wa8730a018g002710_P001, Wa8730a018g002640_P001, Wa8730a013g004490_P001, Wa8730a011g005460_P001
OG0000090	Sp16g00438	Wa8730a012g003160_P001, Wa8730a019g000930_P001, Wa8730a006g002080_P001
OG0000090	Sp07g00781, Sp10g00067, Sp01g00365	Wa8730a009g005000_P001
OG0000091	Sp07g00851	Wa8730a012g003750_P001
OG0000091	Sp04g01454	Wa8730a006g006890_P001
OG0000091	Sp04g00544	Wa8730a007g005180_P001
OG0000091	Sp16g00190	Wa8730a012g001500_P001
OG0000092	Sp01g01569	Wa8730a001g010870_P001
OG0000092	Sp01g01568	Wa8730a001g010860_P001
OG0000092	Sp06g01222	Wa8730a018g000740_P001
OG0000092	Sp06g00380	Wa8730a019g002130_P001
OG0000093	Sp01g00574	Wa8730a001g000760_P001
OG0000094	Sp01g00443	Wa8730a009g004500_P001
OG0000094	Sp03g01277	Wa8730a003g008260_P001
OG0000094	Sp02g00265, Sp10g00385, Sp10g00386	Wa8730a020g000710_P001
OG0000095	Sp09g00777	Wa8730a014g002580_P001
OG0000095	Sp01g00419	Wa8730a009g005320_P001
OG0000095	Sp03g01338, Sp09g00776	Wa8730a014g002700_P001, Wa8730a014g002690_P001
OG0000096	Sp09g00580	Wa8730a014g004040_P001
OG0000096	Sp11g00406	Wa8730a002g000110_P001
OG0000096	Sp01g00195, Sp02g01288	Wa8730a003g002660_P001, Wa8730a009g006080_P001
OG0000097	Sp06g00328	Wa8730a019g002010_P001
OG0000097	Sp10g00834	Wa8730a009g003090_P001
OG0000097	Sp02g01042	Wa8730a002g001680_P001
OG0000097	Sp04g01329	Wa8730a006g006060_P001
OG0000098	Sp09g00321, Sp09g00319	Wa8730a014g005590_P001
OG0000098	Sp02g00807, Sp02g00808, Sp20g00235	Wa8730a014g005570_P001, Wa8730a014g005580_P001
OG0000099	Sp09g00188, Sp20g00077, Sp02g00442	Wa8730a009g000600_P001, Wa8730a001g011310_P001, Wa8730a001g007920_P001, Wa8730a014g006440_P001, Wa8730a017g003740_P001
OG0000100	Sp16g00636	Wa8730a006g000680_P001, Wa8730a006g000670_P001, Wa8730a006g000410_P001, Wa8730a006g000390_P001, Wa8730a006g000400_P001, Wa8730a006g000650_P001, Wa8730a006g000660_P001
OG0000101	Sp06g00887	Wa8730a018g003200_P001
OG0000101	Sp03g00524	Wa8730a003g002920_P001
OG0000102	Sp04g01248, Sp18g00614	Wa8730a016g000730_P001, Wa8730a004g000040_P001, Wa8730a016g000720_P001, Wa8730a004g000020_P001, Wa8730a016g000710_P001, Wa8730a016g000750_P001, Wa8730a016g000780_P001
OG0000103	Sp17g00183, Sp17g00209, Sp17g00206, Sp17g00199	Wa8730a008g005110_P001
OG0000104	Sp18g00354	Wa8730a005g007690_P001, Wa8730a005g007900_P001, Wa8730a005g007790_P001, Wa8730a005g007830_P001, Wa8730a005g007940_P001, Wa8730a005g007870_P001, Wa8730a005g007850_P001
OG0000105	Sp02g01013	Wa8730a002g001370_P001
OG0000105	Sp17g00525, Sp17g00414, Sp17g00454, Sp13g00906	Wa8730a004g005150_P001
OG0000106	Sp13g00576	Wa8730a020g000850_P001
OG0000106	Sp08g00934	Wa8730a005g002540_P001
OG0000106	Sp09g00973, Sp03g00618	Wa8730a014g001280_P001
OG0000107	Sp10g00503, Sp10g00527, Sp10g00533, Sp08g00066	Wa8730a009g004350_P002, Wa8730a009g004350_P001, Wa8730a009g004130_P001
OG0000108	Sp07g00263, Sp07g00269, Sp07g00265, Sp07g00267, Sp07g00270, Sp07g00262, Sp07g00260	Wa8730a008g002260_P001, Wa8730a008g002250_P001
OG0000109	Sp04g00168	Wa8730a012g000750_P001
OG0000109	Sp16g00109	Wa8730a007g000790_P001
OG0000109	Sp10g00335, Sp07g00476	Wa8730a020g000220_P001
OG0000110	Sp01g01202	Wa8730a001g005150_P001
OG0000110	Sp18g00748	Wa8730a016g000060_P001
OG0000110	Sp03g01049	Wa8730a016g003890_P001
OG0000111	Sp01g00546	Wa8730a001g000540_P001
OG0000111	Sp01g01170, Sp10g00860, Sp06g01024	Wa8730a018g001980_P001, Wa8730a009g003060_P001
OG0000112	Sp01g00075, Sp05g00985, Sp12g00766, Sp03g00214	Wa8730a006g002920_P001, Wa8730a003g001090_P002, Wa8730a003g001090_P001
OG0000113	Sp04g00127, Sp06g00208	Wa8730a007g008770_P001, Wa8730a007g008650_P001, Wa8730a007g008660_P001, Wa8730a007g008670_P001, Wa8730a007g003300_P001, Wa8730a009g001750_P001
OG0000114	Sp20g00371, Sp02g01017	Wa8730a002g001440_P001, Wa8730a003g000130_P001, Wa8730a003g003870_P001, Wa8730a003g003850_P001, Wa8730a003g003940_P001
OG0000115	Sp11g00730	Wa8730a011g004900_P001
OG0000115	Sp11g00729	Wa8730a010g003200_P001
OG0000116	Sp14g00048, Sp19g00449, Sp19g00451, Sp19g00450	Wa8730a004g005650_P001, Wa8730a004g005620_P001, Wa8730a004g005630_P001
OG0000117	Sp03g00496	Wa8730a003g002690_P001
OG0000117	Sp14g00505	Wa8730a013g001530_P001
OG0000117	Sp11g00832	Wa8730a011g005240_P001
OG0000118	Sp17g00169	Wa8730a009g001380_P001, Wa8730a008g003840_P001, Wa8730a009g001370_P001, Wa8730a008g003800_P001, Wa8730a008g003770_P001, Wa8730a008g003790_P001
OG0000119	Sp02g00926, Sp02g00927, Sp02g00925, Sp02g00921, Sp02g00923	Wa8730a002g003800_P001, Wa8730a002g003770_P001
OG0000122	Sp08g01267	Wa8730a005g000270_P001
OG0000122	Sp13g00681	Wa8730a004g003520_P001
OG0000122	Sp13g00708	Wa8730a004g003530_P001
OG0000123	Sp11g00495	Wa8730a011g003450_P001
OG0000123	Sp02g00214, Sp13g00693, Sp16g00469	Wa8730a006g001850_P001
OG0000124	Sp05g00341, Sp06g01186, Sp13g00449	Wa8730a010g002010_P001
OG0000124	Sp05g00061	Wa8730a010g000420_P001, Wa8730a004g001760_P001
OG0000125	Sp08g00263	Wa8730a005g007190_P001
OG0000125	Sp06g00486	Wa8730a019g002890_P001
OG0000126	Sp05g00175	Wa8730a010g000870_P001
OG0000126	Sp09g00857	Wa8730a014g002100_P001
OG0000126	Sp08g01039	Wa8730a005g001920_P001, Wa8730a005g001920_P002
OG0000127	Sp01g00011, Sp03g00034	Wa8730a003g000200_P001
OG0000128	Sp08g00662	Wa8730a005g004140_P001
OG0000128	Sp05g00304, Sp05g00662, Sp13g00100, Sp19g00496	Wa8730a004g005380_P001
OG0000129	Sp08g00298	Wa8730a005g006960_P001
OG0000129	Sp08g00567, Sp19g00263	Wa8730a005g004800_P001, Wa8730a004g001960_P001
OG0000130	Sp08g00338	Wa8730a005g006710_P001
OG0000130	Sp06g00594	Wa8730a019g003460_P001
OG0000130	Sp19g00310, Sp05g00414	Wa8730a010g002460_P001
OG0000131	Sp01g01596	Wa8730a001g011080_P001
OG0000131	Sp06g00111	Wa8730a019g000660_P001, Wa8730a019g000690_P001, Wa8730a019g000680_P001, Wa8730a019g000700_P001
