Orthogroup	Sp9509_oxford_v3.proteins	Sp7498_pacbio.protein
OG0000023	Sp05g00332	g6786.t1
OG0000023	Sp16g00193	g13310.t1
OG0000023	Sp10g00184	g5066.t1
OG0000023	Sp10g01073	g5869.t1
OG0000023	Sp05g00411	g6716.t1
OG0000023	Sp19g00255, Sp08g00589	g1500.t1
OG0000023	Sp13g00459	g488.t1
OG0000024	Sp19g00501	g9164.t1
OG0000024	Sp08g00009	g776.t1
OG0000026	Sp08g00447	g1634.t1
OG0000026	Sp19g00300	g8962.t1
OG0000026	Sp13g00411	g526.t1
OG0000026	Sp11g00163	g15867.t1
OG0000026	Sp18g00231	g14911.t1
OG0000026	Sp05g00747	g7216.t1
OG0000026	Sp12g00765	g14155.t1
OG0000026	Sp05g00967	g7430.t1
OG0000027	Sp14g00364	g12189.t1
OG0000027	Sp03g00963	g16393.t1
OG0000027	Sp16g00079	g13195.t1
OG0000027	Sp19g00103	g19308.t1
OG0000027	Sp10g00313	g5176.t1
OG0000028	Sp07g00938	g3019.t1
OG0000028	Sp20g00190	g6242.t1
OG0000028	Sp17g00289	g13324.t1, g6501.t1, g12853.t1
OG0000029	Sp18g00519	g14631.t1
OG0000030	Sp02g00156	g17465.t1
OG0000030	Sp08g01087	g1068.t1
OG0000030	Sp03g01311	g16087.t1
OG0000030	Sp04g00298	g11477.t1, g2588.t1
OG0000030	Sp12g00579	g13978.t1
OG0000030	Sp15g00178	g18863.t1, g18904.t1
OG0000031	Sp03g01283	g16109.t1
OG0000031	Sp08g01067	g1085.t1
OG0000031	Sp07g01101	g3187.t1
OG0000031	Sp18g00114	g15029.t1
OG0000031	Sp02g00201	g17420.t1
OG0000032	Sp18g00276	g14868.t1
OG0000032	Sp13g00098	g18277.t1
OG0000032	Sp13g00099	g18276.t1
OG0000032	Sp02g01052	g18475.t1
OG0000032	Sp01g01000	g4006.t1
OG0000032	Sp09g00270	g9530.t1
OG0000033	Sp03g00591	g16748.t1
OG0000033	Sp03g00193	g17146.t1
OG0000033	Sp04g00376	g11404.t1
OG0000033	Sp20g00337, Sp13g00030	g6110.t1, g18348.t1
OG0000034	Sp15g00063	g18771.t1, g18768.t1
OG0000035	Sp05g00988	g7448.t1
OG0000035	Sp10g00275	g5149.t1
OG0000035	Sp13g00990	g21.t1
OG0000035	Sp12g00779	g14166.t1
OG0000035	Sp11g00881	g15243.t1
OG0000035	Sp11g00883	g15242.t1
OG0000035	Sp11g00882, Sp10g00276, Sp12g00778	g14165.t1
OG0000036	Sp18g00637, Sp01g01661, Sp07g00837, Sp01g01666	g1859.t1
OG0000036	Sp13g00640	g331.t1
OG0000036	Sp19g00100	g19305.t1
OG0000037	Sp13g00546	g416.t1
OG0000037	Sp13g00547	g414.t1
OG0000037	Sp08g00848	g1272.t1
OG0000037	Sp08g00849, Sp09g00373, Sp08g00846, Sp13g00549	g412.t1
OG0000037	Sp13g00544, Sp13g00543	g418.t1
OG0000038	Sp16g00116	g13235.t1
OG0000038	Sp04g00160	g11617.t1
OG0000038	Sp07g00479	g2568.t1
OG0000038	Sp01g00032	g4857.t1
OG0000038	Sp03g00958	g16396.t1
OG0000038	Sp11g00357	g15720.t1
OG0000039	Sp16g00159	g2625.t1
OG0000041	Sp10g00262	g5134.t1
OG0000041	Sp01g00888	g4110.t1
OG0000041	Sp09g00760	g9965.t1
OG0000041	Sp01g01540	g3434.t1
OG0000042	Sp14g00693	g11843.t1
OG0000042	Sp05g00376	g6750.t1
OG0000042	Sp08g00501	g8825.t1, g1588.t1
OG0000042	Sp09g00616	g9829.t1
OG0000042	Sp04g01424	g10406.t1
OG0000043	Sp12g00052	g14440.t1
OG0000043	Sp12g00137	g14375.t1
OG0000043	Sp01g01020	g3986.t1
OG0000043	Sp11g00111	g15925.t1
OG0000043	Sp20g00555	g9193.t1
OG0000043	Sp09g00650	g9863.t1
OG0000044	Sp10g00370, Sp04g00354	g11425.t1
OG0000044	Sp10g00199	g5081.t1
OG0000045	Sp14g00664	g15664.t1
OG0000045	Sp14g00665, Sp14g00663	g15665.t1, g15666.t1
OG0000046	Sp11g00465, Sp11g00456, Sp11g00452, Sp11g00470, Sp11g00459, Sp15g00181, Sp11g00450, Sp11g00460, Sp11g00451, Sp11g00458, Sp11g00469, Sp11g00468, Sp15g00179, Sp11g00466, Sp11g00453, Sp11g00464	g12989.t1
OG0000048	Sp13g01005	g14501.t1, g12578.t1, g12579.t1, g5.t1
OG0000049	Sp08g00828	g1288.t1
OG0000049	Sp07g00288, Sp07g00845, Sp07g00317, Sp07g00285	g2374.t1, g2408.t1, g2938.t1, g2377.t1, g2376.t1, g17155.t1, g10098.t1, g10097.t1
OG0000050	Sp10g01099	g5895.t1
OG0000050	Sp01g01801	g3587.t1
OG0000050	Sp14g00027	g12507.t1
OG0000050	Sp02g00050	g17338.t1
OG0000050	Sp10g00539	g5394.t1
OG0000051	Sp15g00157	g18886.t1, g18845.t1
OG0000051	Sp11g00271	g15811.t1
OG0000051	Sp10g00791	g5635.t1
OG0000051	Sp11g00148, Sp10g00789, Sp20g00545	g15886.t1
OG0000052	Sp05g00869, Sp05g00870	g7340.t1, g7344.t1, g7339.t1, g7343.t1, g7342.t1, g7341.t1, g7338.t1, g7337.t1
OG0000052	Sp05g00818	g7336.t1
OG0000053	Sp02g01227, Sp02g01209, Sp02g01226, Sp02g01217, Sp02g01210	g18518.t1
OG0000054	Sp07g00178	g16769.t1, g2303.t1
OG0000054	Sp07g00176	g2304.t1
OG0000054	Sp07g00174	g2307.t1
OG0000055	Sp14g00706	g11832.t1
OG0000055	Sp18g00701	g8782.t1
OG0000055	Sp07g00590	g2697.t1
OG0000055	Sp14g00630	g11923.t1, g18540.t1
OG0000055	Sp02g00976	g18409.t1
OG0000056	Sp05g00705	g7180.t1
OG0000056	Sp16g00578	g13632.t1, g12686.t1, g3207.t1
OG0000057	Sp10g00505	g5358.t1, g5360.t1
OG0000058	Sp06g00375	g7826.t1
OG0000058	Sp09g00561	g12878.t1
OG0000059	Sp12g00621, Sp01g01707, Sp20g00335, Sp14g00575, Sp13g00044, Sp20g00336, Sp06g00055, Sp02g00272, Sp01g00669	g10516.t1
OG0000060	Sp15g00054	g18757.t1
OG0000060	Sp12g00825	g14210.t1
OG0000060	Sp04g01118	g10689.t1
OG0000060	Sp03g00808	g16538.t1
OG0000060	Sp03g01071	g16305.t1
OG0000062	Sp14g00053, Sp02g00071	g17357.t1
OG0000062	Sp06g00189	g7979.t1
OG0000062	Sp13g00773	g205.t1
OG0000063	Sp11g00306	g655.t1, g15777.t1
OG0000063	Sp14g00434, Sp14g00435	g12123.t1
OG0000063	Sp13g00278	g648.t1
OG0000063	Sp13g00276	g649.t1
OG0000064	Sp19g00056	g19260.t1
OG0000064	Sp12g00516	g13929.t1, g13931.t1
OG0000064	Sp12g00523	g13935.t1
OG0000064	Sp12g00520	g13932.t1, g13933.t1, g13934.t1
OG0000065	Sp16g00333, Sp07g00038	g2142.t1
OG0000066	Sp07g00133	g2230.t1
OG0000066	Sp03g00742	g16596.t1
OG0000066	Sp09g00924	g10165.t1
OG0000066	Sp01g00090	g4800.t1
OG0000066	Sp03g00254	g17091.t1
OG0000067	Sp10g00788	g5634.t1
OG0000067	Sp01g01030	g3978.t1
OG0000067	Sp09g00814	g10273.t1
OG0000067	Sp02g00439	g17717.t1
OG0000067	Sp12g00253	g13701.t1
OG0000068	Sp09g00983	g10113.t1
OG0000069	Sp14g00791	g12561.t1
OG0000069	Sp20g00568	g9211.t1
OG0000070	Sp04g01140	g10676.t1
OG0000072	Sp07g00373	g2460.t1
OG0000072	Sp04g00022	g11752.t1
OG0000072	Sp17g00030	g13093.t1
OG0000072	Sp04g00412	g11362.t1
OG0000072	Sp11g00040	g15991.t1
OG0000073	Sp06g00324	g7869.t1
OG0000073	Sp06g00320	g7873.t1
OG0000073	Sp06g00321	g7872.t1
OG0000073	Sp06g00315	g7876.t1
OG0000073	Sp06g00319	g7874.t1
OG0000073	Sp06g00323, Sp06g00318, Sp06g00322	g7871.t1
OG0000074	Sp02g00736, Sp06g00759	g8256.t1
OG0000075	Sp06g01198	g8623.t1, g8626.t1
OG0000075	Sp03g00998	g16359.t1
OG0000075	Sp06g01197	g8622.t1, g8627.t1
OG0000076	Sp04g01352, Sp04g01344, Sp18g00467	g14680.t1
OG0000077	Sp13g00537	g423.t1
OG0000077	Sp20g00232	g6205.t1
OG0000078	Sp08g00405	g1675.t1
OG0000078	Sp17g00050, Sp17g00049	g13075.t1, g13076.t1
OG0000078	Sp17g00051	g13074.t1, g13073.t1
OG0000079	Sp01g00580	g4409.t1
OG0000079	Sp10g00219, Sp10g00221	g5098.t1
OG0000079	Sp03g01365	g16054.t1
OG0000080	Sp01g00395, Sp01g00398	g4560.t1
OG0000080	Sp03g01359	g16061.t1
OG0000080	Sp09g00769	g9973.t1
OG0000081	Sp18g00173	g14971.t1
OG0000081	Sp05g00233	g6877.t1
OG0000081	Sp09g00795	g10289.t1
OG0000081	Sp03g01286	g16108.t1
OG0000082	Sp05g00138	g6965.t1
OG0000082	Sp05g00140	g6963.t1
OG0000082	Sp05g00118	g6957.t1
OG0000082	Sp05g00115	g6958.t1
OG0000083	Sp05g00811	g7284.t1
OG0000083	Sp12g00429	g13860.t1
OG0000083	Sp19g00232	g8888.t1
OG0000084	Sp15g00364	g19082.t1
OG0000084	Sp15g00360	g19078.t1
OG0000084	Sp03g00620	g16722.t1
OG0000084	Sp03g00691	g16241.t1, g16647.t1
OG0000084	Sp03g00607	g16736.t1
OG0000084	Sp03g01137, Sp03g01117	g16259.t1
OG0000085	Sp02g01148	g18557.t1
OG0000086	Sp20g00175	g916.t1, g6259.t1
OG0000086	Sp20g00413	g6039.t1
OG0000086	Sp20g00417	g6034.t1
OG0000086	Sp08g01256, Sp02g01122	g18532.t1
OG0000087	Sp08g00575	g1514.t1
OG0000087	Sp19g00265	g8924.t1
OG0000087	Sp05g00227	g6886.t1, g6885.t1
OG0000088	Sp19g00446	g9111.t1
OG0000088	Sp05g00620	g6537.t1
OG0000088	Sp08g00054	g2098.t1
OG0000089	Sp07g00584	g2689.t1
OG0000090	Sp16g00438	g13531.t1
OG0000090	Sp07g00781	g2871.t1
OG0000090	Sp10g00067	g4950.t1
OG0000090	Sp01g00365	g4583.t1
OG0000091	Sp07g00851	g2946.t1
OG0000091	Sp04g00544	g11260.t1
OG0000091	Sp16g00190	g13305.t1
OG0000092	Sp01g01569	g3471.t1
OG0000092	Sp01g01568	g3470.t1
OG0000092	Sp06g01222	g8649.t1
OG0000092	Sp06g00380	g7823.t1
OG0000093	Sp01g00574	g4416.t1
OG0000093	Sp06g00678, Sp01g00575	g4415.t1
OG0000093	Sp10g00570	g8156.t1, g8189.t1
OG0000094	Sp01g00443	g4528.t1
OG0000094	Sp03g01277	g16115.t1
OG0000094	Sp02g00265	g17551.t1
OG0000094	Sp10g00385	g5245.t1
OG0000095	Sp09g00777	g10304.t1
OG0000095	Sp01g00419	g4548.t1
OG0000095	Sp03g01338	g16074.t1
OG0000095	Sp09g00776	g10306.t1
OG0000096	Sp09g00580	g9796.t1
OG0000096	Sp01g00195	g4730.t1
OG0000096	Sp02g01288	g18681.t1
OG0000097	Sp06g00328	g7864.t1
OG0000097	Sp10g00834	g5664.t1
OG0000097	Sp04g01329	g10491.t1
OG0000098	Sp09g00321	g9577.t1
OG0000098	Sp09g00319	g9576.t1
OG0000098	Sp02g00807	g18071.t1
OG0000098	Sp02g00808, Sp20g00235	g6203.t1
OG0000099	Sp20g00077	g6354.t1
OG0000099	Sp02g00442	g9446.t1
OG0000100	Sp16g00636	g6494.t1
OG0000101	Sp06g00887	g8368.t1
OG0000101	Sp03g00524	g16830.t1
OG0000102	Sp04g01248	g10573.t1
OG0000102	Sp18g00614	g14534.t1
OG0000103	Sp17g00183	g12954.t1, g12955.t1
OG0000103	Sp17g00209	g12953.t1
OG0000103	Sp17g00206	g12936.t1
OG0000103	Sp17g00199	g12939.t1, g12937.t1, g12941.t1
OG0000105	Sp02g01013	g18444.t1
OG0000105	Sp17g00525	g12641.t1
OG0000105	Sp17g00414, Sp17g00454	g12695.t1, g12671.t1
OG0000105	Sp13g00906	g90.t1
OG0000106	Sp13g00576	g388.t1
OG0000106	Sp08g00934	g1196.t1
OG0000106	Sp09g00973	g10122.t1
OG0000106	Sp03g00618	g16724.t1
OG0000107	Sp10g00503	g5356.t1
OG0000107	Sp10g00527	g5384.t1
OG0000107	Sp10g00533	g5388.t1
OG0000107	Sp08g00066	g2086.t1
OG0000108	Sp07g00263	g2355.t1
OG0000108	Sp07g00269, Sp07g00265, Sp07g00267, Sp07g00270	g2357.t1
OG0000108	Sp07g00262	g2354.t1
OG0000109	Sp04g00168	g11610.t1
OG0000109	Sp16g00109	g13226.t1
OG0000109	Sp10g00335	g5197.t1
OG0000109	Sp07g00476	g2565.t1
OG0000110	Sp01g01202	g3813.t1
OG0000110	Sp18g00748	g8803.t1
OG0000110	Sp03g01049	g16323.t1
OG0000111	Sp01g00546	g4442.t1
OG0000111	Sp10g00860	g5684.t1
OG0000111	Sp06g01024	g8498.t1
OG0000112	Sp01g00075	g4815.t1
OG0000112	Sp05g00985	g7445.t1
OG0000112	Sp12g00766	g14156.t1
OG0000112	Sp03g00214	g17125.t1
OG0000113	Sp04g00127, Sp06g00208	g5322.t1
OG0000114	Sp20g00371	g6078.t1
OG0000114	Sp02g01017	g18449.t1
OG0000115	Sp11g00730	g15373.t1
OG0000115	Sp05g00527	g6630.t1
OG0000115	Sp11g00729, Sp02g01176	g18582.t1
OG0000116	Sp14g00048	g12484.t1
OG0000116	Sp19g00451	g9116.t1, g9115.t1
OG0000116	Sp19g00450	g9114.t1
OG0000117	Sp03g00496	g16858.t1, g16857.t1
OG0000117	Sp14g00505	g12051.t1
OG0000117	Sp11g00832	g15284.t1
OG0000118	Sp17g00169	g12969.t1
OG0000119	Sp02g00926	g18180.t1
OG0000119	Sp02g00927	g18181.t1
OG0000119	Sp02g00925	g18179.t1
OG0000119	Sp02g00921	g18174.t1
OG0000119	Sp02g00923	g18176.t1
OG0000122	Sp08g01267	g906.t1
OG0000122	Sp13g00681	g288.t1
OG0000122	Sp13g00708	g263.t1
OG0000123	Sp11g00495	g15593.t1
OG0000123	Sp02g00214	g17406.t1
OG0000123	Sp13g00693	g279.t1, g278.t1
OG0000123	Sp16g00469	g13564.t1
OG0000124	Sp06g01186	g8610.t1
OG0000124	Sp13g00449	g497.t1
OG0000124	Sp05g00061	g6997.t1
OG0000125	Sp08g00263	g1809.t1
OG0000125	Sp06g00486	g7709.t1
OG0000125	Sp13g00269	g657.t1
OG0000126	Sp05g00175	g6935.t1
OG0000126	Sp09g00857	g10229.t1
OG0000126	Sp08g01039	g1110.t1
OG0000127	Sp01g00011, Sp03g00034	g17261.t1
OG0000127	Sp08g00949	g1182.t1
OG0000128	Sp08g00662	g1431.t1
OG0000128	Sp05g00304	g6814.t1
OG0000128	Sp05g00662	g7136.t1
OG0000128	Sp13g00100, Sp19g00496	g9159.t1
OG0000129	Sp08g00298	g1777.t1
OG0000129	Sp08g00567	g1523.t1
OG0000129	Sp19g00263	g8922.t1
OG0000130	Sp08g00338	g1739.t1
OG0000130	Sp06g00594	g7611.t1
OG0000130	Sp19g00310	g8974.t1
OG0000130	Sp05g00414	g6713.t1
OG0000131	Sp01g01596	g1926.t1
OG0000131	Sp06g00111	g8051.t1
OG0000132	Sp04g00509	g11294.t1
OG0000132	Sp01g01228	g3783.t1
OG0000132	Sp07g00124	g2220.t1
OG0000133	Sp07g00197, Sp01g00124	g4769.t1, g2283.t1
OG0000133	Sp16g00318, Sp17g00390	g12760.t1
OG0000134	Sp07g00497	g2604.t1
OG0000134	Sp16g00137	g13256.t1
OG0000134	Sp10g00173	g5055.t1
OG0000135	Sp14g00587	g9671.t1, g11975.t1
OG0000136	Sp03g01087	g16288.t1
OG0000136	Sp07g00817	g2908.t1
OG0000137	Sp01g01437	g3346.t1
OG0000137	Sp06g00176	g7992.t1
OG0000137	Sp10g00968	g5767.t1
OG0000138	Sp06g01076, Sp06g01077	g8543.t1
OG0000138	Sp06g01079, Sp06g01105	g8544.t1
OG0000138	Sp01g01299	g5719.t1, g3711.t1
OG0000139	Sp06g00878	g8359.t1
OG0000139	Sp06g00880	g8361.t1
OG0000139	Sp06g00877	g8358.t1
OG0000139	Sp01g00889	g4109.t1
OG0000139	Sp06g00406	g7794.t1
OG0000140	Sp01g00284	g4658.t1
OG0000141	Sp14g00426	g12129.t1
OG0000141	Sp20g00242	g6197.t1
OG0000141	Sp10g00316	g5179.t1
OG0000141	Sp09g00325	g9581.t1
OG0000142	Sp16g00118	g13237.t1
OG0000142	Sp04g00149	g11626.t1
OG0000142	Sp10g00342	g5204.t1
OG0000143	Sp02g00864	g18122.t1
OG0000143	Sp20g00256	g6184.t1
OG0000143	Sp09g00342	g9599.t1
OG0000144	Sp19g00517	g9177.t1
OG0000144	Sp05g00641	g7084.t1, g7114.t1
OG0000144	Sp06g00754	g8251.t1
OG0000145	Sp15g00217, Sp15g00219, Sp15g00216	g18934.t1
OG0000145	Sp05g00821	g7291.t1
OG0000145	Sp05g00820	g7290.t1
OG0000146	Sp14g00556	g12002.t1
OG0000146	Sp09g00470	g9703.t1
OG0000147	Sp02g01039	g18465.t1
OG0000147	Sp02g01038, Sp09g00518, Sp09g00519	g9741.t1
OG0000148	Sp18g00196	g14944.t1
OG0000148	Sp09g00652	g9865.t1
OG0000148	Sp09g00653	g9866.t1
OG0000148	Sp09g00655	g9868.t1
OG0000149	Sp04g00566	g11234.t1
OG0000149	Sp04g00569	g11231.t1
OG0000149	Sp04g00564	g11236.t1
OG0000149	Sp04g00567	g11233.t1
OG0000150	Sp02g01102	g18513.t1
OG0000150	Sp11g00837	g15280.t1
OG0000150	Sp12g00688	g14079.t1
OG0000151	Sp11g00907, Sp11g00906, Sp11g00909	g15218.t1
OG0000152	Sp02g00353	g17633.t1
OG0000153	Sp01g00642	g18187.t1, g18188.t1
OG0000154	Sp02g00974	g18407.t1
OG0000154	Sp02g00973	g18406.t1
OG0000155	Sp13g00068	g18310.t1
OG0000156	Sp13g00600	g370.t1
OG0000156	Sp13g00599	g371.t1
OG0000156	Sp18g00568	g14582.t1
OG0000156	Sp18g00569	g14580.t1
OG0000157	Sp13g00568	g395.t1
OG0000157	Sp05g00224	g6890.t1
OG0000157	Sp08g00919	g1212.t1
OG0000158	Sp13g00400	g536.t1
OG0000158	Sp19g00320	g9034.t1
OG0000158	Sp08g00420	g1660.t1
OG0000159	Sp13g00320	g605.t1
OG0000159	Sp19g00402	g9069.t1
OG0000159	Sp07g00789	g3195.t1
OG0000159	Sp08g00223	g1942.t1
OG0000160	Sp19g00086	g19288.t1
OG0000160	Sp08g01119	g1038.t1
OG0000160	Sp03g01296	g16097.t1
OG0000161	Sp08g00506	g1582.t1
OG0000162	Sp05g00393	g6733.t1
OG0000162	Sp08g00488	g12794.t1, g1600.t1
OG0000163	Sp03g00772	g16568.t1
OG0000163	Sp07g00128	g2226.t1
OG0000164	Sp03g00430	g16928.t1
OG0000164	Sp01g00139	g4756.t1
OG0000164	Sp07g00214	g2266.t1
OG0000165	Sp14g00543	g12013.t1
OG0000165	Sp05g00396	g6730.t1
OG0000165	Sp07g00389	g2475.t1
OG0000165	Sp04g00068	g11705.t1
OG0000166	Sp14g00098	g2673.t1, g17494.t1
OG0000166	Sp02g00126	g12432.t1
OG0000167	Sp07g00730	g2823.t1
OG0000167	Sp09g00416	g9657.t1
OG0000167	Sp13g00114	g18262.t1
OG0000168	Sp01g00997	g4008.t1
OG0000168	Sp07g00815	g2904.t1
OG0000168	Sp03g01086	g16290.t1
OG0000169	Sp01g00721	g4264.t1
OG0000169	Sp18g00255	g14888.t1
OG0000169	Sp07g00898	g2983.t1
OG0000170	Sp03g01015	g16342.t1
OG0000170	Sp07g01047	g3138.t1
OG0000170	Sp14g00528	g12030.t1
OG0000171	Sp16g00534	g3248.t1
OG0000171	Sp16g00532, Sp16g00535	g3247.t1
OG0000171	Sp16g00531	g3252.t1
OG0000172	Sp10g00359	g5219.t1
OG0000172	Sp01g01389	g3300.t1
OG0000173	Sp03g00989	g16369.t1
OG0000173	Sp01g01460	g3365.t1
OG0000174	Sp01g01756	g3541.t1
OG0000174	Sp06g00033	g8109.t1
OG0000174	Sp02g00391	g17668.t1
OG0000174	Sp09g00348	g9604.t1
OG0000175	Sp18g00603	g14547.t1
OG0000175	Sp10g00931	g5739.t1
OG0000175	Sp01g01360	g3651.t1
OG0000176	Sp01g01263	g3748.t1
OG0000176	Sp10g00884	g5706.t1
OG0000176	Sp06g01057	g8529.t1
OG0000177	Sp01g01121	g3893.t1
OG0000177	Sp09g00843	g10243.t1
OG0000178	Sp01g00984	g4020.t1
OG0000178	Sp01g00989	g4017.t1
OG0000178	Sp01g00985	g4019.t1
OG0000178	Sp01g00988	g4018.t1
OG0000179	Sp06g00231, Sp06g00214, Sp06g00232, Sp06g00218, Sp11g00019, Sp10g00344	g5205.t1, g16005.t1, g7955.t1, g7957.t1
OG0000180	Sp16g00634	g6496.t1
OG0000180	Sp20g00247	g6192.t1
OG0000180	Sp09g00330	g9588.t1
OG0000181	Sp02g00760	g18025.t1
OG0000181	Sp20g00215	g6220.t1
OG0000181	Sp14g00375	g12177.t1
OG0000182	Sp20g00196	g6237.t1
OG0000182	Sp02g00665	g17930.t1
OG0000182	Sp09g00802	g10285.t1
OG0000183	Sp02g00293	g17576.t1
OG0000183	Sp20g00072	g6360.t1
OG0000184	Sp09g00563	g9785.t1
OG0000184	Sp05g00420	g6707.t1
OG0000185	Sp16g00189	g13304.t1
OG0000185	Sp09g00085	g9350.t1
OG0000185	Sp05g00186	g6923.t1
OG0000186	Sp17g00145	g7063.t1
OG0000187	Sp06g00526	g7673.t1
OG0000187	Sp08g01030	g16455.t1
OG0000188	Sp06g01141	g8562.t1
OG0000188	Sp09g00834	g10252.t1
OG0000189	Sp04g01229	g10593.t1
OG0000189	Sp07g01069, Sp18g00706	g8777.t1
OG0000190	Sp14g00258	g17800.t1, g12285.t1
OG0000190	Sp02g00528, Sp09g00211	g9470.t1
OG0000191	Sp14g00330	g12218.t1
OG0000191	Sp09g00951	g10143.t1
OG0000191	Sp09g00253	g9512.t1
OG0000191	Sp14g00331	g12217.t1
OG0000192	Sp09g00461	g9694.t1
OG0000192	Sp15g00189	g18870.t1, g18911.t1
OG0000193	Sp02g00053	g17342.t1
OG0000193	Sp09g00505	g9729.t1
OG0000193	Sp18g00153	g14991.t1
OG0000194	Sp09g00959	g10134.t1
OG0000195	Sp12g00480	g13915.t1
OG0000195	Sp11g00736	g15367.t1
OG0000195	Sp04g00990	g10814.t1
OG0000196	Sp02g00216	g17405.t1
OG0000196	Sp17g00500	g12659.t1
OG0000196	Sp17g00467	g12677.t1, g12712.t1, g12684.t1, g12700.t1
OG0000196	Sp17g00506	g12654.t1
OG0000197	Sp12g00664	g14059.t1
OG0000198	Sp12g00151	g14364.t1
OG0000198	Sp12g00130	g14382.t1
OG0000198	Sp11g00648	g15452.t1
