Orthogroup	Sp7498_pacbio.protein	Sp9509_oxford_v3.proteins
OG0000013	g10142.t1	Sp09g00953
OG0000013	g15271.t1	Sp11g00846
OG0000013	g1645.t1	Sp08g00439
OG0000013	g6396.t1	Sp20g00032
OG0000013	g11584.t1	Sp04g00198
OG0000013	g15541.t1	Sp11g00553
OG0000013	g19185.t1	Sp15g00460
OG0000013	g19231.t1	Sp19g00027
OG0000013	g901.t1	Sp08g01271
OG0000014	g1329.t1, g1328.t1	Sp08g00765, Sp08g00773
OG0000015	g19303.t1	Sp09g00105, Sp02g00223, Sp14g00154
OG0000015	g19302.t1	Sp19g00098, Sp08g01090
OG0000016	g13896.t1	Sp12g00466
OG0000016	g13897.t1, g13901.t1	Sp12g00468
OG0000016	g13888.t1	Sp12g00458
OG0000016	g13889.t1	Sp12g00459
OG0000016	g13891.t1	Sp12g00461
OG0000016	g13893.t1	Sp12g00463
OG0000016	g13890.t1	Sp12g00460
OG0000016	g13892.t1	Sp12g00462
OG0000016	g5107.t1	Sp10g00234
OG0000017	g35.t1	Sp13g00972
OG0000017	g12797.t1	Sp17g00350
OG0000017	g12011.t1	Sp14g00544, Sp02g00987
OG0000017	g18422.t1	Sp09g00478, Sp02g00988
OG0000017	g14936.t1	Sp18g00205
OG0000017	g16174.t1	Sp03g01205
OG0000018	g12330.t1	Sp14g00210
OG0000018	g9438.t1	Sp09g00179
OG0000018	g8118.t1	Sp06g00026
OG0000018	g5879.t1	Sp10g01082
OG0000018	g3549.t1	Sp01g01764
OG0000018	g7858.t1	Sp06g00336
OG0000018	g5671.t1	Sp10g00845
OG0000018	g13010.t1	Sp17g00117
OG0000018	g15558.t1	Sp11g00536
OG0000019	g18521.t1, g2025.t1, g11926.t1, g15739.t1, g15737.t1, g15621.t1, g15717.t1, g15745.t1, g15743.t1, g15738.t1, g11930.t1, g15740.t1, g11924.t1, g11928.t1, g8902.t1	Sp19g00245
OG0000020	g14665.t1	Sp18g00485
OG0000020	g17948.t1	Sp02g00688
OG0000020	g17950.t1	Sp02g00690
OG0000021	g15252.t1	Sp11g00864
OG0000023	g6786.t1	Sp05g00332
OG0000023	g13310.t1	Sp16g00193
OG0000023	g5066.t1	Sp10g00184
OG0000023	g5869.t1	Sp10g01073
OG0000023	g6716.t1	Sp05g00411
OG0000023	g1500.t1	Sp19g00255, Sp08g00589
OG0000023	g488.t1	Sp13g00459
OG0000024	g9164.t1	Sp19g00501
OG0000024	g776.t1	Sp08g00009
OG0000026	g1634.t1	Sp08g00447
OG0000026	g8962.t1	Sp19g00300
OG0000026	g526.t1	Sp13g00411
OG0000026	g15867.t1	Sp11g00163
OG0000026	g14911.t1	Sp18g00231
OG0000026	g7216.t1	Sp05g00747
OG0000026	g14155.t1	Sp12g00765
OG0000026	g7430.t1	Sp05g00967
OG0000027	g12189.t1	Sp14g00364
OG0000027	g16393.t1	Sp03g00963
OG0000027	g13195.t1	Sp16g00079
OG0000027	g19308.t1	Sp19g00103
OG0000027	g5176.t1	Sp10g00313
OG0000028	g3019.t1	Sp07g00938
OG0000028	g6242.t1	Sp20g00190
OG0000028	g13324.t1, g6501.t1, g12853.t1	Sp17g00289
OG0000029	g14631.t1	Sp18g00519
OG0000030	g17465.t1	Sp02g00156
OG0000030	g1068.t1	Sp08g01087
OG0000030	g16087.t1	Sp03g01311
OG0000030	g11477.t1, g2588.t1	Sp04g00298
OG0000030	g13978.t1	Sp12g00579
OG0000030	g18863.t1, g18904.t1	Sp15g00178
OG0000031	g16109.t1	Sp03g01283
OG0000031	g1085.t1	Sp08g01067
OG0000031	g3187.t1	Sp07g01101
OG0000031	g15029.t1	Sp18g00114
OG0000031	g17420.t1	Sp02g00201
OG0000032	g14868.t1	Sp18g00276
OG0000032	g18277.t1	Sp13g00098
OG0000032	g18276.t1	Sp13g00099
OG0000032	g18475.t1	Sp02g01052
OG0000032	g4006.t1	Sp01g01000
OG0000032	g9530.t1	Sp09g00270
OG0000033	g16748.t1	Sp03g00591
OG0000033	g17146.t1	Sp03g00193
OG0000033	g11404.t1	Sp04g00376
OG0000033	g6110.t1, g18348.t1	Sp20g00337, Sp13g00030
OG0000034	g18771.t1, g18768.t1	Sp15g00063
OG0000035	g7448.t1	Sp05g00988
OG0000035	g5149.t1	Sp10g00275
OG0000035	g21.t1	Sp13g00990
OG0000035	g14166.t1	Sp12g00779
OG0000035	g15243.t1	Sp11g00881
OG0000035	g15242.t1	Sp11g00883
OG0000035	g14165.t1	Sp11g00882, Sp10g00276, Sp12g00778
OG0000036	g1859.t1	Sp18g00637, Sp01g01661, Sp07g00837, Sp01g01666
OG0000036	g331.t1	Sp13g00640
OG0000036	g19305.t1	Sp19g00100
OG0000037	g416.t1	Sp13g00546
OG0000037	g414.t1	Sp13g00547
OG0000037	g1272.t1	Sp08g00848
OG0000037	g412.t1	Sp08g00849, Sp09g00373, Sp08g00846, Sp13g00549
OG0000037	g418.t1	Sp13g00544, Sp13g00543
OG0000038	g13235.t1	Sp16g00116
OG0000038	g11617.t1	Sp04g00160
OG0000038	g2568.t1	Sp07g00479
OG0000038	g4857.t1	Sp01g00032
OG0000038	g16396.t1	Sp03g00958
OG0000038	g15720.t1	Sp11g00357
OG0000039	g2625.t1	Sp16g00159
OG0000041	g5134.t1	Sp10g00262
OG0000041	g4110.t1	Sp01g00888
OG0000041	g9965.t1	Sp09g00760
OG0000041	g3434.t1	Sp01g01540
OG0000042	g11843.t1	Sp14g00693
OG0000042	g6750.t1	Sp05g00376
OG0000042	g8825.t1, g1588.t1	Sp08g00501
OG0000042	g9829.t1	Sp09g00616
OG0000042	g10406.t1	Sp04g01424
OG0000043	g14440.t1	Sp12g00052
OG0000043	g14375.t1	Sp12g00137
OG0000043	g3986.t1	Sp01g01020
OG0000043	g15925.t1	Sp11g00111
OG0000043	g9193.t1	Sp20g00555
OG0000043	g9863.t1	Sp09g00650
OG0000044	g11425.t1	Sp10g00370, Sp04g00354
OG0000044	g5081.t1	Sp10g00199
OG0000045	g15664.t1	Sp14g00664
OG0000045	g15665.t1, g15666.t1	Sp14g00665, Sp14g00663
OG0000046	g12989.t1	Sp11g00465, Sp11g00456, Sp11g00452, Sp11g00470, Sp11g00459, Sp15g00181, Sp11g00450, Sp11g00460, Sp11g00451, Sp11g00458, Sp11g00469, Sp11g00468, Sp15g00179, Sp11g00466, Sp11g00453, Sp11g00464
OG0000048	g14501.t1, g12578.t1, g12579.t1, g5.t1	Sp13g01005
OG0000049	g1288.t1	Sp08g00828
OG0000049	g2374.t1, g2408.t1, g2938.t1, g2377.t1, g2376.t1, g17155.t1, g10098.t1, g10097.t1	Sp07g00288, Sp07g00845, Sp07g00317, Sp07g00285
OG0000050	g5895.t1	Sp10g01099
OG0000050	g3587.t1	Sp01g01801
OG0000050	g12507.t1	Sp14g00027
OG0000050	g17338.t1	Sp02g00050
OG0000050	g5394.t1	Sp10g00539
OG0000051	g18886.t1, g18845.t1	Sp15g00157
OG0000051	g15811.t1	Sp11g00271
OG0000051	g5635.t1	Sp10g00791
OG0000051	g15886.t1	Sp11g00148, Sp10g00789, Sp20g00545
OG0000052	g7340.t1, g7344.t1, g7339.t1, g7343.t1, g7342.t1, g7341.t1, g7338.t1, g7337.t1	Sp05g00869, Sp05g00870
OG0000052	g7336.t1	Sp05g00818
OG0000053	g18518.t1	Sp02g01227, Sp02g01209, Sp02g01226, Sp02g01217, Sp02g01210
OG0000054	g16769.t1, g2303.t1	Sp07g00178
OG0000054	g2304.t1	Sp07g00176
OG0000054	g2307.t1	Sp07g00174
OG0000055	g11832.t1	Sp14g00706
OG0000055	g8782.t1	Sp18g00701
OG0000055	g2697.t1	Sp07g00590
OG0000055	g11923.t1, g18540.t1	Sp14g00630
OG0000055	g18409.t1	Sp02g00976
OG0000056	g7180.t1	Sp05g00705
OG0000056	g13632.t1, g12686.t1, g3207.t1	Sp16g00578
OG0000057	g5358.t1, g5360.t1	Sp10g00505
OG0000058	g7826.t1	Sp06g00375
OG0000058	g12878.t1	Sp09g00561
OG0000059	g10516.t1	Sp12g00621, Sp01g01707, Sp20g00335, Sp14g00575, Sp13g00044, Sp20g00336, Sp06g00055, Sp02g00272, Sp01g00669
OG0000060	g18757.t1	Sp15g00054
OG0000060	g14210.t1	Sp12g00825
OG0000060	g10689.t1	Sp04g01118
OG0000060	g16538.t1	Sp03g00808
OG0000060	g16305.t1	Sp03g01071
OG0000062	g17357.t1	Sp14g00053, Sp02g00071
OG0000062	g7979.t1	Sp06g00189
OG0000062	g205.t1	Sp13g00773
OG0000063	g655.t1, g15777.t1	Sp11g00306
OG0000063	g12123.t1	Sp14g00434, Sp14g00435
OG0000063	g648.t1	Sp13g00278
OG0000063	g649.t1	Sp13g00276
OG0000064	g19260.t1	Sp19g00056
OG0000064	g13929.t1, g13931.t1	Sp12g00516
OG0000064	g13935.t1	Sp12g00523
OG0000064	g13932.t1, g13933.t1, g13934.t1	Sp12g00520
OG0000065	g2142.t1	Sp16g00333, Sp07g00038
OG0000066	g2230.t1	Sp07g00133
OG0000066	g16596.t1	Sp03g00742
OG0000066	g10165.t1	Sp09g00924
OG0000066	g4800.t1	Sp01g00090
OG0000066	g17091.t1	Sp03g00254
OG0000067	g5634.t1	Sp10g00788
OG0000067	g3978.t1	Sp01g01030
OG0000067	g10273.t1	Sp09g00814
OG0000067	g17717.t1	Sp02g00439
OG0000067	g13701.t1	Sp12g00253
OG0000068	g10113.t1	Sp09g00983
OG0000069	g12561.t1	Sp14g00791
OG0000069	g9211.t1	Sp20g00568
OG0000070	g10676.t1	Sp04g01140
OG0000072	g2460.t1	Sp07g00373
OG0000072	g11752.t1	Sp04g00022
OG0000072	g13093.t1	Sp17g00030
OG0000072	g11362.t1	Sp04g00412
OG0000072	g15991.t1	Sp11g00040
OG0000073	g7869.t1	Sp06g00324
OG0000073	g7873.t1	Sp06g00320
OG0000073	g7872.t1	Sp06g00321
OG0000073	g7876.t1	Sp06g00315
OG0000073	g7874.t1	Sp06g00319
OG0000073	g7871.t1	Sp06g00323, Sp06g00318, Sp06g00322
OG0000074	g8256.t1	Sp02g00736, Sp06g00759
OG0000075	g8623.t1, g8626.t1	Sp06g01198
OG0000075	g16359.t1	Sp03g00998
OG0000075	g8622.t1, g8627.t1	Sp06g01197
OG0000076	g14680.t1	Sp04g01352, Sp04g01344, Sp18g00467
OG0000077	g423.t1	Sp13g00537
OG0000077	g6205.t1	Sp20g00232
OG0000078	g1675.t1	Sp08g00405
OG0000078	g13075.t1, g13076.t1	Sp17g00050, Sp17g00049
OG0000078	g13074.t1, g13073.t1	Sp17g00051
OG0000079	g4409.t1	Sp01g00580
OG0000079	g5098.t1	Sp10g00219, Sp10g00221
OG0000079	g16054.t1	Sp03g01365
OG0000080	g4560.t1	Sp01g00395, Sp01g00398
OG0000080	g16061.t1	Sp03g01359
OG0000080	g9973.t1	Sp09g00769
OG0000081	g14971.t1	Sp18g00173
OG0000081	g6877.t1	Sp05g00233
OG0000081	g10289.t1	Sp09g00795
OG0000081	g16108.t1	Sp03g01286
OG0000082	g6965.t1	Sp05g00138
OG0000082	g6963.t1	Sp05g00140
OG0000082	g6957.t1	Sp05g00118
OG0000082	g6958.t1	Sp05g00115
OG0000083	g7284.t1	Sp05g00811
OG0000083	g13860.t1	Sp12g00429
OG0000083	g8888.t1	Sp19g00232
OG0000084	g19082.t1	Sp15g00364
OG0000084	g19078.t1	Sp15g00360
OG0000084	g16722.t1	Sp03g00620
OG0000084	g16241.t1, g16647.t1	Sp03g00691
OG0000084	g16736.t1	Sp03g00607
OG0000084	g16259.t1	Sp03g01137, Sp03g01117
OG0000085	g18557.t1	Sp02g01148
OG0000086	g916.t1, g6259.t1	Sp20g00175
OG0000086	g6039.t1	Sp20g00413
OG0000086	g6034.t1	Sp20g00417
OG0000086	g18532.t1	Sp08g01256, Sp02g01122
OG0000087	g1514.t1	Sp08g00575
OG0000087	g8924.t1	Sp19g00265
OG0000087	g6886.t1, g6885.t1	Sp05g00227
OG0000088	g9111.t1	Sp19g00446
OG0000088	g6537.t1	Sp05g00620
OG0000088	g2098.t1	Sp08g00054
OG0000089	g2689.t1	Sp07g00584
OG0000090	g13531.t1	Sp16g00438
OG0000090	g2871.t1	Sp07g00781
OG0000090	g4950.t1	Sp10g00067
OG0000090	g4583.t1	Sp01g00365
OG0000091	g2946.t1	Sp07g00851
OG0000091	g11260.t1	Sp04g00544
OG0000091	g13305.t1	Sp16g00190
OG0000092	g3471.t1	Sp01g01569
OG0000092	g3470.t1	Sp01g01568
OG0000092	g8649.t1	Sp06g01222
OG0000092	g7823.t1	Sp06g00380
OG0000093	g4416.t1	Sp01g00574
OG0000093	g4415.t1	Sp06g00678, Sp01g00575
OG0000093	g8156.t1, g8189.t1	Sp10g00570
OG0000094	g4528.t1	Sp01g00443
OG0000094	g16115.t1	Sp03g01277
OG0000094	g17551.t1	Sp02g00265
OG0000094	g5245.t1	Sp10g00385
OG0000095	g10304.t1	Sp09g00777
OG0000095	g4548.t1	Sp01g00419
OG0000095	g16074.t1	Sp03g01338
OG0000095	g10306.t1	Sp09g00776
OG0000096	g9796.t1	Sp09g00580
OG0000096	g4730.t1	Sp01g00195
OG0000096	g18681.t1	Sp02g01288
OG0000097	g7864.t1	Sp06g00328
OG0000097	g5664.t1	Sp10g00834
OG0000097	g10491.t1	Sp04g01329
OG0000098	g9577.t1	Sp09g00321
OG0000098	g9576.t1	Sp09g00319
OG0000098	g18071.t1	Sp02g00807
OG0000098	g6203.t1	Sp02g00808, Sp20g00235
OG0000099	g6354.t1	Sp20g00077
OG0000099	g9446.t1	Sp02g00442
OG0000100	g6494.t1	Sp16g00636
OG0000101	g8368.t1	Sp06g00887
OG0000101	g16830.t1	Sp03g00524
OG0000102	g10573.t1	Sp04g01248
OG0000102	g14534.t1	Sp18g00614
OG0000103	g12954.t1, g12955.t1	Sp17g00183
OG0000103	g12953.t1	Sp17g00209
OG0000103	g12936.t1	Sp17g00206
OG0000103	g12939.t1, g12937.t1, g12941.t1	Sp17g00199
OG0000105	g18444.t1	Sp02g01013
OG0000105	g12641.t1	Sp17g00525
OG0000105	g12695.t1, g12671.t1	Sp17g00414, Sp17g00454
OG0000105	g90.t1	Sp13g00906
OG0000106	g388.t1	Sp13g00576
OG0000106	g1196.t1	Sp08g00934
OG0000106	g10122.t1	Sp09g00973
OG0000106	g16724.t1	Sp03g00618
OG0000107	g5356.t1	Sp10g00503
OG0000107	g5384.t1	Sp10g00527
OG0000107	g5388.t1	Sp10g00533
OG0000107	g2086.t1	Sp08g00066
OG0000108	g2355.t1	Sp07g00263
OG0000108	g2357.t1	Sp07g00269, Sp07g00265, Sp07g00267, Sp07g00270
OG0000108	g2354.t1	Sp07g00262
OG0000109	g11610.t1	Sp04g00168
OG0000109	g13226.t1	Sp16g00109
OG0000109	g5197.t1	Sp10g00335
OG0000109	g2565.t1	Sp07g00476
OG0000110	g3813.t1	Sp01g01202
OG0000110	g8803.t1	Sp18g00748
OG0000110	g16323.t1	Sp03g01049
OG0000111	g4442.t1	Sp01g00546
OG0000111	g5684.t1	Sp10g00860
OG0000111	g8498.t1	Sp06g01024
OG0000112	g4815.t1	Sp01g00075
OG0000112	g7445.t1	Sp05g00985
OG0000112	g14156.t1	Sp12g00766
OG0000112	g17125.t1	Sp03g00214
OG0000113	g5322.t1	Sp04g00127, Sp06g00208
OG0000114	g6078.t1	Sp20g00371
OG0000114	g18449.t1	Sp02g01017
OG0000115	g15373.t1	Sp11g00730
OG0000115	g6630.t1	Sp05g00527
OG0000115	g18582.t1	Sp11g00729, Sp02g01176
OG0000116	g12484.t1	Sp14g00048
OG0000116	g9116.t1, g9115.t1	Sp19g00451
OG0000116	g9114.t1	Sp19g00450
OG0000117	g16858.t1, g16857.t1	Sp03g00496
OG0000117	g12051.t1	Sp14g00505
OG0000117	g15284.t1	Sp11g00832
OG0000118	g12969.t1	Sp17g00169
OG0000119	g18180.t1	Sp02g00926
OG0000119	g18181.t1	Sp02g00927
OG0000119	g18179.t1	Sp02g00925
OG0000119	g18174.t1	Sp02g00921
OG0000119	g18176.t1	Sp02g00923
OG0000122	g906.t1	Sp08g01267
OG0000122	g288.t1	Sp13g00681
OG0000122	g263.t1	Sp13g00708
OG0000123	g15593.t1	Sp11g00495
OG0000123	g17406.t1	Sp02g00214
OG0000123	g279.t1, g278.t1	Sp13g00693
OG0000123	g13564.t1	Sp16g00469
OG0000124	g8610.t1	Sp06g01186
OG0000124	g497.t1	Sp13g00449
OG0000124	g6997.t1	Sp05g00061
OG0000125	g1809.t1	Sp08g00263
OG0000125	g7709.t1	Sp06g00486
OG0000125	g657.t1	Sp13g00269
OG0000126	g6935.t1	Sp05g00175
OG0000126	g10229.t1	Sp09g00857
OG0000126	g1110.t1	Sp08g01039
OG0000127	g17261.t1	Sp01g00011, Sp03g00034
OG0000127	g1182.t1	Sp08g00949
OG0000128	g1431.t1	Sp08g00662
OG0000128	g6814.t1	Sp05g00304
OG0000128	g7136.t1	Sp05g00662
OG0000128	g9159.t1	Sp13g00100, Sp19g00496
OG0000129	g1777.t1	Sp08g00298
OG0000129	g1523.t1	Sp08g00567
OG0000129	g8922.t1	Sp19g00263
OG0000130	g1739.t1	Sp08g00338
OG0000130	g7611.t1	Sp06g00594
OG0000130	g8974.t1	Sp19g00310
OG0000130	g6713.t1	Sp05g00414
OG0000131	g1926.t1	Sp01g01596
OG0000131	g8051.t1	Sp06g00111
OG0000132	g11294.t1	Sp04g00509
OG0000132	g3783.t1	Sp01g01228
OG0000132	g2220.t1	Sp07g00124
OG0000133	g4769.t1, g2283.t1	Sp07g00197, Sp01g00124
OG0000133	g12760.t1	Sp16g00318, Sp17g00390
OG0000134	g2604.t1	Sp07g00497
OG0000134	g13256.t1	Sp16g00137
OG0000134	g5055.t1	Sp10g00173
OG0000135	g9671.t1, g11975.t1	Sp14g00587
OG0000136	g16288.t1	Sp03g01087
OG0000136	g2908.t1	Sp07g00817
OG0000137	g3346.t1	Sp01g01437
OG0000137	g7992.t1	Sp06g00176
OG0000137	g5767.t1	Sp10g00968
OG0000138	g8543.t1	Sp06g01076, Sp06g01077
OG0000138	g8544.t1	Sp06g01079, Sp06g01105
OG0000138	g5719.t1, g3711.t1	Sp01g01299
OG0000139	g8359.t1	Sp06g00878
OG0000139	g8361.t1	Sp06g00880
OG0000139	g8358.t1	Sp06g00877
OG0000139	g4109.t1	Sp01g00889
OG0000139	g7794.t1	Sp06g00406
OG0000140	g4658.t1	Sp01g00284
OG0000141	g12129.t1	Sp14g00426
OG0000141	g6197.t1	Sp20g00242
OG0000141	g5179.t1	Sp10g00316
OG0000141	g9581.t1	Sp09g00325
OG0000142	g13237.t1	Sp16g00118
OG0000142	g11626.t1	Sp04g00149
OG0000142	g5204.t1	Sp10g00342
OG0000143	g18122.t1	Sp02g00864
OG0000143	g6184.t1	Sp20g00256
OG0000143	g9599.t1	Sp09g00342
OG0000144	g9177.t1	Sp19g00517
OG0000144	g7084.t1, g7114.t1	Sp05g00641
OG0000144	g8251.t1	Sp06g00754
OG0000145	g18934.t1	Sp15g00217, Sp15g00219, Sp15g00216
OG0000145	g7291.t1	Sp05g00821
OG0000145	g7290.t1	Sp05g00820
OG0000146	g12002.t1	Sp14g00556
OG0000146	g9703.t1	Sp09g00470
OG0000147	g18465.t1	Sp02g01039
OG0000147	g9741.t1	Sp02g01038, Sp09g00518, Sp09g00519
OG0000148	g14944.t1	Sp18g00196
OG0000148	g9865.t1	Sp09g00652
OG0000148	g9866.t1	Sp09g00653
OG0000148	g9868.t1	Sp09g00655
OG0000149	g11234.t1	Sp04g00566
OG0000149	g11231.t1	Sp04g00569
OG0000149	g11236.t1	Sp04g00564
OG0000149	g11233.t1	Sp04g00567
OG0000150	g18513.t1	Sp02g01102
OG0000150	g15280.t1	Sp11g00837
OG0000150	g14079.t1	Sp12g00688
OG0000151	g15218.t1	Sp11g00907, Sp11g00906, Sp11g00909
OG0000152	g17633.t1	Sp02g00353
OG0000153	g18187.t1, g18188.t1	Sp01g00642
OG0000154	g18407.t1	Sp02g00974
OG0000154	g18406.t1	Sp02g00973
OG0000155	g18310.t1	Sp13g00068
OG0000156	g370.t1	Sp13g00600
OG0000156	g371.t1	Sp13g00599
OG0000156	g14582.t1	Sp18g00568
OG0000156	g14580.t1	Sp18g00569
OG0000157	g395.t1	Sp13g00568
OG0000157	g6890.t1	Sp05g00224
OG0000157	g1212.t1	Sp08g00919
OG0000158	g536.t1	Sp13g00400
OG0000158	g9034.t1	Sp19g00320
OG0000158	g1660.t1	Sp08g00420
OG0000159	g605.t1	Sp13g00320
OG0000159	g9069.t1	Sp19g00402
OG0000159	g3195.t1	Sp07g00789
OG0000159	g1942.t1	Sp08g00223
OG0000160	g19288.t1	Sp19g00086
OG0000160	g1038.t1	Sp08g01119
OG0000160	g16097.t1	Sp03g01296
OG0000161	g1582.t1	Sp08g00506
OG0000162	g6733.t1	Sp05g00393
OG0000162	g12794.t1, g1600.t1	Sp08g00488
OG0000163	g16568.t1	Sp03g00772
OG0000163	g2226.t1	Sp07g00128
OG0000164	g16928.t1	Sp03g00430
OG0000164	g4756.t1	Sp01g00139
OG0000164	g2266.t1	Sp07g00214
OG0000165	g12013.t1	Sp14g00543
OG0000165	g6730.t1	Sp05g00396
OG0000165	g2475.t1	Sp07g00389
OG0000165	g11705.t1	Sp04g00068
OG0000166	g2673.t1, g17494.t1	Sp14g00098
OG0000166	g12432.t1	Sp02g00126
OG0000167	g2823.t1	Sp07g00730
OG0000167	g9657.t1	Sp09g00416
OG0000167	g18262.t1	Sp13g00114
OG0000168	g4008.t1	Sp01g00997
OG0000168	g2904.t1	Sp07g00815
OG0000168	g16290.t1	Sp03g01086
OG0000169	g4264.t1	Sp01g00721
OG0000169	g14888.t1	Sp18g00255
OG0000169	g2983.t1	Sp07g00898
OG0000170	g16342.t1	Sp03g01015
OG0000170	g3138.t1	Sp07g01047
OG0000170	g12030.t1	Sp14g00528
OG0000171	g3248.t1	Sp16g00534
OG0000171	g3247.t1	Sp16g00532, Sp16g00535
OG0000171	g3252.t1	Sp16g00531
OG0000172	g5219.t1	Sp10g00359
OG0000172	g3300.t1	Sp01g01389
OG0000173	g16369.t1	Sp03g00989
OG0000173	g3365.t1	Sp01g01460
OG0000174	g3541.t1	Sp01g01756
OG0000174	g8109.t1	Sp06g00033
OG0000174	g17668.t1	Sp02g00391
OG0000174	g9604.t1	Sp09g00348
OG0000175	g14547.t1	Sp18g00603
OG0000175	g5739.t1	Sp10g00931
OG0000175	g3651.t1	Sp01g01360
OG0000176	g3748.t1	Sp01g01263
OG0000176	g5706.t1	Sp10g00884
OG0000176	g8529.t1	Sp06g01057
OG0000177	g3893.t1	Sp01g01121
OG0000177	g10243.t1	Sp09g00843
OG0000178	g4020.t1	Sp01g00984
OG0000178	g4017.t1	Sp01g00989
OG0000178	g4019.t1	Sp01g00985
OG0000178	g4018.t1	Sp01g00988
OG0000179	g5205.t1, g16005.t1, g7955.t1, g7957.t1	Sp06g00231, Sp06g00214, Sp06g00232, Sp06g00218, Sp11g00019, Sp10g00344
OG0000180	g6496.t1	Sp16g00634
OG0000180	g6192.t1	Sp20g00247
OG0000180	g9588.t1	Sp09g00330
OG0000181	g18025.t1	Sp02g00760
OG0000181	g6220.t1	Sp20g00215
OG0000181	g12177.t1	Sp14g00375
OG0000182	g6237.t1	Sp20g00196
OG0000182	g17930.t1	Sp02g00665
OG0000182	g10285.t1	Sp09g00802
OG0000183	g17576.t1	Sp02g00293
OG0000183	g6360.t1	Sp20g00072
OG0000184	g9785.t1	Sp09g00563
OG0000184	g6707.t1	Sp05g00420
OG0000185	g13304.t1	Sp16g00189
OG0000185	g9350.t1	Sp09g00085
OG0000185	g6923.t1	Sp05g00186
OG0000186	g7063.t1	Sp17g00145
OG0000187	g7673.t1	Sp06g00526
OG0000187	g16455.t1	Sp08g01030
OG0000188	g8562.t1	Sp06g01141
OG0000188	g10252.t1	Sp09g00834
OG0000189	g10593.t1	Sp04g01229
OG0000189	g8777.t1	Sp07g01069, Sp18g00706
OG0000190	g17800.t1, g12285.t1	Sp14g00258
OG0000190	g9470.t1	Sp02g00528, Sp09g00211
OG0000191	g12218.t1	Sp14g00330
OG0000191	g10143.t1	Sp09g00951
OG0000191	g9512.t1	Sp09g00253
OG0000191	g12217.t1	Sp14g00331
OG0000192	g9694.t1	Sp09g00461
OG0000192	g18870.t1, g18911.t1	Sp15g00189
OG0000193	g17342.t1	Sp02g00053
OG0000193	g9729.t1	Sp09g00505
OG0000193	g14991.t1	Sp18g00153
OG0000194	g10134.t1	Sp09g00959
OG0000195	g13915.t1	Sp12g00480
OG0000195	g15367.t1	Sp11g00736
OG0000195	g10814.t1	Sp04g00990
OG0000196	g17405.t1	Sp02g00216
OG0000196	g12659.t1	Sp17g00500
OG0000196	g12677.t1, g12712.t1, g12684.t1, g12700.t1	Sp17g00467
OG0000196	g12654.t1	Sp17g00506
OG0000197	g14059.t1	Sp12g00664
OG0000198	g14364.t1	Sp12g00151
OG0000198	g14382.t1	Sp12g00130
OG0000198	g15452.t1	Sp11g00648
