Orthogroup	Sp7498_pacbio.protein	wa8730.asm201904v2.ann1.proteins
OG0000010	g18703.t1	Wa8730a008g000350_P001, Wa8730a014g005820_P001, Wa8730a003g005260_P001, Wa8730a003g005060_P001, Wa8730a010g000070_P001, Wa8730a005g000510_P001, Wa8730a016g003000_P001, Wa8730a003g006990_P001
OG0000010	g6983.t1	Wa8730a004g003200_P001, Wa8730a010g000520_P001
OG0000011	g7952.t1, g9027.t1, g19373.t1, g19374.t1	Wa8730a005g002480_P001, Wa8730a005g002500_P001, Wa8730a005g002490_P001, Wa8730a005g002420_P001, Wa8730a005g001800_P001, Wa8730a005g001780_P001, Wa8730a005g001790_P001, Wa8730a005g001350_P001, Wa8730a004g006720_P001, Wa8730a004g000730_P001
OG0000012	g14655.t1, g14654.t1	Wa8730a016g001530_P001, Wa8730a003g003270_P001, Wa8730a003g003290_P001, Wa8730a003g003300_P001, Wa8730a003g003280_P001, Wa8730a016g001640_P001, Wa8730a016g001560_P001, Wa8730a016g001540_P001, Wa8730a016g001470_P001, Wa8730a007g009040_P001, Wa8730a016g001490_P001, Wa8730a016g001460_P001, Wa8730a016g001480_P001, Wa8730a016g001630_P001
OG0000013	g16650.t1	Wa8730a003g004220_P001
OG0000013	g10142.t1	Wa8730a014g001550_P001
OG0000013	g11584.t1	Wa8730a007g007700_P001
OG0000013	g15541.t1, g19185.t1	Wa8730a001g010290_P001
OG0000013	g19231.t1, g901.t1	Wa8730a005g000290_P001
OG0000014	g1329.t1, g1328.t1	Wa8730a005g003480_P001
OG0000015	g9370.t1	Wa8730a014g006880_P001
OG0000015	g12386.t1	Wa8730a013g004880_P001
OG0000015	g19303.t1, g19302.t1, g19300.t1	Wa8730a005g001460_P001
OG0000015	g6968.t1	Wa8730a004g008220_P001, Wa8730a010g000620_P001
OG0000015	g12379.t1, g17397.t1	Wa8730a002g008870_P001
OG0000015	g10711.t1	Wa8730a007g000880_P001
OG0000016	g13896.t1	Wa8730a015g003320_P001
OG0000016	g13897.t1, g13901.t1	Wa8730a015g002750_P001
OG0000016	g13888.t1, g13889.t1, g13891.t1, g13893.t1, g13890.t1, g13892.t1, g5107.t1	Wa8730a016g000410_P001, Wa8730a015g003530_P001
OG0000017	g35.t1	Wa8730a004g004710_P001
OG0000017	g12797.t1	Wa8730a008g005230_P001
OG0000017	g12011.t1	Wa8730a002g002020_P001
OG0000017	g14936.t1	Wa8730a016g003730_P001
OG0000017	g16174.t1	Wa8730a003g006950_P002, Wa8730a003g006950_P001
OG0000018	g12330.t1	Wa8730a013g004500_P001
OG0000018	g5879.t1	Wa8730a009g000220_P001, Wa8730a019g000160_P001
OG0000018	g3549.t1	Wa8730a001g012150_P001
OG0000018	g7858.t1, g5671.t1	Wa8730a019g002000_P001
OG0000019	g15688.t1, g15687.t1	Wa8730a011g002460_P001
OG0000019	g15703.t1	Wa8730a011g001460_P001
OG0000020	g14665.t1	Wa8730a016g001730_P001
OG0000020	g17948.t1, g17950.t1	Wa8730a002g005420_P001
OG0000021	g15252.t1	Wa8730a011g005590_P001, Wa8730a002g009900_P001, Wa8730a011g004700_P001, Wa8730a013g005130_P001, Wa8730a013g005120_P001, Wa8730a013g005140_P001, Wa8730a013g005150_P001, Wa8730a013g005100_P001, Wa8730a018g002300_P001, Wa8730a011g004730_P001, Wa8730a011g004580_P001
OG0000023	g6786.t1	Wa8730a010g002390_P001
OG0000023	g13310.t1	Wa8730a006g004110_P001
OG0000023	g5066.t1	Wa8730a020g002310_P001
OG0000023	g5869.t1	Wa8730a009g000330_P001
OG0000023	g6716.t1	Wa8730a010g002500_P001
OG0000023	g1500.t1, g488.t1	Wa8730a004g001670_P001
OG0000024	g9164.t1	Wa8730a004g005400_P001, Wa8730a004g005370_P001
OG0000024	g776.t1	Wa8730a005g006420_P001, Wa8730a005g006410_P001, Wa8730a005g006400_P001, Wa8730a005g006390_P001, Wa8730a005g006450_P001, Wa8730a005g006440_P001, Wa8730a004g000370_P001, Wa8730a005g008650_P001, Wa8730a005g008660_P001
OG0000026	g8962.t1	Wa8730a004g007190_P001
OG0000026	g526.t1	Wa8730a004g000680_P001
OG0000026	g15867.t1, g14911.t1	Wa8730a016g003670_P001
OG0000026	g14155.t1	Wa8730a015g001400_P001
OG0000027	g12189.t1	Wa8730a003g006110_P001
OG0000027	g6226.t1	Wa8730a017g002730_P001
OG0000027	g2525.t1	Wa8730a007g000770_P001
OG0000028	g3019.t1	Wa8730a012g004390_P001
OG0000028	g6501.t1	Wa8730a006g000600_P002, Wa8730a006g000600_P001
OG0000028	g12853.t1	Wa8730a008g004250_P001, Wa8730a008g004250_P002
OG0000028	g10443.t1	Wa8730a006g006440_P001
OG0000029	g14631.t1	Wa8730a016g001400_P001
OG0000030	g17465.t1	Wa8730a002g009650_P001
OG0000030	g1068.t1, g16087.t1	Wa8730a003g008590_P001
OG0000030	g11477.t1, g2588.t1	Wa8730a012g000980_P001
OG0000030	g7315.t1, g13978.t1, g18863.t1, g18904.t1	Wa8730a001g008960_P001
OG0000031	g16109.t1	Wa8730a003g008300_P001
OG0000031	g1085.t1	Wa8730a005g001670_P001
OG0000031	g3187.t1	Wa8730a012g005400_P001
OG0000031	g15029.t1	Wa8730a016g004350_P001
OG0000031	g17420.t1	Wa8730a002g009240_P001
OG0000032	g14868.t1	Wa8730a016g003190_P001
OG0000032	g18277.t1, g18276.t1	Wa8730a002g002970_P001
OG0000032	g18475.t1	Wa8730a002g001780_P001
OG0000032	g4006.t1	Wa8730a001g003780_P001
OG0000032	g9530.t1	Wa8730a014g005910_P001
OG0000033	g16748.t1	Wa8730a003g003690_P001
OG0000033	g17146.t1	Wa8730a003g000940_P001
OG0000033	g11404.t1	Wa8730a007g006610_P001
OG0000033	g6110.t1	Wa8730a017g001960_P001
OG0000033	g18348.t1	Wa8730a002g002310_P001
OG0000033	g10970.t1	Wa8730a007g002970_P001
OG0000034	g18771.t1, g18768.t1	Wa8730a010g003510_P001, Wa8730a010g003380_P001, Wa8730a010g003540_P001, Wa8730a010g003550_P001, Wa8730a010g003410_P001, Wa8730a010g003520_P001, Wa8730a010g003390_P001, Wa8730a005g007230_P001, Wa8730a005g008430_P001, Wa8730a005g007240_P001, Wa8730a005g007250_P001
OG0000035	g7448.t1	Wa8730a010g006410_P001
OG0000035	g5149.t1, g21.t1, g14166.t1, g15243.t1, g15242.t1, g14165.t1	Wa8730a004g004340_P001, Wa8730a004g004280_P001
OG0000036	g1859.t1	Wa8730a016g000590_P001, Wa8730a014g006110_P001, Wa8730a018g000430_P001, Wa8730a001g011460_P001
OG0000036	g331.t1, g19305.t1	Wa8730a004g008140_P001
OG0000037	g416.t1	Wa8730a004g002340_P001
OG0000037	g414.t1	Wa8730a004g002330_P001
OG0000037	g1272.t1	Wa8730a005g003060_P001
OG0000038	g13235.t1	Wa8730a007g001410_P001
OG0000038	g11617.t1	Wa8730a007g008070_P001
OG0000038	g4857.t1	Wa8730a009g007070_P001
OG0000038	g16396.t1	Wa8730a003g006220_P001
OG0000038	g15720.t1	Wa8730a011g002080_P001
OG0000039	g2625.t1	Wa8730a006g004370_P001, Wa8730a006g004140_P001, Wa8730a004g004290_P001, Wa8730a006g004350_P001, Wa8730a006g004340_P001, Wa8730a006g004360_P001
OG0000039	g2624.t1	Wa8730a006g004320_P001, Wa8730a006g004330_P001, Wa8730a006g004330_P002, Wa8730a006g004310_P001, Wa8730a006g004150_P001
OG0000040	g2910.t1, g2919.t1	Wa8730a019g000210_P001, Wa8730a005g001580_P001, Wa8730a005g001560_P001, Wa8730a005g001600_P001, Wa8730a005g001590_P001, Wa8730a005g001570_P001, Wa8730a004g008080_P001, Wa8730a006g000010_P001, Wa8730a005g001640_P001, Wa8730a005g001650_P001
OG0000041	g5134.t1	Wa8730a020g001380_P001
OG0000041	g4110.t1	Wa8730a001g003070_P001
OG0000041	g9965.t1, g3434.t1	Wa8730a009g000990_P001, Wa8730a001g010440_P001
OG0000042	g11843.t1	Wa8730a013g000800_P001
OG0000042	g6750.t1, g8825.t1, g1588.t1	Wa8730a005g005460_P001
OG0000042	g9829.t1	Wa8730a010g002090_P001
OG0000042	g10406.t1	Wa8730a006g006750_P001
OG0000043	g14440.t1	Wa8730a015g005960_P001
OG0000043	g14375.t1	Wa8730a015g005010_P001
OG0000043	g9863.t1	Wa8730a017g000300_P001
OG0000044	g11425.t1	Wa8730a020g000530_P001
OG0000045	g15665.t1, g15666.t1	Wa8730a011g002680_P001, Wa8730a011g002670_P001
OG0000045	g11870.t1, g11871.t1	Wa8730a013g000990_P001, Wa8730a013g000980_P001, Wa8730a013g000970_P001, Wa8730a013g001050_P001
OG0000046	g12989.t1	Wa8730a011g003090_P001, Wa8730a011g003060_P001
OG0000048	g12576.t1, g14501.t1, g12578.t1, g12579.t1, g5.t1	Wa8730a013g000090_P001
OG0000048	g11578.t1, g11580.t1, g11583.t1, g11576.t1, g11574.t1	Wa8730a017g001420_P001, Wa8730a020g000240_P001
OG0000049	g1288.t1, g2374.t1, g2408.t1, g2938.t1, g2377.t1, g2376.t1, g17155.t1, g10098.t1, g10097.t1	Wa8730a008g002380_P001, Wa8730a008g002350_P001
OG0000050	g5895.t1	Wa8730a009g000010_P001
OG0000050	g3587.t1	Wa8730a001g012480_P001
OG0000050	g12507.t1	Wa8730a013g005950_P001
OG0000050	g17338.t1	Wa8730a002g010460_P001
OG0000051	g18886.t1, g18845.t1	Wa8730a001g008950_P001
OG0000051	g15811.t1	Wa8730a011g001300_P001
OG0000051	g5635.t1	Wa8730a009g002780_P001
OG0000051	g15886.t1	Wa8730a011g000990_P001
OG0000052	g7340.t1, g7344.t1, g7339.t1, g7343.t1, g7342.t1, g7341.t1, g7338.t1, g7337.t1	Wa8730a010g005510_P001, Wa8730a010g005930_P001, Wa8730a010g005490_P001
OG0000052	g7336.t1	Wa8730a010g005480_P001
OG0000053	g18518.t1	Wa8730a008g004670_P001, Wa8730a008g004660_P001
OG0000054	g16769.t1, g2303.t1	Wa8730a010g003370_P001, Wa8730a010g003420_P001, Wa8730a010g003880_P001
OG0000054	g16770.t1, g2304.t1, g2307.t1	Wa8730a003g002590_P001
OG0000055	g11832.t1	Wa8730a013g000680_P001
OG0000055	g8782.t1	Wa8730a016g000290_P001
OG0000055	g2697.t1	Wa8730a012g002310_P001
OG0000055	g11923.t1, g18540.t1	Wa8730a005g000540_P001
OG0000056	g7180.t1	Wa8730a006g001100_P001
OG0000056	g13632.t1, g12686.t1, g3207.t1	Wa8730a006g001110_P002, Wa8730a006g001110_P001, Wa8730a006g000980_P001, Wa8730a006g001190_P001, Wa8730a006g001200_P001, Wa8730a006g000970_P001, Wa8730a006g001180_P001
OG0000057	g5358.t1, g5360.t1	Wa8730a009g004270_P001, Wa8730a009g004290_P001, Wa8730a009g004260_P001, Wa8730a009g004310_P001
OG0000058	g16515.t1	Wa8730a003g005250_P001
OG0000058	g7826.t1	Wa8730a005g008940_P001
OG0000058	g12878.t1	Wa8730a003g000690_P001
OG0000059	g10516.t1	Wa8730a015g002590_P001, Wa8730a001g011820_P001, Wa8730a002g002480_P001, Wa8730a002g008790_P001, Wa8730a001g001320_P001
OG0000060	g18757.t1	Wa8730a001g007820_P001
OG0000060	g14210.t1	Wa8730a015g001060_P001
OG0000060	g10689.t1	Wa8730a007g001010_P001
OG0000060	g16538.t1	Wa8730a003g005070_P001
OG0000060	g16305.t1	Wa8730a003g007410_P001
OG0000062	g17357.t1	Wa8730a002g010310_P001
OG0000062	g3320.t1	Wa8730a001g006530_P001
OG0000062	g7979.t1	Wa8730a019g001190_P001
OG0000062	g205.t1	Wa8730a008g003370_P001, Wa8730a004g004070_P001
OG0000063	g655.t1, g15777.t1	Wa8730a017g004300_P001, Wa8730a017g004300_P002
OG0000063	g12123.t1	Wa8730a013g002710_P001, Wa8730a013g002730_P001
OG0000065	g2142.t1	Wa8730a006g002860_P001, Wa8730a006g002850_P001, Wa8730a006g002840_P001, Wa8730a006g002830_P001, Wa8730a006g002810_P001, Wa8730a006g002820_P001, Wa8730a006g002800_P001
OG0000066	g2230.t1	Wa8730a008g001160_P001
OG0000066	g4800.t1, g17091.t1	Wa8730a003g001370_P001
OG0000066	g14505.t1	Wa8730a014g001720_P001
OG0000067	g5634.t1, g3978.t1	Wa8730a001g003960_P001, Wa8730a009g002790_P001
OG0000067	g10273.t1, g17717.t1	Wa8730a002g007610_P001
OG0000067	g13701.t1	Wa8730a015g004680_P001
OG0000068	g10113.t1	Wa8730a003g007250_P001, Wa8730a001g011240_P001, Wa8730a005g001220_P001, Wa8730a009g006530_P001
OG0000068	g6272.t1	Wa8730a002g000440_P001, Wa8730a008g005120_P001, Wa8730a017g003080_P001, Wa8730a005g002020_P001, Wa8730a012g002230_P001, Wa8730a008g003940_P001, Wa8730a019g000740_P001
OG0000069	g12561.t1	Wa8730a013g000220_P001
OG0000069	g9211.t1	Wa8730a017g000100_P001, Wa8730a014g001120_P001, Wa8730a017g000090_P001, Wa8730a014g001140_P001, Wa8730a017g000130_P001, Wa8730a017g000080_P001
OG0000070	g10676.t1	Wa8730a006g004560_P001, Wa8730a003g006570_P001, Wa8730a019g000220_P001
OG0000071	g12353.t1, g12354.t1, g12352.t1	Wa8730a013g004680_P001, Wa8730a013g003620_P002, Wa8730a013g003620_P003, Wa8730a013g003620_P001, Wa8730a013g004700_P001, Wa8730a013g004690_P001, Wa8730a013g004710_P001
OG0000071	g12355.t1, g17572.t1	Wa8730a002g008660_P001
OG0000072	g2460.t1	Wa8730a012g000060_P001
OG0000072	g13093.t1, g11362.t1, g15991.t1	Wa8730a011g000210_P001
OG0000073	g7869.t1, g7877.t1, g7873.t1, g7872.t1, g7876.t1, g7874.t1, g7871.t1	Wa8730a019g001900_P001
OG0000074	g8256.t1	Wa8730a002g005090_P001, Wa8730a002g005100_P001, Wa8730a002g005080_P001, Wa8730a002g005070_P001, Wa8730a002g004860_P001, Wa8730a002g004420_P001, Wa8730a002g004430_P001
OG0000075	g8623.t1, g8626.t1	Wa8730a018g001000_P001
OG0000075	g16359.t1	Wa8730a018g000820_P001
OG0000075	g8622.t1, g8627.t1	Wa8730a015g000460_P001
OG0000076	g14680.t1	Wa8730a016g001830_P001
OG0000077	g423.t1	Wa8730a005g003150_P001, Wa8730a004g002380_P001
OG0000077	g6205.t1	Wa8730a013g003530_P001
OG0000078	g1675.t1	Wa8730a005g006060_P001, Wa8730a005g006040_P001, Wa8730a005g006070_P001
OG0000078	g13075.t1, g13076.t1, g13074.t1, g13073.t1	Wa8730a008g003020_P001
OG0000079	g4409.t1	Wa8730a001g000800_P001
OG0000079	g5098.t1	Wa8730a006g003950_P001, Wa8730a020g001720_P001, Wa8730a020g001720_P002
OG0000079	g16054.t1	Wa8730a003g008720_P001
OG0000080	g4560.t1	Wa8730a009g005140_P002, Wa8730a009g005140_P001
OG0000080	g16061.t1, g9973.t1	Wa8730a014g002760_P001
OG0000081	g14971.t1	Wa8730a016g003980_P001
OG0000081	g6877.t1	Wa8730a010g001260_P001
OG0000081	g10289.t1	Wa8730a014g002520_P001
OG0000081	g16108.t1	Wa8730a003g008310_P001
OG0000083	g7284.t1	Wa8730a010g005160_P001
OG0000083	g13860.t1	Wa8730a015g003420_P001
OG0000083	g8888.t1	Wa8730a004g002110_P001, Wa8730a005g003990_P001, Wa8730a004g007350_P001
OG0000084	g19082.t1, g19078.t1, g16722.t1, g16241.t1, g16647.t1, g16736.t1, g16259.t1	Wa8730a003g003590_P001
OG0000085	g18557.t1	Wa8730a002g001140_P001, Wa8730a002g001110_P001, Wa8730a004g006000_P001, Wa8730a004g006100_P001, Wa8730a004g006080_P001, Wa8730a002g001130_P002, Wa8730a002g001130_P001
OG0000086	g916.t1, g6259.t1, g6039.t1	Wa8730a017g001190_P001, Wa8730a017g001210_P001
OG0000086	g18532.t1	Wa8730a005g000210_P001
OG0000087	g1514.t1	Wa8730a005g004710_P001
OG0000087	g8924.t1	Wa8730a004g006930_P001
OG0000087	g6886.t1, g6885.t1	Wa8730a005g002700_P001, Wa8730a010g001220_P001
OG0000088	g9111.t1	Wa8730a004g005670_P001
OG0000088	g6537.t1	Wa8730a010g003790_P001
OG0000088	g2098.t1	Wa8730a005g008720_P001, Wa8730a005g008780_P001, Wa8730a005g008770_P001
OG0000089	g2689.t1	Wa8730a012g001960_P001
OG0000090	g13531.t1	Wa8730a012g003160_P001, Wa8730a019g000930_P001, Wa8730a006g002080_P001
OG0000090	g2871.t1, g4950.t1, g4583.t1	Wa8730a009g005000_P001
OG0000091	g2946.t1	Wa8730a012g003750_P001
OG0000091	g11260.t1	Wa8730a007g005180_P001
OG0000091	g13305.t1	Wa8730a012g001500_P001
OG0000092	g3471.t1	Wa8730a001g010870_P001
OG0000092	g3470.t1	Wa8730a001g010860_P001
OG0000092	g8649.t1	Wa8730a018g000740_P001
OG0000092	g7823.t1	Wa8730a019g002130_P001
OG0000093	g4416.t1	Wa8730a001g000760_P001
OG0000093	g5426.t1	Wa8730a009g003910_P001
OG0000094	g4528.t1	Wa8730a009g004500_P001
OG0000094	g16115.t1	Wa8730a003g008260_P001
OG0000094	g17551.t1, g5245.t1	Wa8730a020g000710_P001
OG0000095	g10304.t1	Wa8730a014g002580_P001
OG0000095	g4548.t1	Wa8730a009g005320_P001
OG0000095	g16074.t1, g10306.t1	Wa8730a014g002700_P001, Wa8730a014g002690_P001
OG0000096	g9796.t1	Wa8730a014g004040_P001
OG0000096	g4730.t1, g18681.t1	Wa8730a003g002660_P001, Wa8730a009g006080_P001
OG0000097	g7864.t1	Wa8730a019g002010_P001
OG0000097	g5664.t1	Wa8730a009g003090_P001
OG0000097	g10491.t1	Wa8730a006g006060_P001
OG0000098	g9577.t1, g9576.t1	Wa8730a014g005590_P001
OG0000098	g18071.t1, g6203.t1	Wa8730a014g005570_P001, Wa8730a014g005580_P001
OG0000099	g6354.t1, g9446.t1	Wa8730a009g000600_P001, Wa8730a001g011310_P001, Wa8730a001g007920_P001, Wa8730a014g006440_P001, Wa8730a017g003740_P001
OG0000100	g6494.t1	Wa8730a006g000680_P001, Wa8730a006g000670_P001, Wa8730a006g000410_P001, Wa8730a006g000390_P001, Wa8730a006g000400_P001, Wa8730a006g000650_P001, Wa8730a006g000660_P001
OG0000101	g8368.t1	Wa8730a018g003200_P001
OG0000101	g16830.t1	Wa8730a003g002920_P001
OG0000102	g10573.t1, g14534.t1	Wa8730a016g000730_P001, Wa8730a004g000040_P001, Wa8730a016g000720_P001, Wa8730a004g000020_P001, Wa8730a016g000710_P001, Wa8730a016g000750_P001, Wa8730a016g000780_P001
OG0000103	g12954.t1, g12955.t1, g12953.t1, g12936.t1, g12939.t1, g12937.t1, g12941.t1, g12944.t1	Wa8730a008g005110_P001
OG0000105	g18444.t1	Wa8730a002g001370_P001
OG0000105	g12641.t1, g12695.t1, g12671.t1, g90.t1	Wa8730a004g005150_P001
OG0000106	g388.t1	Wa8730a020g000850_P001
OG0000106	g1196.t1	Wa8730a005g002540_P001
OG0000106	g10122.t1, g16724.t1	Wa8730a014g001280_P001
OG0000107	g5356.t1, g5384.t1, g5388.t1, g2086.t1	Wa8730a009g004350_P002, Wa8730a009g004350_P001, Wa8730a009g004130_P001
OG0000108	g2355.t1, g2357.t1, g2354.t1	Wa8730a008g002260_P001, Wa8730a008g002250_P001
OG0000109	g11610.t1	Wa8730a012g000750_P001
OG0000109	g13226.t1	Wa8730a007g000790_P001
OG0000109	g5197.t1, g2565.t1	Wa8730a020g000220_P001
OG0000110	g3813.t1	Wa8730a001g005150_P001
OG0000110	g8803.t1	Wa8730a016g000060_P001
OG0000110	g16323.t1	Wa8730a016g003890_P001
OG0000111	g4442.t1	Wa8730a001g000540_P001
OG0000111	g3846.t1, g5684.t1, g8498.t1	Wa8730a018g001980_P001, Wa8730a009g003060_P001
OG0000112	g4815.t1, g7445.t1, g14156.t1, g17125.t1	Wa8730a006g002920_P001, Wa8730a003g001090_P002, Wa8730a003g001090_P001
OG0000113	g5322.t1	Wa8730a007g008770_P001, Wa8730a007g008650_P001, Wa8730a007g008660_P001, Wa8730a007g008670_P001, Wa8730a007g003300_P001, Wa8730a009g001750_P001
OG0000114	g6078.t1, g18449.t1	Wa8730a002g001440_P001, Wa8730a003g000130_P001, Wa8730a003g003870_P001, Wa8730a003g003850_P001, Wa8730a003g003940_P001
OG0000115	g15373.t1	Wa8730a011g004900_P001
OG0000115	g18582.t1	Wa8730a010g003200_P001
OG0000116	g12484.t1, g9116.t1, g9115.t1, g9114.t1	Wa8730a004g005650_P001, Wa8730a004g005620_P001, Wa8730a004g005630_P001
OG0000117	g16858.t1, g16857.t1	Wa8730a003g002690_P001
OG0000117	g12051.t1	Wa8730a013g001530_P001
OG0000117	g15284.t1	Wa8730a011g005240_P001
OG0000118	g12969.t1	Wa8730a009g001380_P001, Wa8730a008g003840_P001, Wa8730a009g001370_P001, Wa8730a008g003800_P001, Wa8730a008g003770_P001, Wa8730a008g003790_P001
OG0000119	g18180.t1, g18181.t1, g18179.t1, g18174.t1, g18176.t1	Wa8730a002g003800_P001, Wa8730a002g003770_P001
OG0000122	g906.t1	Wa8730a005g000270_P001
OG0000122	g288.t1	Wa8730a004g003520_P001
OG0000122	g263.t1	Wa8730a004g003530_P001
OG0000123	g15593.t1	Wa8730a011g003450_P001
OG0000123	g17406.t1, g279.t1, g278.t1, g13564.t1	Wa8730a006g001850_P001
OG0000124	g6778.t1, g8610.t1, g497.t1	Wa8730a010g002010_P001
OG0000124	g6997.t1	Wa8730a010g000420_P001, Wa8730a004g001760_P001
OG0000125	g1809.t1	Wa8730a005g007190_P001
OG0000125	g7709.t1	Wa8730a019g002890_P001
OG0000126	g6935.t1	Wa8730a010g000870_P001
OG0000126	g10229.t1	Wa8730a014g002100_P001
OG0000126	g1110.t1	Wa8730a005g001920_P001, Wa8730a005g001920_P002
OG0000127	g17261.t1	Wa8730a003g000200_P001
OG0000128	g1431.t1	Wa8730a005g004140_P001
OG0000128	g6814.t1, g7136.t1, g9159.t1	Wa8730a004g005380_P001
OG0000129	g1777.t1	Wa8730a005g006960_P001
OG0000129	g1523.t1, g8922.t1	Wa8730a005g004800_P001, Wa8730a004g001960_P001
OG0000130	g1739.t1	Wa8730a005g006710_P001
OG0000130	g7611.t1	Wa8730a019g003460_P001
OG0000130	g8974.t1, g6713.t1	Wa8730a010g002460_P001
OG0000131	g1926.t1	Wa8730a001g011080_P001
OG0000131	g8051.t1	Wa8730a019g000660_P001, Wa8730a019g000690_P001, Wa8730a019g000680_P001, Wa8730a019g000700_P001
OG0000132	g11294.t1	Wa8730a007g005500_P001, Wa8730a007g005480_P001
OG0000132	g3783.t1, g2220.t1	Wa8730a001g005260_P001
OG0000133	g4769.t1, g2283.t1	Wa8730a009g006330_P001
OG0000133	g12760.t1	Wa8730a008g001630_P001, Wa8730a008g004950_P001
OG0000134	g2604.t1	Wa8730a012g001100_P001
OG0000134	g5055.t1	Wa8730a020g000350_P001, Wa8730a020g002200_P001
OG0000135	g9671.t1, g11975.t1	Wa8730a014g004990_P001
OG0000135	g2838.t1, g10857.t1	Wa8730a007g002540_P001
OG0000135	g14143.t1	Wa8730a015g001330_P001
OG0000136	g16288.t1	Wa8730a003g007220_P001
OG0000136	g2908.t1	Wa8730a012g003560_P001
OG0000136	g15101.t1	Wa8730a016g004720_P001
OG0000137	g3346.t1	Wa8730a001g006580_P001
OG0000137	g7992.t1, g5767.t1	Wa8730a009g001050_P001
OG0000138	g8543.t1	Wa8730a018g001560_P001
OG0000138	g8544.t1, g5719.t1, g3711.t1	Wa8730a009g003450_P002, Wa8730a009g003450_P001, Wa8730a018g001550_P001
OG0000139	g8359.t1, g8361.t1, g8358.t1, g4109.t1, g7794.t1, g13378.t1	Wa8730a006g003500_P001
OG0000141	g12129.t1	Wa8730a013g002840_P001
OG0000141	g6197.t1, g5179.t1, g9581.t1	Wa8730a014g005540_P001
OG0000142	g13237.t1	Wa8730a007g001360_P001
OG0000142	g11626.t1	Wa8730a007g001370_P001, Wa8730a007g007940_P001
OG0000142	g5204.t1	Wa8730a020g000290_P001
OG0000143	g18122.t1	Wa8730a002g004090_P001, Wa8730a002g004090_P002
OG0000143	g6184.t1, g9599.t1	Wa8730a014g005460_P001
OG0000144	g9177.t1	Wa8730a004g005320_P001
