#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
AT1G61180.1          -          NB-ARC               PF00931.23   1.4e-90  304.3   0.6   2.5e-90  303.5   0.6   1.4   1   0   0   1   1   1   1 | AT1G61180
AT5G48620.1          -          NB-ARC               PF00931.23   1.5e-81  274.8   0.8   2.7e-81  273.9   0.0   1.8   2   0   0   2   2   1   1 | AT5G48620
AT5G48620.2          -          NB-ARC               PF00931.23   1.5e-81  274.8   0.8   2.7e-81  273.9   0.0   1.8   2   0   0   2   2   1   1 | AT5G48620
AT5G48620.3          -          NB-ARC               PF00931.23   1.5e-81  274.8   0.8   2.7e-81  273.9   0.0   1.8   2   0   0   2   2   1   1 | AT5G48620
AT5G48620.4          -          NB-ARC               PF00931.23   1.5e-81  274.8   0.8   2.7e-81  273.9   0.0   1.8   2   0   0   2   2   1   1 | AT5G48620
AT5G48620.5          -          NB-ARC               PF00931.23   1.5e-81  274.8   0.8   2.7e-81  273.9   0.0   1.8   2   0   0   2   2   1   1 | AT5G48620
AT5G48620.6          -          NB-ARC               PF00931.23   1.5e-81  274.8   0.8   2.7e-81  273.9   0.0   1.8   2   0   0   2   2   1   1 | AT5G48620
AT5G63020.1          -          NB-ARC               PF00931.23   1.6e-81  274.6   0.1   2.7e-81  273.9   0.1   1.4   1   0   0   1   1   1   1 | AT5G63020
AT5G35450.1          -          NB-ARC               PF00931.23   2.5e-80  270.7   0.6   2.9e-79  267.3   0.1   2.2   2   0   0   2   2   1   1 | AT5G35450
AT5G35450.2          -          NB-ARC               PF00931.23   2.5e-80  270.7   0.6   2.9e-79  267.3   0.1   2.2   2   0   0   2   2   1   1 | AT5G35450
AT1G12210.2          -          NB-ARC               PF00931.23     4e-78  263.5   0.3   6.7e-78  262.8   0.3   1.4   1   0   0   1   1   1   1 | AT1G12210
AT1G12210.3          -          NB-ARC               PF00931.23     4e-78  263.5   0.3   6.7e-78  262.8   0.3   1.4   1   0   0   1   1   1   1 | AT1G12210
AT1G12210.1          -          NB-ARC               PF00931.23   4.3e-78  263.4   0.3   7.3e-78  262.6   0.3   1.4   1   0   0   1   1   1   1 | AT1G12210
AT1G12280.1          -          NB-ARC               PF00931.23     5e-78  263.2   0.0   9.7e-78  262.2   0.0   1.5   1   0   0   1   1   1   1 | AT1G12280
AT1G12280.2          -          NB-ARC               PF00931.23   3.8e-76  257.0   0.0   7.7e-76  256.0   0.0   1.5   1   0   0   1   1   1   1 | AT1G12280
AT1G53350.1          -          NB-ARC               PF00931.23   4.4e-75  253.5   0.1   4.4e-75  253.5   0.1   1.8   2   0   0   2   2   1   1 | AT1G53350
AT1G63350.1          -          NB-ARC               PF00931.23   5.8e-73  246.6   0.4     1e-72  245.8   0.4   1.4   1   0   0   1   1   1   1 | AT1G63350
AT1G63350.4          -          NB-ARC               PF00931.23     6e-73  246.6   0.4     1e-72  245.8   0.4   1.4   1   0   0   1   1   1   1 | AT1G63350
AT1G63350.2          -          NB-ARC               PF00931.23   6.5e-73  246.4   0.4   1.1e-72  245.7   0.4   1.4   1   0   0   1   1   1   1 | AT1G63350
AT1G63350.3          -          NB-ARC               PF00931.23   6.5e-73  246.4   0.4   1.1e-72  245.7   0.4   1.4   1   0   0   1   1   1   1 | AT1G63350
AT5G43740.1          -          NB-ARC               PF00931.23   4.7e-72  243.6   0.1   9.4e-72  242.6   0.1   1.5   1   0   0   1   1   1   1 | AT5G43740
AT5G43740.2          -          NB-ARC               PF00931.23   4.7e-72  243.6   0.1   9.4e-72  242.6   0.1   1.5   1   0   0   1   1   1   1 | AT5G43740
AT4G10780.2          -          NB-ARC               PF00931.23   6.2e-72  243.2   0.9   9.6e-72  242.6   0.9   1.3   1   0   0   1   1   1   1 | AT4G10780
AT4G10780.1          -          NB-ARC               PF00931.23   6.3e-72  243.2   0.9   9.7e-72  242.6   0.9   1.3   1   0   0   1   1   1   1 | AT4G10780
AT1G15890.1          -          NB-ARC               PF00931.23   1.1e-71  242.4   0.0   1.8e-71  241.7   0.0   1.3   1   0   0   1   1   1   1 | AT1G15890
AT1G15890.2          -          NB-ARC               PF00931.23   3.1e-71  240.9   0.1   4.4e-71  240.4   0.1   1.2   1   0   0   1   1   1   1 | AT1G15890
AT5G43730.1          -          NB-ARC               PF00931.23   1.5e-70  238.7   0.0   3.1e-70  237.7   0.0   1.6   1   0   0   1   1   1   1 | AT5G43730
AT5G43730.2          -          NB-ARC               PF00931.23   1.5e-70  238.7   0.0   3.1e-70  237.7   0.0   1.6   1   0   0   1   1   1   1 | AT5G43730
AT5G43730.3          -          NB-ARC               PF00931.23   1.5e-70  238.7   0.0   3.1e-70  237.7   0.0   1.6   1   0   0   1   1   1   1 | AT5G43730
AT5G43730.4          -          NB-ARC               PF00931.23   1.5e-70  238.7   0.0   3.1e-70  237.7   0.0   1.6   1   0   0   1   1   1   1 | AT5G43730
AT5G43730.5          -          NB-ARC               PF00931.23   1.5e-70  238.7   0.0   3.1e-70  237.7   0.0   1.6   1   0   0   1   1   1   1 | AT5G43730
AT1G12290.2          -          NB-ARC               PF00931.23   5.5e-70  236.8   0.1   9.3e-70  236.1   0.1   1.4   1   0   0   1   1   1   1 | AT1G12290
AT1G12290.3          -          NB-ARC               PF00931.23   5.5e-70  236.8   0.1   9.3e-70  236.1   0.1   1.4   1   0   0   1   1   1   1 | AT1G12290
AT1G12290.4          -          NB-ARC               PF00931.23   5.5e-70  236.8   0.1   9.3e-70  236.1   0.1   1.4   1   0   0   1   1   1   1 | AT1G12290
AT1G12290.1          -          NB-ARC               PF00931.23   5.7e-70  236.8   0.1     1e-69  236.0   0.1   1.4   1   0   0   1   1   1   1 | AT1G12290
AT1G51480.1          -          NB-ARC               PF00931.23     4e-69  234.0   0.3   7.2e-69  233.2   0.3   1.3   1   0   0   1   1   1   1 | AT1G51480
AT1G63360.2          -          NB-ARC               PF00931.23   4.7e-69  233.8   0.0   7.5e-69  233.1   0.0   1.3   1   0   0   1   1   1   1 | AT1G63360
AT1G63360.1          -          NB-ARC               PF00931.23   4.9e-69  233.7   0.0     8e-69  233.0   0.0   1.4   1   0   0   1   1   1   1 | AT1G63360
AT1G62630.1          -          NB-ARC               PF00931.23     5e-69  233.7   0.1   8.8e-69  232.9   0.1   1.4   1   0   0   1   1   1   1 | AT1G62630
AT1G58410.1          -          NB-ARC               PF00931.23   1.1e-68  232.6   1.2   2.4e-68  231.5   1.2   1.6   1   0   0   1   1   1   1 | AT1G58410
AT1G58410.2          -          NB-ARC               PF00931.23   1.1e-68  232.6   1.2   2.4e-68  231.5   1.2   1.6   1   0   0   1   1   1   1 | AT1G58410
AT1G58410.4          -          NB-ARC               PF00931.23   1.1e-68  232.6   1.2   2.4e-68  231.5   1.2   1.6   1   0   0   1   1   1   1 | AT1G58410
AT1G59620.2          -          NB-ARC               PF00931.23   3.6e-68  230.9   0.1     5e-68  230.4   0.1   1.2   1   0   0   1   1   1   1 | AT1G59620
AT1G58807.2          -          NB-ARC               PF00931.23   3.7e-68  230.8   1.3   1.5e-67  228.9   1.0   2.1   2   0   0   2   2   1   1 | AT1G58807
AT1G59124.1          -          NB-ARC               PF00931.23   3.7e-68  230.8   1.3   1.5e-67  228.9   1.0   2.1   2   0   0   2   2   1   1 | AT1G59124
AT1G58390.1          -          NB-ARC               PF00931.23   4.5e-68  230.6   1.9   7.8e-68  229.8   1.9   1.4   1   0   0   1   1   1   1 | AT1G58390
AT1G58390.2          -          NB-ARC               PF00931.23   4.5e-68  230.6   1.9   7.8e-68  229.8   1.9   1.4   1   0   0   1   1   1   1 | AT1G58390
AT1G58807.1          -          NB-ARC               PF00931.23   5.8e-68  230.2   1.3     2e-67  228.4   1.0   2.0   2   0   0   2   2   1   1 | AT1G58807
AT1G59124.2          -          NB-ARC               PF00931.23   5.8e-68  230.2   1.3     2e-67  228.4   1.0   2.0   2   0   0   2   2   1   1 | AT1G59124
AT1G58410.3          -          NB-ARC               PF00931.23     1e-67  229.4   1.6   2.4e-67  228.2   1.6   1.7   1   0   0   1   1   1   1 | AT1G58410
AT1G58602.1          -          NB-ARC               PF00931.23   1.7e-67  228.7   0.6   3.2e-67  227.8   0.6   1.5   1   0   0   1   1   1   1 | AT1G58602
AT1G58602.2          -          NB-ARC               PF00931.23   1.7e-67  228.7   0.6   3.2e-67  227.8   0.6   1.5   1   0   0   1   1   1   1 | AT1G58602
AT1G58848.1          -          NB-ARC               PF00931.23     2e-67  228.5   0.9   3.9e-67  227.5   0.9   1.5   1   0   0   1   1   1   1 | AT1G58848
AT1G58848.2          -          NB-ARC               PF00931.23     2e-67  228.5   0.9   3.9e-67  227.5   0.9   1.5   1   0   0   1   1   1   1 | AT1G58848
AT1G59218.1          -          NB-ARC               PF00931.23     2e-67  228.5   0.9   3.9e-67  227.5   0.9   1.5   1   0   0   1   1   1   1 | AT1G59218
AT1G59218.2          -          NB-ARC               PF00931.23     2e-67  228.5   0.9   3.9e-67  227.5   0.9   1.5   1   0   0   1   1   1   1 | AT1G59218
AT1G59218.3          -          NB-ARC               PF00931.23     2e-67  228.5   0.9   3.9e-67  227.5   0.9   1.5   1   0   0   1   1   1   1 | AT1G59218
AT1G58400.2          -          NB-ARC               PF00931.23   8.1e-67  226.5   0.9   1.5e-66  225.6   0.9   1.4   1   0   0   1   1   1   1 | AT1G58400
AT1G58400.3          -          NB-ARC               PF00931.23   8.1e-67  226.5   0.9   1.5e-66  225.6   0.9   1.4   1   0   0   1   1   1   1 | AT1G58400
AT5G05400.1          -          NB-ARC               PF00931.23   1.4e-65  222.4   0.8   2.6e-65  221.5   0.8   1.4   1   0   0   1   1   1   1 | AT5G05400
AT5G05400.2          -          NB-ARC               PF00931.23   1.5e-64  219.0   0.4   2.4e-64  218.3   0.4   1.3   1   0   0   1   1   1   1 | AT5G05400
AT5G05400.3          -          NB-ARC               PF00931.23   1.5e-64  219.0   0.4   2.4e-64  218.3   0.4   1.3   1   0   0   1   1   1   1 | AT5G05400
AT1G50180.1          -          NB-ARC               PF00931.23   1.6e-62  212.4   2.5   2.3e-62  211.9   0.2   2.1   2   0   0   2   2   1   1 | AT1G50180
AT1G59780.2          -          NB-ARC               PF00931.23   6.5e-62  210.4   0.7   1.2e-61  209.5   0.7   1.5   1   0   0   1   1   1   1 | AT1G59780
AT1G59780.1          -          NB-ARC               PF00931.23   6.7e-62  210.4   0.7   1.2e-61  209.5   0.7   1.5   1   0   0   1   1   1   1 | AT1G59780
AT1G58400.1          -          NB-ARC               PF00931.23   9.5e-58  196.8   0.9   2.7e-57  195.3   0.9   1.8   1   1   0   1   1   1   1 | AT1G58400
AT1G52660.2          -          NB-ARC               PF00931.23   1.5e-57  196.1   0.3   1.5e-57  196.1   0.3   1.6   2   0   0   2   2   1   1 | AT1G52660
AT1G52660.1          -          NB-ARC               PF00931.23   1.5e-57  196.1   0.3   1.5e-57  196.1   0.3   1.6   2   0   0   2   2   1   1 | AT1G52660
AT5G47250.1          -          NB-ARC               PF00931.23     3e-57  195.1   2.2   4.9e-57  194.4   2.2   1.4   1   0   0   1   1   1   1 | AT5G47250
AT3G46530.1          -          NB-ARC               PF00931.23     3e-57  195.1   0.1   6.2e-57  194.1   0.1   1.5   1   0   0   1   1   1   1 | AT3G46530
AT3G46730.1          -          NB-ARC               PF00931.23   3.7e-55  188.3   0.5   6.6e-55  187.4   0.5   1.4   1   0   0   1   1   1   1 | AT3G46730
AT5G47260.1          -          NB-ARC               PF00931.23   7.8e-55  187.2   0.4   1.2e-53  183.3   0.0   2.5   2   0   0   2   2   1   1 | AT5G47260
AT3G15700.1          -          NB-ARC               PF00931.23   2.1e-54  185.8   0.2   4.7e-54  184.6   0.2   1.5   1   0   0   1   1   1   1 | AT3G15700
AT3G15700.2          -          NB-ARC               PF00931.23   2.3e-54  185.7   0.2     5e-54  184.5   0.2   1.5   1   0   0   1   1   1   1 | AT3G15700
AT4G27220.1          -          NB-ARC               PF00931.23   2.6e-50  172.4   1.8   4.4e-50  171.6   1.8   1.4   1   0   0   1   1   1   1 | AT4G27220
AT4G27220.2          -          NB-ARC               PF00931.23   2.6e-50  172.4   1.8   4.5e-50  171.6   1.8   1.4   1   0   0   1   1   1   1 | AT4G27220
AT4G27190.1          -          NB-ARC               PF00931.23   4.5e-50  171.6   0.6   4.5e-50  171.6   0.6   2.1   3   0   0   3   3   1   1 | AT4G27190
AT3G46710.1          -          NB-ARC               PF00931.23   7.4e-49  167.6   1.7   1.8e-48  166.3   1.7   1.7   1   0   0   1   1   1   1 | AT3G46710
AT3G14460.1          -          NB-ARC               PF00931.23   2.7e-47  162.5   0.1   1.1e-46  160.5   0.0   1.9   2   0   0   2   2   1   1 | AT3G14460
AT3G14470.1          -          NB-ARC               PF00931.23   1.7e-44  153.4   0.0   4.4e-44  152.0   0.0   1.7   2   0   0   2   2   1   1 | AT3G14470
AT3G14470.2          -          NB-ARC               PF00931.23   1.7e-44  153.4   0.0   4.4e-44  152.0   0.0   1.7   2   0   0   2   2   1   1 | AT3G14470
AT4G19500.1          -          NB-ARC               PF00931.23   4.6e-36  125.7   0.0   2.4e-19   70.9   0.0   2.5   2   0   0   2   2   2   2 | AT4G19500
AT4G36140.2          -          NB-ARC               PF00931.23   4.9e-34  119.0   0.0   2.1e-21   77.7   0.0   2.4   2   0   0   2   2   2   2 | AT4G36140
AT4G36140.1          -          NB-ARC               PF00931.23   5.8e-34  118.8   0.0   2.5e-21   77.4   0.0   2.6   2   0   0   2   2   2   2 | AT4G36140
AT1G10920.3          -          NB-ARC               PF00931.23   5.2e-33  115.7   0.0   1.1e-32  114.7   0.0   1.5   2   0   0   2   2   1   1 | AT1G10920
AT1G10920.5          -          NB-ARC               PF00931.23   5.2e-33  115.7   0.0   1.1e-32  114.7   0.0   1.5   2   0   0   2   2   1   1 | AT1G10920
AT5G48780.1          -          NB-ARC               PF00931.23   4.7e-32  112.6   0.0   1.6e-17   64.9   0.1   2.6   2   1   0   2   2   2   2 | AT5G48780
AT5G48770.1          -          NB-ARC               PF00931.23   1.8e-29  104.1   0.0   2.9e-29  103.4   0.0   1.3   1   0   0   1   1   1   1 | AT5G48770
AT5G41750.1          -          NB-ARC               PF00931.23   3.4e-28   99.9   0.1   5.6e-28   99.2   0.1   1.3   1   0   0   1   1   1   1 | AT5G41750
AT5G41750.2          -          NB-ARC               PF00931.23   3.4e-28   99.9   0.1   5.6e-28   99.2   0.1   1.3   1   0   0   1   1   1   1 | AT5G41750
AT1G27170.2          -          NB-ARC               PF00931.23   3.5e-28   99.9   0.4     8e-28   98.7   0.4   1.5   1   0   0   1   1   1   1 | AT1G27170
AT1G27170.1          -          NB-ARC               PF00931.23   4.1e-28   99.7   0.4     8e-28   98.7   0.4   1.4   1   0   0   1   1   1   1 | AT1G27170
AT5G17680.1          -          NB-ARC               PF00931.23   1.7e-27   97.6   0.0   4.7e-27   96.2   0.0   1.7   1   0   0   1   1   1   1 | AT5G17680
AT5G17680.2          -          NB-ARC               PF00931.23   1.7e-27   97.6   0.0   4.7e-27   96.2   0.0   1.7   1   0   0   1   1   1   1 | AT5G17680
AT5G36930.3          -          NB-ARC               PF00931.23   2.3e-27   97.2   0.0   4.1e-27   96.4   0.0   1.3   1   0   0   1   1   1   1 | AT5G36930
AT5G36930.1          -          NB-ARC               PF00931.23   2.5e-27   97.1   0.0   4.5e-27   96.2   0.0   1.3   1   0   0   1   1   1   1 | AT5G36930
AT5G36930.4          -          NB-ARC               PF00931.23   2.5e-27   97.1   0.0   4.5e-27   96.2   0.0   1.3   1   0   0   1   1   1   1 | AT5G36930
AT5G36930.2          -          NB-ARC               PF00931.23   2.5e-27   97.1   0.0   4.5e-27   96.2   0.0   1.3   1   0   0   1   1   1   1 | AT5G36930
AT5G04720.1          -          NB-ARC               PF00931.23   5.4e-27   96.0   1.7   2.2e-26   94.0   0.1   2.5   2   1   0   2   2   1   1 | AT5G04720
AT1G27180.3          -          NB-ARC               PF00931.23   5.7e-27   95.9   0.5   1.2e-26   94.8   0.5   1.4   1   0   0   1   1   1   1 | AT1G27180
AT4G33300.1          -          NB-ARC               PF00931.23   6.4e-27   95.8   0.4   1.9e-26   94.2   0.0   1.9   2   1   0   2   2   1   1 | AT4G33300
AT4G33300.2          -          NB-ARC               PF00931.23   6.4e-27   95.8   0.4   1.9e-26   94.2   0.0   1.9   2   1   0   2   2   1   1 | AT4G33300
AT1G63740.1          -          NB-ARC               PF00931.23   6.4e-27   95.7   0.5   1.6e-26   94.5   0.1   1.9   2   0   0   2   2   1   1 | AT1G63740
AT1G63740.2          -          NB-ARC               PF00931.23   7.5e-27   95.5   0.5   1.8e-26   94.3   0.1   1.8   2   0   0   2   2   1   1 | AT1G63740
AT1G27180.4          -          NB-ARC               PF00931.23   7.8e-27   95.5   0.5   1.5e-26   94.6   0.5   1.3   1   0   0   1   1   1   1 | AT1G27180
AT1G27180.6          -          NB-ARC               PF00931.23   7.8e-27   95.5   0.5   1.5e-26   94.6   0.5   1.3   1   0   0   1   1   1   1 | AT1G27180
AT1G27180.7          -          NB-ARC               PF00931.23   7.8e-27   95.5   0.5   1.5e-26   94.6   0.5   1.3   1   0   0   1   1   1   1 | AT1G27180
AT1G27180.2          -          NB-ARC               PF00931.23   8.8e-27   95.3   0.5   1.8e-26   94.3   0.5   1.4   1   0   0   1   1   1   1 | AT1G27180
AT1G27180.5          -          NB-ARC               PF00931.23   9.2e-27   95.2   0.5   1.8e-26   94.3   0.5   1.4   1   0   0   1   1   1   1 | AT1G27180
AT1G27180.8          -          NB-ARC               PF00931.23   9.2e-27   95.2   0.5   1.8e-26   94.3   0.5   1.4   1   0   0   1   1   1   1 | AT1G27180
AT1G27180.1          -          NB-ARC               PF00931.23     1e-26   95.1   0.5   2.1e-26   94.0   0.5   1.4   1   0   0   1   1   1   1 | AT1G27180
AT5G41740.3          -          NB-ARC               PF00931.23   1.6e-26   94.4   0.0   2.4e-26   93.9   0.0   1.2   1   0   0   1   1   1   1 | AT5G41740
AT5G48780.2          -          NB-ARC               PF00931.23   1.6e-26   94.4   0.0   1.5e-17   65.1   0.1   3.1   2   1   1   3   3   2   2 | AT5G48780
AT5G41740.1          -          NB-ARC               PF00931.23     2e-26   94.1   0.0   3.2e-26   93.5   0.0   1.3   1   0   0   1   1   1   1 | AT5G41740
AT5G41740.2          -          NB-ARC               PF00931.23   2.2e-26   94.0   0.0   3.5e-26   93.3   0.0   1.3   1   0   0   1   1   1   1 | AT5G41740
AT4G09430.1          -          NB-ARC               PF00931.23   2.5e-26   93.8   0.0   6.6e-26   92.4   0.0   1.7   1   1   0   1   1   1   1 | AT4G09430
AT5G45210.3          -          NB-ARC               PF00931.23   5.1e-26   92.8   0.0   1.6e-25   91.2   0.0   1.7   1   1   0   1   1   1   1 | AT5G45210
AT2G17060.2          -          NB-ARC               PF00931.23   6.5e-26   92.5   0.3   1.5e-24   87.9   0.1   2.4   2   0   0   2   2   1   1 | AT2G17060
AT2G17060.1          -          NB-ARC               PF00931.23   7.7e-26   92.2   0.3   1.7e-24   87.8   0.1   2.4   2   0   0   2   2   1   1 | AT2G17060
AT5G45210.2          -          NB-ARC               PF00931.23   8.5e-26   92.1   0.0   2.6e-25   90.5   0.0   1.7   1   1   0   1   1   1   1 | AT5G45210
AT5G45210.1          -          NB-ARC               PF00931.23   9.8e-26   91.9   0.0   2.9e-25   90.3   0.0   1.7   1   1   0   1   1   1   1 | AT5G45210
AT5G45210.5          -          NB-ARC               PF00931.23     1e-25   91.8   0.0   3.1e-25   90.2   0.0   1.7   1   1   0   1   1   1   1 | AT5G45210
AT5G45210.4          -          NB-ARC               PF00931.23   1.1e-25   91.7   0.0   3.2e-25   90.2   0.0   1.7   1   1   0   1   1   1   1 | AT5G45210
AT5G45250.1          -          NB-ARC               PF00931.23   2.8e-25   90.4   0.3   4.6e-25   89.7   0.3   1.3   1   0   0   1   1   1   1 | AT5G45250
AT4G12010.1          -          NB-ARC               PF00931.23     4e-25   89.9   0.0   6.5e-25   89.2   0.0   1.3   1   0   0   1   1   1   1 | AT4G12010
AT1G33560.1          -          NB-ARC               PF00931.23   6.2e-25   89.2   4.1   2.1e-17   64.6   0.0   3.1   2   1   1   3   3   2   2 | AT1G33560
AT3G51560.1          -          NB-ARC               PF00931.23   1.4e-24   88.1   0.0   2.6e-24   87.2   0.0   1.3   1   0   0   1   1   1   1 | AT3G51560
AT5G41550.1          -          NB-ARC               PF00931.23   3.7e-24   86.7   0.1   8.8e-24   85.5   0.1   1.6   1   0   0   1   1   1   1 | AT5G41550
AT1G63880.2          -          NB-ARC               PF00931.23   4.2e-24   86.5   0.3   1.2e-23   85.1   0.0   1.9   2   1   0   2   2   1   1 | AT1G63880
AT1G72840.1          -          NB-ARC               PF00931.23     6e-24   86.0   0.0     1e-23   85.2   0.0   1.3   1   0   0   1   1   1   1 | AT1G72840
AT1G72840.4          -          NB-ARC               PF00931.23   6.1e-24   86.0   0.0   9.9e-24   85.3   0.0   1.3   1   0   0   1   1   1   1 | AT1G72840
AT1G72840.2          -          NB-ARC               PF00931.23   7.4e-24   85.7   0.0   1.3e-23   84.9   0.0   1.3   1   0   0   1   1   1   1 | AT1G72840
AT1G72840.3          -          NB-ARC               PF00931.23   7.4e-24   85.7   0.0   1.3e-23   84.9   0.0   1.3   1   0   0   1   1   1   1 | AT1G72840
AT1G63880.1          -          NB-ARC               PF00931.23   7.8e-24   85.6   0.3     2e-23   84.3   0.0   1.8   2   1   0   2   2   1   1 | AT1G63880
AT1G63870.1          -          NB-ARC               PF00931.23   1.1e-23   85.1   0.0   2.1e-23   84.2   0.0   1.3   1   0   0   1   1   1   1 | AT1G63870
AT5G45440.1          -          NB-ARC               PF00931.23   1.3e-23   84.9   0.3   1.2e-22   81.8   0.3   2.1   1   1   0   1   1   1   1 | AT5G45440
AT5G45490.1          -          NB-ARC               PF00931.23   1.6e-23   84.6   1.5   3.4e-22   80.3   1.5   2.4   1   1   0   1   1   1   1 | AT5G45490
AT5G45490.2          -          NB-ARC               PF00931.23   1.6e-23   84.6   1.5   3.4e-22   80.3   1.5   2.4   1   1   0   1   1   1   1 | AT5G45490
AT5G41540.1          -          NB-ARC               PF00931.23   2.6e-23   83.9   0.2   4.7e-23   83.1   0.2   1.4   1   0   0   1   1   1   1 | AT5G41540
AT5G45050.3          -          NB-ARC               PF00931.23   3.7e-23   83.4   0.0   8.1e-23   82.3   0.0   1.5   1   0   0   1   1   1   1 | AT5G45050
AT5G45050.2          -          NB-ARC               PF00931.23   3.8e-23   83.4   0.0   9.5e-23   82.1   0.0   1.6   1   0   0   1   1   1   1 | AT5G45050
AT5G45050.4          -          NB-ARC               PF00931.23   3.9e-23   83.3   0.0   8.3e-23   82.3   0.0   1.5   1   0   0   1   1   1   1 | AT5G45050
AT5G45050.1          -          NB-ARC               PF00931.23   4.5e-23   83.1   0.0   9.8e-23   82.0   0.0   1.5   1   0   0   1   1   1   1 | AT5G45050
AT4G36150.1          -          NB-ARC               PF00931.23   1.1e-22   81.8   0.3   2.1e-22   81.0   0.3   1.4   1   0   0   1   1   1   1 | AT4G36150
AT5G40910.4          -          NB-ARC               PF00931.23   1.2e-22   81.8   0.1   1.8e-22   81.2   0.1   1.2   1   0   0   1   1   1   1 | AT5G40910
AT5G40910.6          -          NB-ARC               PF00931.23   1.2e-22   81.8   0.1   1.8e-22   81.2   0.1   1.2   1   0   0   1   1   1   1 | AT5G40910
AT5G40910.2          -          NB-ARC               PF00931.23   1.2e-22   81.7   0.1   1.9e-22   81.1   0.1   1.2   1   0   0   1   1   1   1 | AT5G40910
